set,LDT_count,LDT_mean,LDT_std,Dwt_count,Dwt_mean,Dwt_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,HP.Total.Propulsion_count,HP.Total.Propulsion_mean,HP.Total.Propulsion_std,LOA..m._count,LOA..m._mean,LOA..m._std,GT_count,GT_mean,GT_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,NT_count,NT_mean,NT_std,Depth.Moulded..m._count,Depth.Moulded..m._mean,Depth.Moulded..m._std,distance_sum_count,distance_sum_mean,distance_sum_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,cubic_meter_count,cubic_meter_mean,cubic_meter_std,draught_mean_count,draught_mean_mean,draught_mean_std
Test,105,10815.761904761905,4749.855727614278,536,59424.44962686567,32172.625478512542,536,31.644496268656717,4.0789522348962945,536,12255.880597014926,3969.1179472490135,536,199.06800373134328,28.607489652742366,536,33906.494402985074,15633.311493902655,350,2254.901257142857,1060.9722258222992,536,19732.70895522388,10593.358244417766,536,17.450149253731343,2.7664766850110483,536,12918.853677808282,8461.110480064603,536,9004.817164179105,2924.8175832828497,536,7.3053096277293745,1.7468015822066012,536,116208.00166139551,55199.02859830464,536,9.679462425895606,1.6944931656545075
Training,345,12037.773913043478,6188.365644959323,1606,70074.49252801992,46968.07187032305,1606,32.6096201743462,6.000941040861155,1606,13345.549813200498,5004.635230623519,1606,207.71214196762142,39.500333568776746,1606,39040.83561643836,23053.68803430222,1142,2552.380411558669,1252.7261218514875,1603,23213.802245789146,15310.152351998107,1606,18.01513698630137,3.5069108025243083,1606,14138.577820226541,9323.128948094802,1606,9815.581569115815,3683.695674328727,1606,6.7703648674956804,1.7093303860153326,1606,134856.81773997634,81820.15944345795,1606,10.2260224383966,2.2556351087916857
