model,2019,2020,2021
cb,912989.3966995468,935018.3838433821,962069.0084381022
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,914014.031720338,934846.3985402836,959999.2160403667
lasso,897772.0289082851,938603.569346494,952484.8750046275
linear,910130.3100958692,941435.7644086286,957332.1230487367
report,918483.4,922127.14,982486.35
rf,914090.5763438498,931577.0356557292,962334.0549115911
ridge,910112.9517093254,941202.1279668794,957428.003295932
