model,2019,2020,2021
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,935292.6908207004,967640.2365077422,1005646.6594890226
lasso,951305.2730988564,999610.5224159473,1009571.5325771772
linear,951847.3526470528,1004317.7110739178,1034617.0606981455
report,918483.4,922127.14,982486.35
ridge,925277.8068276263,971020.0420277466,988902.1337393301
