,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,1,1,1,1.0,0.0
GT,6,3,2,2,4,2,3.1666666666666665,1.462494064565354
HP.Total.Propulsion,3,4,3,5,2,5,3.6666666666666665,1.1055415967851332
draught_mean,2,2,7,11,8,9,6.5,3.4034296427770228
LOA..m.,5,10,4,12,6,3,6.666666666666667,3.2489314482696545
Dwt,13,5,11,3,5,6,7.166666666666667,3.5784850922639815
Depth.Moulded..m.,9,9,11,6,3,12,8.333333333333334,3.0368111930480994
cubic_meter,4,13,11,4,10,8,8.333333333333334,3.39934634239519
Beam.Mld..m.,7,12,5,10,13,4,8.5,3.4034296427770228
speed_mean,12,6,6,9,11,7,8.5,2.362907813126304
ME_W_ref_first,10,7,11,8,7,11,9.0,1.7320508075688772
Main.Bunker.Capacity..m3.,8,8,8,13,12,10,9.833333333333334,2.034425935955617
NT,11,11,11,7,9,13,10.333333333333334,1.8856180831641267
LDT,14,14,11,14,14,14,13.5,1.118033988749895
