dataset,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,draught_mean_count,draught_mean_mean,draught_mean_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,535,12.381009345794393,2.2570137271031316,535,14.0643738317757,0.5739125284615919,535,9065.27476635514,2932.208851098342,535,7.113931596923072,1.5866850734895,535,9.751600079794075,1.8238217478311134,535,175.6728971962617,2.507575417496021
Training,1607,12.879626633478532,2.6154376178260845,1607,14.143851897946483,0.8676105722475866,1607,9794.949595519602,3685.582733977024,1607,6.834411035038682,1.7752308917300594,1607,10.20166636817371,2.2269580116151135,1607,175.9085252022402,3.464241204972966
