set,Dwt_count,Dwt_mean,Dwt_std,t_over_t_ref_without_m_sum_count,t_over_t_ref_without_m_sum_mean,t_over_t_ref_without_m_sum_std,Ballast.Cap..cu.m._count,Ballast.Cap..cu.m._mean,Ballast.Cap..cu.m._std,age_count,age_mean,age_std,LBP..m._count,LBP..m._mean,LBP..m._std,work_sum_count,work_sum_mean,work_sum_std,LDT_count,LDT_mean,LDT_std,trip_nunique_count,trip_nunique_mean,trip_nunique_std,v_over_v_ref_with_n_sum_count,v_over_v_ref_with_n_sum_mean,v_over_v_ref_with_n_sum_std,port_frac_count,port_frac_mean,port_frac_std,v_over_v_ref_without_n_sum_count,v_over_v_ref_without_n_sum_mean,v_over_v_ref_without_n_sum_std,HP.Total.Propulsion_count,HP.Total.Propulsion_mean,HP.Total.Propulsion_std,Depth.Moulded..m._count,Depth.Moulded..m._mean,Depth.Moulded..m._std,cal_fc_count,cal_fc_mean,cal_fc_std,cubic_meter_count,cubic_meter_mean,cubic_meter_std,t_over_t_ref_with_m_sum_count,t_over_t_ref_with_m_sum_mean,t_over_t_ref_with_m_sum_std,missing_frac_sea_count,missing_frac_sea_mean,missing_frac_sea_std,Draught..m._count,Draught..m._mean,Draught..m._std,t_m_times_v_n_sum_count,t_m_times_v_n_sum_mean,t_m_times_v_n_sum_std,total_jump_distance_count,total_jump_distance_mean,total_jump_distance_std,speed_mean_count,speed_mean_mean,speed_mean_std,distance_sum_count,distance_sum_mean,distance_sum_std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,NT_count,NT_mean,NT_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,GT_count,GT_mean,GT_std,LOA..m._count,LOA..m._mean,LOA..m._std,TPC_count,TPC_mean,TPC_std,W_component_first_count,W_component_first_mean,W_component_first_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std
Test,644,69410.40372670807,46921.743437136414,644,1717.5180070576453,1254.2893948716808,590,24394.47966101695,18810.65125806538,644,10.65527950310559,5.33183053683676,644,200.65291925465837,38.733846478297956,644,1957049.5768257447,1364613.7755278153,137,11870.788321167884,6160.896016564592,644,6.746894409937888,9.575414327701637,644,686.6454585841501,509.00477240801354,644,0.4348065551943017,0.1510929206717329,644,962.9995389141458,660.2414458509485,644,13269.287267080745,5083.690019197079,644,17.98577639751553,3.4639729686487413,644,1365.6789342991156,1097.5765209133306,644,129481.35899556833,58405.96895741093,644,1842.102172188649,1331.6315845436238,644,0.15870075255529972,0.125844248754136,644,12.846475155279501,2.6412071026230266,644,9123327.919869564,6263653.186997594,644,1.4753331098291926,9.693770439694646,644,6.641902920087065,1.8285576373428911,644,13619.9660343457,9127.0643801605,644,14.130745341614908,0.8014190779297126,644,32.48400621118012,5.907631312127017,644,23013.64285714286,15210.522757708355,433,2514.5288914549656,1286.4978056807763,644,38726.57919254658,23050.114431287093,644,207.22284161490686,38.897362844236014,546,64.37089743589743,23.584270012810826,644,8.371582681361443e-05,2.3503405495415493e-05,644,9755.9549689441,3743.6927195448875
Training,1133,67675.57193292145,43725.90413387179,1133,1738.1915813900343,1340.0883988238268,1018,23185.010805500984,15955.79050711261,1133,9.371579876434245,5.661425240402711,1133,199.347440423654,36.77965385869949,1133,1871120.8793177207,1238686.4389167288,215,11733.116279069767,5773.735607870661,1133,6.491615180935569,7.997855849159759,1133,658.6410724550176,462.4716840965622,1133,0.40375522647060685,0.14372294697137014,1133,983.2140121487231,659.3496679050377,1133,13054.902030008827,4696.6846114395785,1133,17.900061782877316,3.321183068573317,1133,1290.5909552522594,927.171081910091,1133,130607.27606314915,75930.39136618157,1133,1860.9677689924404,1415.9164586924487,1133,0.255302853380964,0.14925475351019696,1133,12.77621359223301,2.525355563306384,1133,8717573.84799647,5680107.606132417,1133,1.2336029220476612,7.878041089202186,1133,6.78356077054802,1.6636631870773908,1133,13893.499988028869,9129.977326213942,1133,14.143821712268315,0.7948392241288005,1133,32.405278022947925,5.587221446833523,1130,22436.428318584072,14267.25304101352,786,2468.0760432569973,1192.2867728727774,1133,37890.93380406002,21378.646544696665,1133,205.97853486319505,37.01529808810308,958,64.73058455114823,23.58076631699688,1133,8.401270788555591e-05,2.2830828235863715e-05,1133,9599.075022065314,3458.757149866389
