mae,te,mse,mape,r2,class_name,params
57.44057840810609,-20574.148499102736,10116.208440544184,0.0532395950628107,0.9836123446796592,RandomForestRegressor,"{'max_depth': 30, 'n_estimators': 700}"
58.956579683454756,-10851.37639588137,6923.521938153008,0.05555911533043547,0.9887843067101565,CatBoostRegressor,"{'depth': 6, 'l2_leaf_reg': 1, 'learning_rate': 0.05}"
64.50941308436444,-11929.077767573737,9547.73962049704,0.061591298056685805,0.9845332303195751,GradientBoostingRegressor,"{'learning_rate': 0.05, 'max_depth': 4}"
124.20920019077408,-28262.48668218104,38111.427686839495,0.1180788003677981,0.9382617564309079,Ridge,{'alpha': 0.1}
124.25077039394343,-27864.237157621697,38095.09099156364,0.11810801106063384,0.9382882209045127,LinearRegression,{}
134.44196833164398,-43336.52380080051,45883.97663436995,0.12714941999985963,0.925670689939819,Lasso,{'alpha': 0.005}
303.0892392375376,237409.96238036256,580177.5865343485,0.26159208426351377,0.06014685555444277,Calculation,
