set,LDT_count,LDT_mean,LDT_std,Dwt_count,Dwt_mean,Dwt_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,HP.Total.Propulsion_count,HP.Total.Propulsion_mean,HP.Total.Propulsion_std,LOA..m._count,LOA..m._mean,LOA..m._std,GT_count,GT_mean,GT_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,NT_count,NT_mean,NT_std,Depth.Moulded..m._count,Depth.Moulded..m._mean,Depth.Moulded..m._std,distance_sum_count,distance_sum_mean,distance_sum_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,cubic_meter_count,cubic_meter_mean,cubic_meter_std,draught_mean_count,draught_mean_mean,draught_mean_std
Test,105,9606.638095238095,1725.0341363612845,535,48489.04859813084,7163.42160580422,535,31.38123364485981,1.2001588423229557,535,11562.170093457944,2281.838021345562,535,188.91364485981308,7.006511790943867,535,29338.555140186916,3918.3949138142707,383,2046.2004438642298,442.97244457403525,534,15933.40074906367,2576.7348844254084,535,16.78796261682243,1.415739162726325,535,13798.66189587244,9274.009565753922,535,8477.080373831775,1687.3215458666812,535,7.005587314839458,1.727175188418239,535,99994.6659824598,13841.96553708403,535,9.301059934745812,0.9067403144037404
Training,345,12405.768115942028,6537.046289438335,1607,73708.46235220908,49008.18491243965,1607,32.69666459240821,6.39164024001608,1607,13575.820784069696,5275.5356101620855,1607,211.08733665214683,41.36938497188442,1607,40558.392034847544,24136.852188402034,1109,2633.308476104599,1354.919359922535,1605,24473.533333333333,15942.000693432226,1607,18.235239576851274,3.7054357670035354,1607,13844.914397198076,9082.36094253529,1607,9990.770379589298,3880.2198714092847,1607,6.8704808489246405,1.7353984755646608,1607,140242.93209725825,85579.46902965137,1607,10.35165950918231,2.3593959340269626
