year,report_target_count,report_target_mean,report_target_std,cal_target_count,cal_target_mean,cal_target_std
2019,394,1251.4677157360406,904.8864737968065,394,1383.6762711013544,1250.9330799450572
2020,428,1205.3031308411214,820.1605414552677,428,1562.9781558555496,1478.3072996225987
2021,464,1320.6425646551725,914.5561945879996,464,1532.8370627853337,1313.4947094506238
