model,class_name,mae,te,mse,mape,r2,params
gb,GradientBoostingRegressor,0.0007921263096777709,-0.0037910231231223813,1.243344128570372e-06,0.008376861852281798,0.9985575434884404,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
linear,LinearRegression,0.009725777518987812,-0.04598558232000377,0.00019273816718096018,0.10026509841238421,0.7763962382675911,{}
ridge,Ridge,0.009727393495860333,-0.046059720907665885,0.00019273927801186986,0.10028245130554668,0.7763949495453122,{'alpha': 0.01}
lasso,Lasso,0.0141096684629037,-0.16386800604376828,0.0003850175741663534,0.1487169271775614,0.5533247037891935,{'alpha': 0.01}
