model,class_name,r2,mse,mae,mape,params
gb,GradientBoostingRegressor,0.9956693466875838,1.263516178704846e-05,0.002558801953460946,0.027604305784686298,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
cb,CatBoostRegressor,0.9925402718249398,2.1764585059038637e-05,0.003654973379146552,0.03979111347804402,{'verbose': 0}
rf,RandomForestRegressor,0.8345011004283645,0.0004828614116190694,0.006061945836491315,0.05803391506214205,"{'max_depth': 10, 'n_estimators': 200}"
linear,LinearRegression,0.6429793818816354,0.0010416472864046278,0.013742255428222045,0.14195981674190333,{}
ridge,Ridge,0.636661870140514,0.00106007932821961,0.013518077497307638,0.1393162072747653,{'alpha': 0.01}
lasso,Lasso,0.20060783141501215,0.0023323153927866424,0.015379322437960866,0.14938568619764966,{'alpha': 0.01}
