dataset,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,draught_mean_count,draught_mean_mean,draught_mean_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,268,12.37731343283582,2.2042710207351073,268,14.107649253731344,0.8226699453991932,268,9029.757462686568,2960.026617728201,268,6.890418180302053,1.6619999351088521,268,9.776803450199639,1.6808547677495338,268,176.00746268656715,3.367605687987172
Training,1874,12.809114194236926,2.5797364837221473,1874,14.1263393810032,0.8026090956788748,1874,9696.067769477055,3592.764310159703,1874,6.9062005684845555,1.7443961027576547,1874,10.133938405384994,2.1966837021002803,1874,175.82710779082177,3.2363708990096103
