set,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,cal_fc_count,cal_fc_mean,cal_fc_std,rel_power_ship_sum_count,rel_power_ship_sum_mean,rel_power_ship_sum_std,rel_power_ship_squared_sum_count,rel_power_ship_squared_sum_mean,rel_power_ship_squared_sum_std,rel_power_ship_cubed_sum_count,rel_power_ship_cubed_sum_mean,rel_power_ship_cubed_sum_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,535,11.797009345794391,0.9057587451451264,535,14.189252336448599,0.8211172403191888,535,8477.080373831775,1687.3215458666812,535,1316.4482455815046,1148.9452553850729,535,606.3113502175931,444.33410106818286,535,390.1524163724153,372.13207299707244,535,348.7158814502588,550.949036677436,535,176.15887850467288,3.429737579391223
Training,1607,13.074051026757934,2.8135547119162836,1607,14.102277535780958,0.7986049730628083,1607,9990.770379589298,3880.2198714092847,1607,1521.2649749953396,1334.2115186835254,1607,601.5400435682092,449.1555789598984,1607,382.7999264685759,393.28912275343504,1607,358.9470103779005,677.3728189785636,1607,175.74673304293714,3.186201604623016
