model,2019,2020,2021
eng,545168.4508139336,668954.6507061752,711236.3971323948
linear,491556.8372311533,538361.4497140076,598422.9552445803
linearstruct,452902.3833187312,494647.10870697926,560336.0388318996
report,493078.27999999997,515869.74,612778.15
