"Listing"

"WFR Listing"
"Created 09 March 2022 19:37"


"CVN","Bale Capacity (cu m)","Post Panamax (Ind)","Post Panamax Old Locks (Ind)","SOx Scrubber 1 Retrofit Indicator","Demo Buyer","Stock Exchange","Panama NT","Suez NT","P and I Club
","Air Draft From Keel","Last Hull Survey Date","EST Number (Energy Saving Technologies)","EST Detail (Energy Saving Technologies)","Hull Survey Due Date","Consumption (tpd)","Deballast Cap (cu m/h)","CGT","LBP (m)","Gear (Ind)","ConBulk","Pool Operator","Manager","Manager Country/Region","Operator Group","Operator Nationality/Region","Eco-Speed - Laden (knots)","Eco-Speed - Ballast (knots)","Main Consumption at Laden Speed (tpd)","Main Consumption at Ballast Speed (tpd)","Main Consumption at Eco-Speed Laden (tpd)","Main Consumption at Eco-Speed Ballast (tpd)","Australia Fitted Ind","Builder Country/Region","Operator Country/Region","Homogeneous TEU","Demo Location","Manager Group","Original Builder","Original Builder Group"
13176147,,,,,,"Singapore",,,"Shipowners P&I",,"13-Jan-2019",,,"20-Jan-2024",36,,11510.95,135,"N",,,"PT SISM","Indonesia","Samudera Indonesia","Indonesia",,,,,,,,"Japan","Singapore",770,,"Samudera Indonesia","Hakata Zosen","Hakata Zosen"
13176439,,,,,,,,,"Shipowners P&I",,,,,,36,,12194.19,151.13,"Y",,,"Pelayaran Meratus","Indonesia","Pelayaran Meratus","Indonesia",,,,,,,,"Japan","Indonesia",875,,"Pelayaran Meratus","Iwagi Zosen","Imabari Shipbuilding"
13176563,,,,,,,,,"Shipowners P&I",,,,,,43.2,,12105.22,150,"Y",,,"Tanto Intim Line","Indonesia","Tanto Intim Line","Indonesia",,,,,,,,"Japan","Indonesia",875,,"Tanto Intim Line","Iwagi Zosen","Imabari Shipbuilding"
13176989,,,,,,,,,,,"26-Jan-2020",,,"14-Jul-2024",,,7472.78,110,"Y",,,"Trans-Asia Shipping","Philippines","Chelsea Logistics","Philippines",,,,,,,,"Japan","Philippines",394,,"Chelsea Logistics","Murakami Hide","Murakami Hide"
13179801,7693,,,,,,,,"Ingosstrrakh",,"07-Jan-2020",,,"30-Dec-2024",29.5,,6280.36,108,"N",,,"Poseidon Shpg","Russia","Poseidon Shpg","Russia",,,,,,,,"Germany","Russia",333,,"Poseidon Shpg","J. J. Sietas","J. J. Sietas"
13179935,,,,,,,,,"Standard Club P&I",,"27-May-2020",,,"31-May-2025",29.6,,6271.08,108,"N",,,"Holwerda Shipmgmt","Netherlands","DP World","U.A.E.",,,,,,,,"Germany","United Kingdom",375,,"Holwerda Shipmgmt","J. J. Sietas","J. J. Sietas"
13180081,7693,,,,,,,,"Standard Club P&I",,"14-May-2020",,,"31-May-2025",,,6271.08,108,"N",,,"Holwerda Shipmgmt","Netherlands","DP World","U.A.E.",,,,,,,,"Germany","United Kingdom",336,,"Holwerda Shipmgmt","J. J. Sietas","J. J. Sietas"
13180115,,,,,,"Ho Chi Minh",8395,7929,"West of England P&I",,"02-May-2020",,,"28-Feb-2025",30.7,,8928.09,134,"N",,,"Dong Do Marine","Vietnam","Hai An Transport","Vietnam",,,,,,,,"Japan","Vietnam",610,,"VIMC","Kyokuyo Shipyard","Kyokuyo Shipyard"
13180249,,,,,,"Hong Kong",,,"North of England P&I",,"18-Apr-2020",,,"30-Apr-2025",30.7,,8928.09,134,"N",,,"SITC Ships Mngt","China P.R.","SITC","China P.R.",,,,,,,,"Japan","Hong Kong",610,,"SITC","Kyokuyo Shipyard","Kyokuyo Shipyard"
13181741,,,,,,,,,"The London P&I Club",,"25-Feb-2020",,,"15-Dec-2024",,,5328.44,93,"Y",,,"Held Bereederungs","Germany","Empresa de Trafego","Portugal",,,,,,,,"Portugal","Portugal",,,"Held Bereederungs","ENVC","ENVC"
13181875,,,,,,,,,"Shipowners P&I",,"12-Aug-2020",,,"30-Sep-2025",66,,18390.33,187.9,"Y",,,"Pelayaran Meratus","Indonesia","A.P. Moller","Denmark",,,,,,,,"Germany","Denmark",1886,,"Pelayaran Meratus","Thyssen Nordsee","Thyssen Nordsee"
13181909,,,,,,,,,"Shipowners P&I",,"15-Jan-2021",,,"31-Dec-2025",66,,18390.33,187.9,"Y",,,"Pelayaran Meratus","Indonesia","A.P. Moller","Denmark",,,,,,,,"Germany","Denmark",1886,,"Pelayaran Meratus","Thyssen Nordsee","Thyssen Nordsee"
13183453,,,,,,,,,"Shipowners P&I",,"08-Feb-2020",,,"24-Feb-2025",53,,15151.73,170,"N",,,"Easline Ship Mgmt","Panama","EAS International","Hong Kong",,,,,,,,"Japan","Hong Kong",,,"EAS International","Shin Kurushima","Shin Kurushima Group"
13183587,,,,,,,,,"North of England P&I",,"30-Mar-2020",,,"12-Apr-2025",53,,14758.40,181,"N",,,"Anglo-Eastern UK","United Kingdom","PIL","Singapore",,,,,,,,"Japan","Singapore",,,"Anglo-Eastern Group","Shin Kurushima","Shin Kurushima Group"
13184089,,,,,,,32650,,"UK P&I Club",,"18-Sep-2020",,,"30-Nov-2025",113,,24323.79,231,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"South Korea","Switzerland",2325,,"MSC","Samsung HI","Samsung HI"
13184113,,,,,,,32650,,"The Swedish Club P&I",,"21-Feb-2021",,,"31-Dec-2025",113,,24323.79,231,"Y",,,"Hammonia Reederei","Germany",,,,,,,,,,"South Korea",,2560,,"Hammonia Reederei","Samsung HI","Samsung HI"
13184247,,,,,,"NYSE",,33816,"Skuld",,"31-Mar-2021",,,"31-Mar-2026",40.8,,24323.79,231,"Y",,,"Danaos Shipping","Greece","CMA CGM","France",,,,,,,,"South Korea","France",2325,,"Danaos Shipping","Samsung HI","Samsung HI"
13184371,,,,,,,,,"Steamship Mutual P&I",,"11-Apr-2016",,,"30-Apr-2022",113,,24323.79,231,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"South Korea","Switzerland",2325,,"MSC","Samsung HI","Samsung HI"
13184405,,,,"Y",,,,,"Standard Club P&I",,"15-Nov-2020",,,"14-Nov-2025",113,,24323.79,231,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"South Korea","Switzerland",2560,,"MSC","Samsung HI","Samsung HI"
13184955,7222,,,,,,,,"West of England P&I",,"27-Mar-2020",,,"26-Mar-2025",17.5,,5985.45,104.8,"Y",,,"Bayraktar Denizcilik","Turkey","Admiral Shipping","U.A.E.",,,,,,,,"Turkey","U.A.E.",246,,"Bayraktar Denizcilik","Gisan Shipyard","Gisan Shipyard"
13186825,,,,,,,,,"American Club P&I",,"12-Sep-2020",,,"13-Jun-2025",106.8,,22955.11,200,"Y",,,"National Navigation","Egypt","DP World","U.A.E.",,,,,,,,"South Korea","Denmark",2208,,"National Navigation","Daewoo (DSME)","Daewoo (DSME)"
13190343,,,,,,,,,"Skuld",,"14-Nov-2019",,,"31-Dec-2024",40,,12681.22,145,"Y",,,"Toba Shpmngmnt","Georgia","Akkon Lines","Turkey",,,,,,,,"Poland","Turkey",820,,"Toba Shpmngmnt","Stocznia Gdansk","Stocznia Gdansk"
13190893,,,"Y",,,,,,"The Swedish Club P&I",,"02-May-2021",,,"30-Apr-2026",246,,38592.97,286.3,"N",,,"NSB Niederelbe","Germany","MSC","Italy",,,,,,,,"South Korea","Switzerland",4729,,"NSB Niederelbe","HHIC (Yeongdo)","HHIC (Yeongdo)"
13190927,,,"Y",,,,,,"The Swedish Club P&I",,"27-May-2021",,,"30-Jun-2026",246,,38592.97,286.3,"N",,,"NSB Niederelbe","Germany","MSC","Italy",,,,,,,,"South Korea","Switzerland",4729,,"NSB Niederelbe","HHIC (Yeongdo)","HHIC (Yeongdo)"
13191003,,,"Y",,,"NYSE",,,"The London P&I Club",,"02-Jul-2016",,,"02-Jul-2021",255,,38587.59,286.3,"N",,,"Technomar Shipping","Greece","CMA CGM","France",,,,,,,,"South Korea","France",4880,,"Technomar Shipping","HHIC (Yeongdo)","HHIC (Yeongdo)"
13191137,,,"Y",,,,,,"Steamship Mutual P&I",,"29-Aug-2016",,,"14-Mar-2022",255,,38587.59,286.3,"N",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"South Korea","Switzerland",4880,,"MSC","HHIC (Yeongdo)","HHIC (Yeongdo)"
13192471,,,,,,,12766,10720,"UK P&I Club",,"25-Jul-2020",,,"30-Jun-2025",66,,12703.62,151.07,"N",,,"Reederei Koepping","Germany","Borchard Lines","United Kingdom",,,,,,,,"South Korea","United Kingdom",840,,"Reederei Koepping","Hanjin HI (Ulsan)","Hanjin HI (Ulsan)"
13192505,,,,,,,12766,10720,"UK P&I Club",,"15-Sep-2020",,,"31-Aug-2025",66,,12703.62,151.07,"N",,,"Reederei Koepping","Germany","Borchard Lines","United Kingdom",,,,,,,,"South Korea","United Kingdom",840,,"Reederei Koepping","Hanjin HI (Ulsan)","Hanjin HI (Ulsan)"
13192639,,,,,,,12766,10720,"UK P&I Club",,"12-Nov-2020",,,"30-Nov-2025",66,,12703.62,151.07,"N",,,"Reederei Koepping","Germany","Borchard Lines","United Kingdom",,,,,,,,"South Korea","United Kingdom",840,,"Reederei Koepping","Hanjin HI (Ulsan)","Hanjin HI (Ulsan)"
13192763,,,,,"Pakistan",,12766,10720,,,"23-Feb-2016",,,"23-Feb-2021",66,,12703.62,151.07,"N",,,"Nautical Carriers","Greece",,,,,,,,,,"South Korea",,840,"Pakistan","Nautical Carriers","Hanjin HI (Ulsan)","Hanjin HI (Ulsan)"
13192897,,,,,,,12766,10720,"The Swedish Club P&I",,"05-Jul-2021",,,"30-Apr-2026",66,,12703.62,151.07,"N",,,"Conbulk Shipping","Greece","CMA CGM","France",,,,,,,,"South Korea","France",840,,"Conbulk Shipping","Hanjin HI (Ulsan)","Hanjin HI (Ulsan)"
13192921,,,,,"Pakistan",,12766,10720,,,"19-Jun-2017",,,"19-Jun-2022",66,,12703.62,151.07,"N",,,"Prayati Shipping","India",,,,,,,,,,"South Korea",,840,"Pakistan","Prayati Shipping","Hanjin HI (Ulsan)","Hanjin HI (Ulsan)"
13193007,,,,,,,12766,10720,"The Swedish Club P&I",,"13-Oct-2021",,,"13-Oct-2026",66,,12703.62,151.07,"N",,,"Conbulk","Greece","CMA CGM","France",,,,,,,,"South Korea","France",840,,"Conbulk","Hanjin HI (Ulsan)","Hanjin HI (Ulsan)"
13193131,,,,,,,12766,10720,"The Swedish Club P&I",,"02-Oct-2021",,,"01-Oct-2026",66,,12703.62,151.07,"N",,,"Conbulk","Greece","Zim Integrated Shpg","Israel",,,,,,,,"South Korea","Israel",840,,"Conbulk","Hanjin HI (Ulsan)","Hanjin HI (Ulsan)"
13193681,,,"Y",,,,,73559,"Gard P&I",,"28-May-2021",,,"08-Feb-2026",210,,41234.36,286,"N",,,,,"A.P. Moller","Denmark",,,,,,,,"South Korea","Denmark",5616,,,"Hyundai HI (Ulsan)","Hyundai HI Group"
13193715,,,"Y",,,,,73559,"Gard P&I",,"26-Jun-2021",,,"21-Mar-2026",210,,41234.36,286,"N",,,"B. Schulte (Deutsch)","Germany","A.P. Moller","Denmark",,,,,,,,"South Korea","Denmark",5616,,"Schulte Group","Hyundai HI (Ulsan)","Hyundai HI Group"
13193849,,,"Y",,,,,73559,"Gard P&I",,"17-Sep-2021",,,"27-May-2026",210,,41234.36,286,"N",,,"B. Schulte (Deutsch)","Germany","A.P. Moller","Denmark",,,,,,,,"South Korea","Denmark",5616,,"Schulte Group","Hyundai HI (Ulsan)","Hyundai HI Group"
13193973,,,"Y",,,,,73559,"Gard P&I",,"23-Jul-2021",,,"19-Jul-2026",210,,41234.36,286,"N",,,"B. Schulte (Deutsch)","Germany","A.P. Moller","Denmark",,,,,,,,"South Korea","Denmark",5616,,"Schulte Group","Hyundai HI (Ulsan)","Hyundai HI Group"
13195135,,,,,,,,,"Skuld",,"27-Nov-2017",,,"30-Jun-2022",27,,8160.20,118.75,"N",,,"TMSC","China P.R.","TMSC","China P.R.",,,,,,,,"China P.R.","China P.R.",444,,"TMSC","Mawei SB (Mawei)","Fujian Shipbuilding"
13195269,,,,,"Bangladesh",,,,,,"26-Mar-2017",,,"26-Mar-2022",27,,8160.20,118.75,"N",,,"Forever Rich Shpg","Hong Kong","Forever Rich Shpg","Hong Kong",,,,,,,,"China P.R.","Hong Kong",430,"Bangladesh","Forever Rich Shpg","Mawei SB (Mawei)","Fujian Shipbuilding"
13195393,,,,,,,,,"West of England P&I",,"07-May-2017",,,"06-May-2022",27,,8160.20,118.75,"Y",,,"Lanbao International","Hong Kong","Lanbao International","China P.R.",,,,,,,,"China P.R.","Hong Kong",430,,"Lanbao International","Mawei SB (Mawei)","Fujian Shipbuilding"
13196479,,,,,,,,,,,"24-May-1999",,,"24-May-2004",,,2865.40,74.6,"N",,,"Fuzhou Mawei Shpg","China P.R.","Fujian Huarong","China P.R.",,,,,,,,"China P.R.","China P.R.",,,"Fujian Huarong","Fujian Fishery SY","Fujian Fishery SY"
13198349,,,"Y",,,,,,"Britannia P&I",,"05-Dec-2017",,,"20-Dec-2022",240,,44948.33,331.52,"N",,,"A.P. Moller","Denmark","A.P. Moller","Denmark",,,,,,,,"Denmark","Denmark",,,"A.P. Moller","Odense Lindo","Odense Lindo"
13198473,,,"Y",,,,,80151,"Britannia P&I",,"26-Apr-2020",,,"31-Mar-2025",250,,44613.92,331.52,"N",,,"Anglo-Eastern S/Mngt","Hong Kong","A.P. Moller","Denmark",,,,,,,,"Denmark","Denmark",,,"Anglo-Eastern S/Mngt","Odense Lindo","Odense Lindo"
13198507,,,"Y",,,,,80151,"Standard Club P&I",,"18-Jun-2020",,,"30-Jun-2025",240,,44613.92,331.52,"N",,,"Zeaborn Ship Mgmt","Germany","A.P. Moller","Denmark",,,,,,,,"Denmark","Denmark",,,"Zeaborn","Odense Lindo","Odense Lindo"
13198631,,,"Y",,,,,80151,"Britannia P&I",,"18-Dec-2019",,,"24-Feb-2025",240,,44613.92,331.52,"N",,,"Zeaborn Ship Mgmt","Germany","A.P. Moller","Denmark",,,,,,,,"Denmark","Denmark",,,"Zeaborn","Odense Lindo","Odense Lindo"
13198765,,,,,,"NYSE",,,"The Swedish Club P&I",,"01-Jul-2021",,,"31-Mar-2026",51.5,,12390.82,145,"Y",,,"Costamare Shipping","Greece","MSC","Italy",,,,,,,,"Singapore","Switzerland",854,,"Costamare Shipping","Jurong Shipyard","Jurong Shipyard"
13198899,,,,,,,,10904,"The London P&I Club",,"22-Jun-2021",,,"31-May-2026",51.5,,12390.82,145,"Y",,,"Dalian Zhida","China P.R.","FESCO","Russia",,,,,,,,"Singapore","Russia",854,,"Dalian Zhida","Jurong Shipyard","Jurong Shipyard"
13199133,,,,,,"Malaysia",,10904,"Shipowners P&I",,"22-Oct-2021",,,"31-Oct-2026",55,,12390.82,145,"Y",,,"Shin Yang Shipping","Malaysia","Asean Seas Line","Hong Kong",,,,,,,,"Singapore","Hong Kong",858,,"Shin Yang Shipping","Jurong Shipyard","Jurong Shipyard"
13199267,,,,,,,,10904,"UK P&I Club",,"20-Apr-2017",,,"31-Mar-2022",40,,12390.82,145,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"Singapore","Switzerland",858,,"MSC","Jurong Shipyard","Jurong Shipyard"
13199559,,,"Y",,"India",,,,,60,"05-Feb-2016",,,"05-Feb-2021",228,,36085.59,263,"N",,,"Zeaborn Ship Mgmt","Germany",,,,,,,,,,"South Korea",,4193,"India","Zeaborn","Samsung HI","Samsung HI"
13199683,,,"Y",,,"NYSE",,,"Steamship Mutual P&I",60,"25-Nov-2020",,,"31-Oct-2025",228,,35941.46,263,"N",,,"Technomar Shipping","Greece","A.P. Moller","Denmark",,,,,,,,"South Korea","Denmark",4193,,"Technomar Shipping","Samsung HI","Samsung HI"
13201511,,,,,,"NYSE",,,"The London P&I Club",,"27-Jan-2022",,,"04-Oct-2026",95,,19145.61,185.5,"Y",,,"Technomar Shipping","Greece","China COSCO Shipping","China P.R.",,,,,,,,"Taiwan","Hong Kong",1750,,"Technomar Shipping","CSBC (Keelung)","CSBC Corporation"
13201645,,,,,,,,,"Steamship Mutual P&I",,"29-Jun-2016",,,"21-Mar-2022",95,,19145.61,185.5,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"Taiwan","Switzerland",1750,,"MSC","CSBC (Keelung)","CSBC Corporation"
13202013,,,,,,,,,"Britannia P&I",,"08-Mar-2021",,,"28-Feb-2026",87,,19407.14,199,"Y",,,"Maersk Global","India","A.P. Moller","Denmark",,,,,,,,"South Korea","Denmark",1850,,"Maersk Global","Hyundai HI (Ulsan)","Hyundai HI Group"
13202147,,,,,,,,,"Britannia P&I",,"10-Mar-2021",,,"30-Apr-2026",87,,19407.14,199,"Y",,,"Maersk Global","India","A.P. Moller","Denmark",,,,,,,,"South Korea","Denmark",1850,,"Maersk Global","Hyundai HI (Ulsan)","Hyundai HI Group"
13202271,,,,,,,,,"Steamship Mutual P&I",,"09-Nov-2021",,,"30-Apr-2026",87,,19407.14,199,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"South Korea","Switzerland",1850,,"MSC","Hyundai HI (Ulsan)","Hyundai HI Group"
13202305,,,,,,,,22566,"Britannia P&I",53.84,"10-Sep-2021",,,"31-Jul-2026",87,,19407.14,199,"Y",,,"Maersk Global","India","A.P. Moller","Denmark",,,,,,,,"South Korea","Denmark",1850,,"Maersk Global","Hyundai HI (Ulsan)","Hyundai HI Group"
13202439,,,,,,,,22567,"Britannia P&I",53.85,"03-Nov-2020",,,"02-Nov-2025",87,,19452.72,199,"Y",,,"Maersk Global","India","A.P. Moller","Denmark",,,,,,,,"South Korea","Denmark",1850,,"Maersk Global","Hyundai HI (Ulsan)","Hyundai HI Group"
13203515,,,"Y",,,"NYSE",,,"Steamship Mutual P&I",60,"06-Dec-2020",,,"31-Aug-2025",228,,36085.59,263,"N",,,"Technomar Shipping","Greece","A.P. Moller","Denmark",,,,,,,,"South Korea","Denmark",4170,,"Technomar Shipping","Samsung HI","Samsung HI"
13203649,,,"Y",,,"NYSE",,,"Steamship Mutual P&I",60,"08-Feb-2021",,,"31-Dec-2025",228,,36085.59,263,"N",,,"Technomar Shipping","Greece","A.P. Moller","Denmark",,,,,,,,"South Korea","Denmark",4193,,"Technomar Shipping","Samsung HI","Samsung HI"
13203773,,,"Y",,,"NYSE",,,"UK P&I Club",,"20-Aug-2021",,,"31-May-2026",200,,36085.59,263,"N",,,"Technomar Shipping","Greece","A.P. Moller","Denmark",,,,,,,,"South Korea","Denmark",4193,,"Technomar Shipping","Samsung HI","Samsung HI"
13203807,,,,,,,,,"The London P&I Club",,"18-Feb-2020",,,"18-Feb-2025",105,,25631.93,245.24,"Y",,,"Sealift Inc","United States","Sealift Inc","United States",,,,,,,,"South Korea","United States",2695,,"Sealift Inc","Samsung HI","Samsung HI"
13203931,,,,"Y",,,,,"Standard Club P&I",,"18-Feb-2022",,,"31-Mar-2026",105,,25631.93,245.24,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"South Korea","Switzerland",2695,,"MSC","Samsung HI","Samsung HI"
13204141,,,,,,,,,"The London P&I Club",,"13-Apr-2021",,,"01-May-2026",105,,24228.78,243,"Y",,,"Sealift Inc","United States","Sealift Inc","United States",,,,,,,,"South Korea","United States",2695,,"Sealift Inc","Samsung HI","Samsung HI"
13204433,,,,,,,,,"Britannia P&I",,"22-Dec-2021",,,"27-Oct-2026",30,,9380.57,123,"Y",,,"Kotoku Kaiun KK","Japan","KMTC","South Korea",,,,,,,,"Japan","South Korea",570,,"Kotoku Kaiun KK","Hakata Zosen","Hakata Zosen"
13206303,,,,,,,,,"Britannia P&I",,"25-Jan-2019",,,"24-May-2024",120,,21126.41,195.4,"Y",,,"Maersk","Denmark","A.P. Moller","Denmark",,,,,,,,"Germany","Denmark",1950,,"A.P. Moller","Volkswerft","Volkswerft"
13206437,,,,,,,,,"Britannia P&I",,"14-Apr-2021",,,"17-Mar-2026",115,,18845.21,195.4,"Y",,,"Maersk","Denmark","A.P. Moller","Denmark",,,,,,,,"Germany","Denmark",1950,,"A.P. Moller","Volkswerft","Volkswerft"
13206561,,,,,,,,,"Standard Club P&I",,"16-Jul-2019",,,"15-Jul-2024",115,,21126.41,195.4,"Y",,,"Maersk","Denmark","A.P. Moller","Denmark",,,,,,,,"Germany","Denmark",1950,,"A.P. Moller","Volkswerft","Volkswerft"
13206695,,,,,,,,,"Britannia P&I",,"07-Feb-2017",,,"06-May-2022",115,,21126.41,195.4,"Y",,,"Maersk","Denmark","A.P. Moller","Denmark",,,,,,,,"Germany","Denmark",1950,,"A.P. Moller","Volkswerft","Volkswerft"
13206729,,,,,,,,,"American Club P&I",,"02-Feb-2021",,,"30-Sep-2025",74,,18779.32,195.4,"Y",,,"Tehama Shipping","U.A.E.","Sea Consortium","Singapore",,,,,,,,"Germany","Singapore",1890,,"Tehama Shipping","Aker MTW Werft","Aker MTW Werft"
13206853,,,,,,"Bombay",,,"Steamship Mutual P&I",,"30-Apr-2021",,,"30-Nov-2025",19,,18792.91,191.8,"Y",,,"TW Ship Mng","India","Transworld Group","U.A.E.",,,,,,,,"Germany","India",1890,,"Transworld Group","Aker MTW Werft","Aker MTW Werft"
13207063,,,"Y",,,,,58818,"West of England P&I",,"05-Aug-2021",,,"24-Jul-2026",160,,35804.48,267,"N",,,"COSCO Maritime UK","United Kingdom","China COSCO Shipping","China P.R.",,,,,,,,"Japan","China P.R.",4330,,"China COSCO Shipping","Kawasaki HI Sakaide","Kawasaki HI"
13207197,,,"Y",,,,,58818,"UK P&I Club",,"28-Aug-2021",,,"09-Oct-2026",160,,35804.48,267,"N",,,"COSCO Maritime UK","United Kingdom","China COSCO Shipping","China P.R.",,,,,,,,"Japan","China P.R.",4330,,"China COSCO Shipping","Kawasaki HI Sakaide","Kawasaki HI"
13207221,,,"Y",,,,,58818,"West of England P&I",,"12-Dec-2021",,,"11-Dec-2026",160,,35804.48,267,"N",,,"COSCO Maritime UK","United Kingdom","China COSCO Shipping","China P.R.",,,,,,,,"Japan","China P.R.",4330,,"China COSCO Shipping","Kawasaki HI Sakaide","Kawasaki HI"
13207355,,,"Y",,,,,58818,"West of England P&I",,"13-Nov-2021",,,"12-Nov-2026",160,,35804.48,267,"N",,,"COSCO Maritime UK","United Kingdom","China COSCO Shipping","China P.R.",,,,,,,,"Japan","China P.R.",4330,,"China COSCO Shipping","Kawasaki HI Sakaide","Kawasaki HI"
13207489,,,"Y",,,,,58818,"UK P&I Club",,"01-May-2017",,,"30-Apr-2022",160,,35804.48,267,"N",,,"COSCO Maritime UK","United Kingdom","China COSCO Shipping","China P.R.",,,,,,,,"Japan","China P.R.",4330,,"China COSCO Shipping","Kawasaki HI Sakaide","Kawasaki HI"
13207513,,,"Y",,,,,58818,"UK P&I Club",,"31-Jul-2021",,,"26-Sep-2026",160,,35804.48,267,"N",,,"COSCO Maritime UK","United Kingdom","China COSCO Shipping","China P.R.",,,,,,,,"China P.R.","China P.R.",4330,,"China COSCO Shipping","Nantong COSCO KHI","COSCO Shipping HI"
13207647,,,"Y",,,,,58818,"West of England P&I",,"24-Apr-2017",,,"23-Apr-2022",160,,35941.46,267,"N",,,"COSCO Maritime UK","United Kingdom","China COSCO Shipping","China P.R.",,,,,,,,"China P.R.","China P.R.",4330,,"China COSCO Shipping","Nantong COSCO KHI","COSCO Shipping HI"
13207805,,,"Y",,,,,,"UK P&I Club",,"08-Jul-2021",,,"28-Feb-2026",216,,35627.06,263,"N",,,"Technomar Shipping","Greece","Zim Integrated Shpg","Israel",,,,,,,,"South Korea","Hong Kong",4330,,"Technomar Shipping","Hyundai HI (Ulsan)","Hyundai HI Group"
13207939,,,"Y",,,,,,"UK P&I Club",,"27-May-2021",,,"31-Jan-2026",216,,35628.92,263,"N",,,"Technomar Shipping","Greece","CMA CGM","France",,,,,,,,"South Korea","France",4330,,"Technomar Shipping","Hyundai HI (Ulsan)","Hyundai HI Group"
13208857,,,,,,,15000,14260,"Standard Club P&I",,"02-Dec-2020",,,"31-Jul-2025",18.5,,14218.10,158,"N",,,"Vega Reederei","Germany","KMTC","South Korea",,,,,,,,"South Korea","South Korea",1230,,"Vega Reederei","HHIC (Yeongdo)","HHIC (Yeongdo)"
13208981,,,,,,,15000,14260,"Shipowners P&I",,"11-Jan-2021",,,"30-Sep-2025",61,,14218.10,158,"N",,,"Nautica Shipmanageme","Greece","MTT Shipping","Malaysia",,,,,,,,"South Korea","Malaysia",1217,,"Nautica Shipmanageme","HHIC (Yeongdo)","HHIC (Yeongdo)"
13209067,,,,,,,,14904,"Korea P&I",,"04-Nov-2020",,,"30-Nov-2025",61,,14218.10,158,"N",,,"KLC SM","South Korea","SM Group","South Korea",,,,,,,,"South Korea","South Korea",1230,,"SM Group","HHIC (Yeongdo)","HHIC (Yeongdo)"
13209191,,,,,,,,14904,"UK P&I Club",,"26-Jan-2021",,,"29-Jan-2026",61,,14218.10,158,"N",,,"Oceanic Maritime Ltd","United Kingdom","Pan Ocean","South Korea",,,,,,,,"South Korea","South Korea",1230,,"Oceanic Maritime Ltd","HHIC (Yeongdo)","HHIC (Yeongdo)"
13209641,,,,,,,,,"The London P&I Club",,"23-Mar-2020",,,"31-Mar-2025",40,,12681.22,145,"Y",,,"Mahoney Marine Serv","Egypt","Mahoney Marine Serv","Egypt",,,,,,,,"Poland","Egypt",820,,"Mahoney Marine Serv","Stocznia Gdynia","Stocznia Gdynia"
13209809,4166,,,,,"Moscow",,,"West of England P&I",,"24-Jul-2020",,,"30-Jun-2025",,,4387.43,91.45,"N",,,"NSC Arkhangelsk","Russia","NSC Arkhangelsk","Russia",,,,,,,,"Germany","Russia",221,,"NSC Arkhangelsk","Kroeger Werft","Kroeger Werft"
13210539,,,,,"India",,,14593,,,"17-May-2015",,,"17-May-2020",54.5,,14191.12,171.94,"Y",,,"Peter Dohle","Germany",,,,,,,,,,"Poland",,1125,"India","Peter Dohle","Szczecin Shipyard","Szczecin Shipyard"
13210663,,,,,,,14961,14597,"Standard Club P&I",,"26-Aug-2021",,,"31-Dec-2025",54.5,,14191.12,171.94,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"Poland","Switzerland",1125,,"MSC","Szczecin Shipyard","Szczecin Shipyard"
13210821,,,,,,,14836,14049,"West of England P&I",,"12-Jun-2020",,,"30-Jun-2025",49,,14189.40,172,"N",,,"COSCO Shanghai","China P.R.","China COSCO Shipping","China P.R.",,,,,,,,"Japan","China P.R.",1200,,"China COSCO Shipping","Imabari SB (Imabari)","Imabari Shipbuilding"
13210955,,,,,,,14837,14049,"Skuld",,"06-Jul-2020",,,"30-Sep-2025",49,,14189.40,172,"N",,,"COSCO Shanghai","China P.R.","China COSCO Shipping","China P.R.",,,,,,,,"Japan","China P.R.",1200,,"China COSCO Shipping","Imabari SB (Imabari)","Imabari Shipbuilding"
13211031,,,,,,,14837,14049,"West of England P&I",,"26-Oct-2020",,,"20-Oct-2025",49,,14189.40,172,"N",,,"COSCO Shanghai","China P.R.","China COSCO Shipping","China P.R.",,,,,,,,"Japan","China P.R.",1200,,"China COSCO Shipping","Imabari SB (Imabari)","Imabari Shipbuilding"
13211299,,,,,,,14837,14049,"The Swedish Club P&I",,"12-Mar-2021",,,"31-Mar-2026",49,,14152.62,172,"N",,,"COSCO Shanghai","China P.R.","China COSCO Shipping","China P.R.",,,,,,,,"Japan","China P.R.",1200,,"China COSCO Shipping","Imabari SB (Imabari)","Imabari Shipbuilding"
