"Listing"

"WFR Listing"
"Created 09 March 2022 19:37"


"CVN","Bale Capacity (cu m)","Post Panamax (Ind)","Post Panamax Old Locks (Ind)","SOx Scrubber 1 Retrofit Indicator","Demo Buyer","Stock Exchange","Panama NT","Suez NT","P and I Club
","Air Draft From Keel","Last Hull Survey Date","EST Number (Energy Saving Technologies)","EST Detail (Energy Saving Technologies)","Hull Survey Due Date","Consumption (tpd)","Deballast Cap (cu m/h)","CGT","LBP (m)","Gear (Ind)","ConBulk","Pool Operator","Manager","Manager Country/Region","Operator Group","Operator Nationality/Region","Eco-Speed - Laden (knots)","Eco-Speed - Ballast (knots)","Main Consumption at Laden Speed (tpd)","Main Consumption at Ballast Speed (tpd)","Main Consumption at Eco-Speed Laden (tpd)","Main Consumption at Eco-Speed Ballast (tpd)","Australia Fitted Ind","Builder Country/Region","Operator Country/Region","Homogeneous TEU","Demo Location","Manager Group","Original Builder","Original Builder Group"
13029155,,,,,,,,,,,"20-Sep-2000",,,"20-Sep-2005",,,5996.65,103.31,"Y",,,"Djakarta Lloyd","Indonesia","Djakarta Lloyd","Indonesia",,,,,,,,"Indonesia","Indonesia",350,,"Djakarta Lloyd","PT PAL Indonesia","PT PAL Indonesia"
13029289,,,,,,,,,,,"15-Feb-2006",,,"15-Feb-2011",,,5944.86,103.31,"Y",,,"Djakarta Lloyd","Indonesia","Djakarta Lloyd","Indonesia",,,,,,,,"Indonesia","Indonesia",350,,"Djakarta Lloyd","PT PAL Indonesia","PT PAL Indonesia"
13030469,,,,,,,,,,,"31-Mar-2001",,,"31-Mar-2006",14,,5944.86,103.31,"Y",,,"Djakarta Lloyd","Indonesia","Djakarta Lloyd","Indonesia",,,,,,,,"Indonesia","Indonesia",350,,"Djakarta Lloyd","PT PAL Indonesia","PT PAL Indonesia"
13030885,,,,,,,,,"Gard P&I",,"20-Jul-2020",,,"31-Mar-2025",58,,15058.60,170,"Y",,,"Leonhardt Shpgmngt","Germany","Yang Ming Marine","Taiwan",,,,,,,,"China P.R.","Taiwan",1330,,"Leonhardt Shpgmngt","Jiangyang S.Y.","Jiangyang S.Y."
13030919,,,,,,,,,"Gard P&I",,"23-Oct-2020",,,"30-Sep-2025",58,,15058.60,170,"Y",,,"Leonhardt Shpgmngt","Germany","Wan Hai Lines","Taiwan",,,,,,,,"China P.R.","Taiwan",1330,,"Leonhardt Shpgmngt","Jiangyang S.Y.","Jiangyang S.Y."
13031095,,,,,,,,,"Shipowners P&I",,"22-Jun-2021",,,"21-Mar-2026",58,,15058.60,170,"Y",,,"Nautica Shipmanageme","Greece","Yang Ming Marine","Taiwan",,,,,,,,"China P.R.","Taiwan",1330,,"Nautica Shipmanageme","Jiangyang S.Y.","Jiangyang S.Y."
13031129,,,,,,,,,"The Swedish Club P&I",,"06-Mar-2018",,,"28-Feb-2023",58,,15058.60,170,"Y",,,"Leonhardt Shpgmngt","Germany","A.P. Moller","Denmark",,,,,,,,"China P.R.","Denmark",1330,,"Leonhardt Shpgmngt","Jiangyang S.Y.","Jiangyang S.Y."
13039125,,,,,,,12502,12502,"Britannia P&I",,"13-Apr-2017",,,"12-Apr-2022",36,,12573.22,145.77,"N",,,"Maersk","Denmark","A.P. Moller","Denmark",,,,,,,,"Taiwan","Denmark",830,,"A.P. Moller","CSBC (Keelung)","CSBC Corporation"
13042691,,,"Y","Y",,"Taiwan",,62008,"Gard P&I",,"04-Jan-2022",,,"24-Nov-2026",201,,37162.30,268,"N",,,"Evergreen (U.K.)","United Kingdom","Evergreen Marine","Taiwan",,,,,,,,"Japan","Taiwan",,,"Evergreen Marine","MHI Nagasaki","Mitsubishi HI"
13042725,,,"Y","Y",,"Taiwan",,61968,"Gard P&I",,"11-Dec-2019",,,"31-Jan-2025",201,,37162.30,268,"N",,,"Evergreen Marine","Taiwan","Evergreen Marine","Taiwan",,,,,,,,"Japan","Taiwan",,,"Evergreen Marine","MHI Nagasaki","Mitsubishi HI"
13042983,,,"Y","Y",,"Taiwan",,61968,"Gard P&I",,"14-Dec-2018",,,"31-Jan-2024",201,,37162.30,268,"N",,,"Evergreen Marine","Taiwan","Evergreen Marine","Taiwan",,,,,,,,"Japan","Taiwan",,,"Evergreen Marine","MHI Kobe","Mitsubishi HI"
13043069,,,"Y","Y",,"Taiwan",,61968,"Gard P&I",,"01-Mar-2019",,,"31-Mar-2024",201,,37162.30,268,"N",,,"Evergreen Spore","Singapore","Evergreen Marine","Taiwan",,,,,,,,"Japan","Taiwan",,,"Evergreen Spore","MHI Kobe","Mitsubishi HI"
13043193,,,"Y","Y",,"Taiwan",,61968,"Gard P&I",,"01-Apr-2019",,,"30-Jun-2024",201,,37162.30,268,"N",,,"Evergreen (U.K.)","United Kingdom","Evergreen Marine","Taiwan",,,,,,,,"Japan","Taiwan",,,"Evergreen Marine","MHI Kobe","Mitsubishi HI"
13043227,,,"Y","Y",,"Taiwan",,61968,"Gard P&I",,"25-Dec-2019",,,"31-Oct-2024",201,,37162.30,268,"N",,,"Evergreen Marine","Taiwan","Evergreen Marine","Taiwan",,,,,,,,"Japan","Taiwan",,,"Evergreen Marine","MHI Kobe","Mitsubishi HI"
13043351,,,"Y","Y",,"Taiwan",,61968,"Gard P&I",,"18-Nov-2019",,,"31-Dec-2024",201,,37162.30,268,"N",,,"Evergreen Marine","Taiwan","Evergreen Marine","Taiwan",,,,,,,,"Japan","Taiwan",,,"Evergreen Marine","MHI Kobe","Mitsubishi HI"
13043801,,,,,,,,,"The London P&I Club",,"18-Apr-2020",,,"31-Jan-2025",17.5,,9308.57,125,"N",,,"Fonway Shipping","Singapore","KMTC","South Korea",,,,,,,,"China P.R.","South Korea",590,,"Fonway Shipping","Shandong Weihai SY","Shandong Weihai SY"
13043935,,,,,,,,,"Standard Club P&I",,"27-Oct-2018",,,"23-Jan-2024",33.8,,9724.44,125,"N",,,"Zhoushan Hehe","China P.R.","TS Lines","Taiwan",,,,,,,,"China P.R.","Taiwan",590,,"Zhoushan Hefeng Shpg","Shandong Weihai SY","Shandong Weihai SY"
13046431,,,,,,,,9734,,,"01-Jul-2019",,,"30-Jun-2024",39,,11290.03,140,"Y",,,"Tehama Shipping","U.A.E.","Tehama Shipping","U.A.E.",,,,,,,,"China P.R.","U.A.E.",760,,"Tehama Shipping","Tianjin Xingang HI","CSSC"
