"Listing"

"WFR Listing"
"Created 15 February 2022 21:19"


"CVN","IMO Number","Name","MMSI (Maritime Mobile Service Identity)","Ex Name","Flag State","Operator","Owner","Group Owner","Built Date","Keel Laid Date","Contract Date","LDT","Demo $/LDT","Demo Date","Dwt","Beam Mld (m)","Draught (m)","Gear Detail","Price (NB)","Currency (NB)","Main Engine Fuel Type","Main Consumption at Service Speed (tpd)
","Main Engine Detail","HP Total Propulsion","SOx Scrubber Status","Eco – Electronic Engine","Environmental Detail","Service Speed (knots)","Holds Total No","Grain Capacity (cu m)","Type","Main Global Zone (Last 12 Months %)","Est Crew No","LOA (m)","Ballast Speed (knots)","Laden Speed (knots)","Main Engine LNG Ready","Owner Nationality/Region","Builder"
16317688,9806952,"Yuan Qian Hai",563101200,,"Singapore","Vale","China Ore Shipping","China COSCO Shipping","01-Jan-2020","10-Jun-2019","31-Mar-2016",,,,398152,65,23," 2 x Crane, Provision SWL 12.50 tons, 1 x Crane, Engine Room SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",30250,"Fitted","Eco – Electronic Engine Modern","1 x BWTS - Ballast Water Treatment System - Sunrui, 1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Saacke EGCS-HM",,7,212628,"Ore Carrier","East Coast Africa (22.5 %)",20,362,,,"LNG Ready","China P.R.","Shanghai Waigaoqiao"
16323184,9807724,"Pacific Express",477184700,,"Hong Kong","Vale","China Merchants Shpg","China Merchants","01-Aug-2018","17-Dec-2015","08-Apr-2016",,,,399252,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,212628,"Ore Carrier","East Coast Africa (24.0 %)",20,361.9,,,"LNG Ready","China P.R.","Beihai Shipyard"
16323197,9807736,"Pacific Flourish",477176600,,"Hong Kong","Vale","China Merchants Shpg","China Merchants","01-Jul-2018","17-Dec-2015","08-Apr-2016",,,,399116,65,23," 2 x Crane, Engine Room SWL 12.50 tons, 1 x Crane, Provision SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,212628,"Ore Carrier","East Coast Africa (22.7 %)",20,361.9,,,"LNG Ready","China P.R.","Beihai Shipyard"
16317604,9806873,"Yuan He Hai",563045200,,"Singapore","Vale","China Ore Shipping","China COSCO Shipping","01-Jan-2018","18-May-2017","31-Mar-2016",,,,398595,65,23," 2 x Crane, Provision SWL 12.50 tons, 1 x Crane, Engine Room SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",30250,"Fitted","Eco – Electronic Engine Modern","1 x BWTS - Ballast Water Treatment System - Sunrui, 1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Saacke EGCS-HM - 2020 installation year",14.5,7,212628,"Ore Carrier","East Coast Africa (22.3 %)",20,362,,,"LNG Ready","China P.R.","Shanghai Waigaoqiao"
16317617,9806885,"Yuan Gu Hai",563057400,,"Singapore","Vale","China Ore Shipping","China COSCO Shipping","01-May-2018","30-Sep-2017","31-Mar-2016",,,,399000,65,23," 2 x Crane, Provision SWL 12.50 tons, 1 x Crane, Engine Room SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",30250,"Fitted","Eco – Electronic Engine Modern","1 x BWTS - Ballast Water Treatment System - Sunrui, 1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Saacke EGCS-HM - 2020 installation year",14.5,7,212628,"Ore Carrier","East Coast South America (29.9 %)",20,362,,,"LNG Ready","China P.R.","Shanghai Waigaoqiao"
16317620,9806897,"Yuan Yi Hai",563065300,,"Singapore","Vale","China Ore Shipping","China COSCO Shipping","01-Sep-2018","03-Feb-2018","31-Mar-2016",,,,399000,65,23," 2 x Crane, Provision SWL 12.50 tons, 1 x Crane, Engine Room SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",30250,"Fitted","Eco – Electronic Engine Modern","1 x BWTS - Ballast Water Treatment System - Sunrui, 1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Saacke EGCS-HM - 2020 installation year",14.5,7,212628,"Ore Carrier","East Coast South America (27.0 %)",20,362,,,"LNG Ready","China P.R.","Shanghai Waigaoqiao"
16317633,9806902,"Yuan Bao Hai",563067600,,"Singapore","Vale","China Ore Shipping","China COSCO Shipping","01-Oct-2018","09-Mar-2018","31-Mar-2016",,,,398453,65,23," 2 x Crane, Provision SWL 12.50 tons, 1 x Crane, Engine Room SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",30250,"Fitted","Eco – Electronic Engine Modern","1 x BWTS - Ballast Water Treatment System - Sunrui, 1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Saacke EGCS-HM - 2020 installation year",14.5,7,212628,"Ore Carrier","East Coast Africa (22.6 %)",20,362,,,"LNG Ready","China P.R.","Shanghai Waigaoqiao"
16317709,9806976,"Pacific Unity",477159400,,"Hong Kong","Vale","China Merchants Shpg","China Merchants","01-May-2018","24-Dec-2015","03-Nov-2015",,,,399000,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 32,970mkW total at 72rpm",44826,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",,7,,"Ore Carrier","East Coast Africa (23.1 %)",20,362,,,"LNG Ready","China P.R.","Shanghai Waigaoqiao"
16317712,9806988,"Pacific Harvest",477191200,,"Hong Kong","Vale","China Merchants Shpg","China Merchants","01-Jul-2018","24-Dec-2015","03-Nov-2015",,,,399999,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32902,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 1 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",,7,,"Ore Carrier","East Coast South America (23.0 %)",20,362,,,"LNG Ready","China P.R.","Shanghai Waigaoqiao"
16317725,9806990,"Pacific Vision",477232500,,"Hong Kong","Vale","China Merchants Shpg","China Merchants","01-Nov-2018","24-Dec-2015","03-Nov-2015",,,,398411,65,23,,85,"$m",,,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 32,970mkW total at 72rpm",44826,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",,7,,"Ore Carrier","East Coast South America (23.4 %)",20,362,,,"LNG Ready","China P.R.","Shanghai Waigaoqiao"
