"Listing"

"WFR Listing"
"Created 16 February 2022 05:01"


"CVN","Age Scrapped","Fleet Type","Bale Capacity (cu m)","Sister Vessel Code","Owner Size","Post Panamax (Ind)","Post Panamax Old Locks (Ind)","SOx Scrubber 1 Retrofit Indicator","Demo Buyer","Stock Exchange","Panama NT","Suez NT","P and I Club
","Air Draft From Keel","Last Hull Survey Date","EST Number (Energy Saving Technologies)","EST Detail (Energy Saving Technologies)","Hull Survey Due Date","Consumption (tpd)","Deballast Cap (cu m/h)","CGT","LBP (m)","Gear (Ind)","Log fitted (Ind)","ConBulk","Pool Operator","Manager","Manager Country/Region","Operator Group","Operator Nationality/Region","Eco-Speed - Ballast (knots)","Eco-Speed - Laden (knots)","Main Consumption at Laden Speed (tpd)","Main Consumption at Ballast Speed (tpd)","Main Consumption at Eco-Speed Ballast (tpd)","Main Consumption at Eco-Speed Laden (tpd)","Australia Fitted Ind","Builder Country/Region","Operator Country/Region"
16171854,,"Bulkers",,76491,"Very Small (1-5) ",,"Y",,,,,,"Standard Club P&I",,"30-Dec-2020",,,"29-Dec-2025",,,20925.37,235,"N",,,,"Hidrovias do Brasil","Brazil","Hidrovias do Brasil","Brazil",,,,,,,,"Brazil","Brazil"
16189412,,"Bulkers",,76828,"Large (21-50)",,"N",,,,,,"Skuld",51.11,"11-Apr-2019",,,"24-Apr-2024",,,17872.38,194.01,"Y","N","Y",,"Grieg Star","Norway","Grieg Star","Norway",,,,,,,,"South Korea","Norway"
16328497,,"Bulkers",74085,,"Small (6-10) ",,,,,,,,"West of England P&I",,"12-Feb-2018",,,"11-Feb-2023",,,15928.37,184.58,"N","N",,,"IlShin Marine Trans","South Korea","IlShin Marine Trans","South Korea",,,,,,,,"South Korea","South Korea"
16228159,,"Bulkers",56986,77036,"Small (6-10) ",,,,,,,,,,,,,,,,15305.38,185,"N","N",,,"Jiangsu Huajiang","China P.R.","Jiangsu Huajiang","China P.R.",,,,,,,,"China P.R.","China P.R."
16291829,,"Bulkers",56986,,"Small (6-10) ",,,,,,,,,,,,,,,,15305.38,185,"N","N",,,"Jiangsu Huajiang","China P.R.","Jiangsu Huajiang","China P.R.",,,,,,,,"China P.R.","China P.R."
16285899,,"Bulkers",,,"Small (6-10) ",,,,,,,,,,,,,,,,16112.90,195,"N","N",,,"Yangpuzhehai Shpg","China P.R.","Yangpuzhehai Shpg","China P.R.",,,,,,,,"China P.R.","China P.R."
16317075,,"Bulkers",,,"Very Small (1-5) ",,,,,,,,"West of England P&I",,"09-Jun-2020",,,"08-Jun-2025",,,16112.90,195,"N","Y",,,"Shanghai CITIC Shpg","China P.R.","Jiangyin Ligang Gen","China P.R.",,,,,,,,"China P.R.","China P.R."
16257067,,"Bulkers",,,"Very Small (1-5) ",,,,,,,,,,,,,,,,16116.94,195,"N","N",,,,,"Jiangyin Ligang Gen","China P.R.",,,,,,,,"China P.R.","China P.R."
16257441,,"Bulkers",74157,,"Very Small (1-5) ",,,,,"Tokyo",,,"Gard P&I",,"21-Mar-2019",3,"1 x Bow Enhancement - Kawasaki SEA-Arrow™, 1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™","20-Mar-2024",32,,17035.88,197,"Y","N",,,"MMS Co Ltd","Japan",,,,,,,,,,"China P.R."
16257454,,"Bulkers",74157,,,,,,,,,,"North of England P&I",,"09-Dec-2021",3,"1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™, 1 x Bow Enhancement - Kawasaki SEA-Arrow™","19-Aug-2024",32,,17035.88,197,"Y","N",,,,,,,,,,,,,,"China P.R."
16262261,,"Bulkers",74157,91531,"Large (21-50)",,,,,"Shanghai",,,"West of England P&I",,"18-Jun-2021",,,"29-Jun-2026",,,17027.77,197,"Y","N",,,"Hong Kong Ming Wah","Hong Kong","China Merchants","China P.R.",,,,,,,,"China P.R.","Hong Kong"
16262274,,"Bulkers",74157,91531,"Large (21-50)",,,,,"Shanghai",,,"West of England P&I",,"22-Jul-2021",,,"24-Aug-2026",,,17027.77,197,"Y","N",,,"Hong Kong Ming Wah","Hong Kong",,,,,,,,,,"China P.R."
16262382,,"Bulkers",74157,91533,"Extra Large (100+)",,,"Y",,"NASDAQ",,,"Britannia P&I",,"30-Jul-2020",,,"08-Oct-2025",,,17081.47,197,"Y","N",,,"Star Bulk Carriers","Greece","Star Bulk Carriers","Greece",,,,,,,,"China P.R.","Greece"
16262395,,"Bulkers",74157,91533,"Extra Large (100+)",,,"Y",,"NASDAQ",,,"UK P&I Club",,"04-Mar-2021",,,"05-Jan-2026",,,17081.47,197,"Y","N",,,"Star Bulk Carriers","Greece","Star Bulk Carriers","Greece",,,,,,,,"China P.R.","Greece"
16262403,,"Bulkers",,,"Extra Large (100+)",,"Y","Y",,"NASDAQ",,103344,"UK P&I Club",,"21-Mar-2021",,,"25-Feb-2026",,,34056.47,295,"N",,,,"Star Bulk Carriers","Greece","Star Bulk Carriers","Greece",,,,,,,,"China P.R.","Greece"
16262937,,"Bulkers",74157,78688,"Large (21-50)",,,,,,28536,33067,"Britannia P&I",,"18-Apr-2021",,,"30-May-2026",,,16984.80,197,"Y","N",,,"Thoresen Shpg Sing","Singapore","Thoresen Thai Agen","Thailand",,,,,,,,"China P.R.","Singapore"
16262940,,"Bulkers",73552,78688,"Large (21-50)",,,"Y",,,28536,33067,"Britannia P&I",,"10-Jul-2021",,,"30-Jun-2026",26,,16984.80,197,"Y","Y",,,"Thoresen Co (Bngk)","Thailand","Thoresen Thai Agen","Thailand",11.5,11,26,23,12.25,17,,"China P.R.","Singapore"
16255247,,"Bulkers",74157,78652,"Extra Large (100+)",,,"Y",,"NASDAQ",,,"Britannia P&I",,"07-Dec-2019",,,"26-Feb-2025",,,17081.47,197,"Y","N",,,"Star Bulk Carriers","Greece","Star Bulk Carriers","Greece",,,,,,,,"China P.R.","Greece"
16255250,,"Bulkers",74157,78652,"Extra Large (100+)",,,"Y",,"NASDAQ",,,"Gard P&I",,"04-Feb-2020",,,"26-Feb-2025",,,17081.47,197,"Y","N",,"Ultra8 Pool","Star Bulk Carriers","Greece","Navig8 Group","Singapore",,,22.6,17.9,,,,"China P.R.","Singapore"
16255263,,"Bulkers",,78653,"Extra Large (100+)",,"Y","Y",,"NASDAQ",,103344,"Britannia P&I",,"16-Feb-2020",,,"01-Apr-2025",,,34056.47,295.5,"N",,,,"Star Bulk Carriers","Greece","Star Bulk Carriers","Greece",,,,,,,,"China P.R.","Greece"
16255276,,"Bulkers",,78653,"Extra Large (100+)",,"Y","Y",,"NASDAQ",,103344,"Gard P&I",,"12-Jun-2020",,,"14-Jul-2025",,,34056.47,295.5,"N",,,,"Star Bulk Carriers","Greece","Star Bulk Carriers","Greece",,,,,,,,"China P.R.","Greece"
16256644,,"Bulkers",74157,78688,"Extra Large (100+)",,,"Y",,"Hong Kong",28536,33067,"Britannia P&I",,"21-Mar-2020",,,"06-Jan-2025",,,16984.80,197,"Y","N",,,"Scorpio India","India","Pacific Basin Shpg","Hong Kong",,,,,,,,"China P.R.","Hong Kong"
16256657,,"Bulkers",74157,78688,"Extra Large (100+)",,,"Y",,"Hong Kong",28536,33067,"Britannia P&I",,"30-Nov-2019",,,"29-Jan-2025",,,16984.80,197,"Y","N",,,"Scorpio India","India","Pacific Basin Shpg","Hong Kong",,,,,,,,"China P.R.","Hong Kong"
16256673,,"Bulkers",74157,78688,"Extra Large (100+)",,,"Y",,"Hong Kong",28536,33067,"Britannia P&I",,"04-Aug-2020",,,"10-Sep-2025",,,16984.80,197,"Y","Y",,,"Scorpio India","India",,,,,,,,,,"China P.R."
16256686,,"Bulkers",74157,78688,"Extra Large (100+)",,,"Y",,"Hong Kong",28536,33067,"Britannia P&I",,"19-Jun-2020",,,"17-Sep-2025",,,16984.80,197,"Y","Y",,,"Scorpio India","India","Pacific Basin Shpg","Hong Kong",,,,,,,,"China P.R.","Hong Kong"
16243260,,"Bulkers",74157,78387,"Large (21-50)",,,,,,,,"UK P&I Club",46.8,"17-Dec-2018",,,"17-Feb-2024",,,17018.16,197,"Y","N",,"Ultra8 Pool","Jiangsu Ocean Shpg","China P.R.","Navig8 Group","Singapore",,,,,,,,"China P.R.","Singapore"
16243273,,"Bulkers",74157,78387,"Large (21-50)",,,,,,,,"UK P&I Club",46.8,"26-Dec-2018",,,"11-Mar-2024",29.5,,17005.54,197,"Y","N",,,"Jiangsu Ocean Shpg","China P.R.","Jiangsu Port Group","China P.R.",,,29.5,29.5,,,,"China P.R.","China P.R."
16243631,,"Bulkers",74157,78394,"Extra Large (100+)",,,,,"Hong Kong",,,"The Swedish Club P&I",,"28-Apr-2019",,,"27-Apr-2024",,,17034.38,197,"Y","N",,,"B. Schulte (China)","China P.R.","Oldendorff Carriers","Germany",,,,,,,"Y","China P.R.","Germany"
