"Listing"

"WFR Listing"
"Created 09 March 2022 19:29"


"CVN","Builder","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Group Owner Country/Region","Great Lakes Only","Call Sign","Age Scrapped","Fleet Type","Sister Vessel Code","Owner Size","Group Owner Nationality/Region"
12953585,"Evergreen H.I.",14807,,,2399,1164,572,"06-Oct-1998",14.75,,4849,"Post-Panamax Container",,440,724,"Uni-Assent",6692,"1 x CP Propeller (Aft Centre) (mechanical), 135rpm",,"Y",,,,,,,"1026","Gaining Enterprise S.A.","Taiwan",,"3FBD9",,"Containerships",,"Extra Large (100+)","Taiwan"
12953619,"Evergreen H.I.",14807,,,2399,1164,572,"20-Jan-1999",13.79,,4849,"Post-Panamax Container",,440,724,"Uni-Assure",,"1 x Propeller (Aft Centre) (mechanical), 135rpm",,"Y",,,,,,,"1027","Gaining Enterprise S.A.","Taiwan",,"3FHV9",,"Containerships",,"Extra Large (100+)","Taiwan"
12972449,"Aker MTW Werft",25361,,,,2474,1182,"22-May-1999",11.91,,12733,"Sub-Panamax Container",,,,"LOA Peace",9546,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm",,,,,,,,,"435","Shanghai Xinou Shipping Co., Ltd.","China P.R.",,"3FCD7",,"Containerships",,"Small (6-10) ","China P.R."
12977365,"Szczecin Shipyard",16803,,,2396,1726,825,"13-Jan-2001",12.27,,8648,"Sub-Panamax Container",,,,"Kabul",,"1 x Propeller (Aft Centre) (mechanical), 135rpm",,,,,,,,,"B170/121","NEMAN SHIPPING INC.","Singapore",,"V4BP4",,"Containerships",,"Very Small (1-5) ","Singapore"
12977815,"Szczecin Shipyard",16661,,,,1726,825,,11.95,,8672,"Container",,,,"MSC Polo II",7866,"1 x FP Propeller (Aft Centre) (mechanical), ABB, 113rpm",18,,,,,,,,"B170/I/22","Polo Export & Trading Ltd","Switzerland",,"D5JY7",,"Containerships",,"Extra Large (100+)","Italy"
12984413,"Jiangyang S.Y.",5025,,,,510,237,"12-Dec-1997",9.44,,2428,"General Cargo",,,,"Ocean Nobility",2768,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion",12,,,,,,,,"94117",,"Philippines",,"4DET7",,"Containerships",,"Large (21-50)","Philippines"
12984547,"Jiangyang S.Y.",5025,,,,511,,"04-Apr-1998",12.2,,2428,"Container","03-Dec-2019",162,349,"Papa Mau",2258,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion, 169rpm",,"Y",,,,,,,"JY94118","Papa Mau Shipping Ltd.","United States",,"V2QW8",,"Containerships",,"Medium (11-20)","United States"
12984671,"Jiangyang S.Y.",5025,,,,510,237,"20-Mar-1998",,,2428,"General Cargo",,,,"Ocean Blessing",2768,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion",12,,,,,,,,"94119",,"Philippines",,"4DEU5",,"Containerships",,"Large (21-50)","Philippines"
13004749,"Santierul Naval",9828,,,1351,1102,531,"31-Jan-1999",11.56,27,4703,"Container",,334,768,"MSC Suparna F",4698,"1 x CP Propeller (Aft Centre) (mechanical)",,,,,,,,,"514/224","Ocean Ruby Shipping Ltd.","Switzerland",,"3EDV2",,"Containerships",,"Extra Large (100+)","Italy"
13006877,"Szczecin Shipyard",16600,,,,1728,825,"01-Sep-1999",13.29,,8803,"Sub-Panamax Container",,,,"Carla-Liv",,"1 x FP Propeller (Aft Centre) (mechanical), 113rpm",25,,,,,,,,"B170/19","Golf 1 Shipping Company Limited","Germany",,"V7CR8",,"Containerships",,"Medium (11-20)","Germany"
13006901,"Szczecin Shipyard",16600,,,,1726,825,"01-Oct-1999",,,8803,"Sub-Panamax Container",,,,"Gdansk Trader",,"1 x FP Propeller (Aft Centre) (mechanical), 113rpm",20,,,,,,,,"B170/20","Gdansk Trader Shipping Ltd.","United Kingdom",,"3ENA6",20.17,"Containerships",,"Very Large (51-100)","Greece"
13018425,"PT PAL Indonesia",18161,,,2000,1644,,,,,5324,"Sub-Panamax Container",,708,936,"M.H. Thamrin Palwo Buwono 1600",,"1 x FP Propeller (Aft Centre) (mechanical), 123rpm",,,,,,"Y",,,"M155",,"Indonesia",,"YCTI",,"Containerships",,"Small (6-10) ","Indonesia"
