"Listing"

"WFR Listing"
"Created 16 February 2022 17:55"


"CVN","IMO Number","MMSI (Maritime Mobile Service Identity)","Type at Sale","Name at Sale","Dwt","Built","Builder","En. Bloc.","En. Bloc. No.","Sale Date","Currency","Price (Sale)","Buyers","Buyer Country/Region","Sellers","Seller Country/Region","Old Type","Demo Location","Year Rebuilt Convert","LDT","Demo $/LDT","Contract Date","Demo Date","Price (NB)","Currency (NB)","Gear (Ind)","Holds Total No","Hatches Total No","Strengthened for Ore","Grain Capacity (cu m)","Great Lakes Fitted","Great Lakes Only","Demo Buyer","Sale Teu Total Cap","Capacity (cu m)","Sale Dwt Tonnes","Sale Gt","Vessel Age At Sale"
15761211,9317080,525700820,"Bulk","Patrick Star",52454,2004,"Tsuneishi Zosen",,,"29-Dec-2019","USD",10,"Indonesian interests","Indonesia","Karya Sumber Energy","Indonesia",,,,8318,,"01-Dec-2003",,,,"Y",5,5,,67756,,"N",,,,52454,30057,15
16016783,9386251,636019807,"Bulk","Underdog",74444,2006,"Hudong Zhonghua",,,"28-Dec-2019","USD",8,"Greek interests","Greece","Kassian Maritime","Greece",,,,,,"25-Nov-2004",,36.5,"$m","N",7,7,,91717,"N","N",,,,74444,40485,13
16196607,9658965,355673000,"Bulk","Nord Everest",60436,2016,"Oshima Shipbuilding",,,"27-Dec-2019","USD",23,"Japanese interests","Japan","Norden A/S","Denmark",,,,,,"01-May-2010",,,,"Y",5,5,"Y",76360,,,,,,60436,34241,3
12490569,9070424,572906210,"Bulk","Bayern S",26441,1994,"Hakodate Dock",,,"24-Dec-2019","USD",3,"Undisclosed interests","Unknown","VRS Maritime","U.A.E.",,,,,,,,,,"Y",5,5,,33918,,,,,,26441,15880,25
15567787,9303053,574004630,"Bulk","Georgios S",55725,2006,"Mitsui SB (Tamano)",,,"23-Dec-2019","USD",10,"Vietnamese interests","Vietnam","Blue Seas Shpg","Greece",,,,8500,,"01-Jun-2003",,,,"Y",5,5,,70810,,"N",,,,55725,31279,13
16225932,9638501,566798000,"Bulk","Draco Ocean",58605,2013,"Nantong COSCO KHI",,,"20-Dec-2019","USD",14.8,"Thai interests","Thailand","Diamond Star Shpg","Japan",,,,,,"01-Jul-2011",,,,"Y",5,5,,73679,,,,,,58605,33188,6
16165353,9615030,356832000,"Bulk","Coos Bay",28214,2012,"I-S Shipyard",,,"17-Dec-2019","USD",8.3,"Undisclosed interests","Unknown","STC Shipping Pte Ltd","Japan",,,,,,"01-Oct-2008",,,,"Y",5,5,,37360,,"N",,,,28214,17027,7
12625763,9156759,351158000,"Bulk","Ken San*",23250,1997,"Saiki Hvy. Ind.","#",5975.02,"16-Dec-2019",,,"Chinese interests","China P.R.","Inui Global Logistic","Japan",,,,,,"15-Oct-1996",,,,"Y",4,4,,30978,,,,210,,23250,14783,22
12670213,9190016,371424000,"Bulk","Ken Yu*",24115,1999,"Saiki Hvy. Ind.",,5975.01,"16-Dec-2019","USD",8,"Chinese interests","China P.R.","Inui Global Logistic","Japan",,,,,,"01-Jan-1998",,,,"Y",4,4,,30978,,"N",,,,24115,14770,20
12625897,9156761,374177000,"Bulk","Ken Ten*",24086,1997,"Saiki Hvy. Ind.","#",5975.03,"16-Dec-2019",,,"Chinese interests","China P.R.","Inui Global Logistic","Japan",,,,,,"15-Oct-1996",,,,"Y",4,4,,30978,,,,210,,24086,14783,22
