"Listing"

"WFR Listing"
"Created 15 February 2022 02:21"


"CVN","IMO Number","Name","Built Date","Owner","Status","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","Beta Atlantic/Pacific Based (Last 12 Months)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Strengthened for Heavy Cargo","Strengthened for Ore","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Box Hold Ind","Group Owner Country/Region","Great Lakes Only","Call Sign"
16317691,9806964,"Yuan Fu Hai","01-Aug-2019","China Ore Shipping","In Service",203353,,,,"Atlantic/Pacific",,,"07-Jun-2019",12.48,,66832,"Y","Y","Capesize Bulker","26-Nov-2020",,,"Yuan Fu Hai",262559,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,"Y","H1444",,,"China P.R.",,"9V5558"
16317675,9806940,"Yuan Hua Hai","01-Oct-2019","China Ore Shipping","In Service",203353,,,,"Atlantic/Pacific",,,"30-Jul-2019",12.12,,66832,"Y","Y","Capesize Bulker","19-Aug-2020",,,"Yuan Hua Hai",262559,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,"Y","H1449",,,"China P.R.",,"9V5559"
16323139,9815214,"Ore Shanghai","01-Nov-2018","VLOC Holding","In Service",203347,,,,"Atlantic/Pacific",,,"03-Sep-2018",11.88,,66832,,"Y","Capesize Bulker","03-Nov-2019",,,"Ore Shanghai",267811,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,,"YZJ2015-2273",,,"China P.R.",,"VRRL6"
16323142,9815226,"Ore Ningbo","01-Mar-2019","VLOC Holding","In Service",203347,,,,"Atlantic/Pacific",,,,11.35,,66832,,"Y","Capesize Bulker","22-Sep-2019",,,"Ore Ningbo",267811,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 72rpm, Ø11.20m",,,,,,"Y",,,"YZJ2015-2274",,,"China P.R.",,"VRRL9"
16317738,9807009,"Pacific Excellence","01-Mar-2019","China Merchants Shpg","In Service",203347,,,,"Atlantic/Pacific",,,"20-Nov-2018",11.57,,66832,"Y","Y","Bulker","23-Dec-2019",,,"Pacific Excellence",262560,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,"Y",,,,"Y",,,"H1448",,,"Hong Kong",,"VRRI8"
16317741,9807011,"Pacific Longevity","01-Feb-2019","China Merchants Shpg","In Service",203347,,,,"Atlantic/Pacific",,,"28-Nov-2018",11.51,,66832,"Y","Y","Bulker","26-Jun-2019",,,"Pacific Longevity",269123,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,"Y",,,,"Y",,,"OC400K-4",,,"Hong Kong",,"VRRI9"
16323218,9807750,"Ore Zhanjiang","01-Apr-2019","VLOC Holding","In Service",203339,,,8616.69,"Atlantic/Pacific",,,"30-Dec-2018",11.27,,67522,"Y","Y","Capesize Bulker","12-Oct-2019",,,"Ore Zhanjiang",269123,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,,"OC400K-8","ORE ZHANJIANG HK LIMITED",,"China P.R.",,"VRRL8"
16317754,9807023,"Ore Tianjin","01-Mar-2018","VLOC Holding","In Service",203339,,,,"Atlantic/Pacific",,,"19-Sep-2017",11.57,,67522,"Y","Y","Capesize Bulker","11-Jun-2019",,,"Ore Tianjin",269123,"1 x FP Propeller (Aft Centre) (mechanical) (Ni-Al Bronze (Cu3)), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,,"OC400K-5","Ore Tianjin HK Ltd.",,"China P.R.",,"VRRK6"
16317767,9807035,"Ore Dalian","01-Sep-2018","VLOC Holding","In Service",203339,,,8616.69,"Atlantic/Pacific",,,"28-May-2018",11.06,,67522,"Y","Y","Capesize Bulker","18-Jun-2019",,,"Ore Dalian",269123,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,,"OC400K-6","ORE DALIAN HK LIMITED",,"China P.R.",,"VRRK9"
16317783,9807047,"Ore Xiamen","01-Dec-2018","VLOC Holding","In Service",203339,,,8616.69,"Atlantic/Pacific",,,"20-Sep-2018",11.97,,67522,"Y","Y","Capesize Bulker","19-May-2019",,,"Ore Xiamen",269123,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,,"OC400K-7","Ore Xiamen HK Ltd.",,"China P.R.",,"VRRL5"
16323155,9815238,"Ore Hong Kong","01-Apr-2018","VLOC Holding","In Service",203326,,,,"Atlantic/Pacific",,,"15-Jan-2018",10.95,,66838,,"Y","Capesize Bulker","06-Oct-2019",,,"Ore Hong Kong",267811,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,,"YZJ2015-2275","Ore Hong Kong HK Ltd",,"China P.R.",,"VRRK5"
16323168,9807695,"Ore Shenzhen","01-May-2018","VLOC Holding","In Service",203326,,,,"Atlantic/Pacific",,,"16-Jan-2018",11.45,,66838,,"Y","Capesize Bulker","31-Aug-2019",,,"Ore Shenzhen",267811,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,,"YZJ2015-2276","Ore Shenzhen HK Ltd",,"China P.R.",,"VRRL2"
16323171,9807700,"Ore Guangzhou","01-Jul-2018","VLOC Holding","In Service",203326,,,,"Atlantic/Pacific",,,"25-Apr-2018",11.38,,66838,,"Y","Capesize Bulker","23-Feb-2020",,,"Ore Guangzhou",267811,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,,"YZJ2015-2277","Ore Guangzhou HK Ltd",,"China P.R.",,"VRRL3"
16323126,9815202,"Ore Tangshan","01-Aug-2018","VLOC Holding","In Service",203322,,,,"Atlantic/Pacific",,,"25-Apr-2018",11.64,,66838,,"Y","Capesize Bulker","21-Nov-2019",,,"Ore Tangshan",267811,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,,"YZJ2015-2272","Ore Tangshan HK Ltd",,"China P.R.",,"VRRL4"
16317646,9806914,"Yuan Jin Hai","01-Jan-2019","China Ore Shipping","In Service",203322,,,,"Atlantic/Pacific",,,"19-Oct-2018",11.69,,66838,"Y","Y","Capesize Bulker","16-Jul-2020",,,"Yuan Jin Hai",262559,"1 x FP Propeller (Aft Centre) (mechanical), Hae Yang, 58rpm",,,,,,"Y",,"Y","H1442","Yuan Jin Hai Pte Ltd",,"China P.R.",,"9V5556"
16317659,9806926,"Yuan Shen Hai","01-May-2019","China Ore Shipping","In Service",203322,,,,"Atlantic/Pacific",,,"26-Mar-2019",12.36,,66838,"Y","Y","Capesize Bulker","21-Nov-2020",,,"Yuan Shen Hai",262559,"1 x FP Propeller (Aft Centre) (mechanical), Hae Yang, 58rpm",,,,,,"Y",,"Y","H1443","Yuan Shen Hai Pte Ltd",,"China P.R.",,"9V5557"
16317662,9806938,"Yuan Sui Hai","01-Nov-2019","China Ore Shipping","In Service",203322,,,,"Atlantic/Pacific",,,"22-Aug-2019",12.44,,66838,"Y","Y","Capesize Bulker","18-Jan-2021",,,"Yuan Sui Hai",262559,"1 x FP Propeller (Aft Centre) (mechanical), Hae Yang, 58rpm",,,,,,"Y",,"Y","H1450","Yuan Shou Hai Pte Ltd",,"China P.R.",,"9V5560"
16323205,9807748,"Pacific Career","01-Nov-2018","China Merchants Shpg","In Service",203322,,,,"Atlantic/Pacific",,,,11.26,,66838,"Y","Y","Bulker","05-Jul-2019",,,"Pacific Career",269123,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,"Y",,,,"Y",,,"OC400K-3","Pacific Career Shipping Co Ltd",,"Hong Kong",,"VRRK2"
16149524,9532604,"Pacific Merchants","01-Oct-2014","China VLOC","In Service",201384,,,,"Atlantic/Pacific",,,"05-Mar-2014",11.47,,68974,,,"Capesize Bulker","29-Nov-2019",,,"Pacific Merchants",187084,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 76rpm, Ø1m",,,,,,"Y",,,"H1114","Pacific Merchants Shipping Company Limited",,"Hong Kong",,"VROY9"
16149537,9532616,"Pacific Winner","01-Dec-2014","China VLOC","In Service",201384,,,,"Atlantic/Pacific",,,"13-Aug-2014",11.3,,68974,,,"Capesize Bulker","02-Feb-2020",,,"Pacific Winner",187084,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 76rpm, Ø1m",,,,,,"Y",,,"H1115","Pacific Winner Shipping Co Ltd",,"Hong Kong",,"VROZ2"
