"Listing"

"WFR Listing"
"Created 16 February 2022 06:05"


"CVN","Hatches Total No","SOx Scrubber Details","NOx Detail","Main Engine LNG Capable","Alternative Fuel Type Ready","Dwt per TEU","Beta Deployment (Last 12 Months)","Beta Port (Last 12 Months)","Beta Country (Last 12 Months)","Beta Region (Last 12 Months)","Beta Global Zone Group (Last 12 Months)","West Coast N America Deployment (Time in Last 12 Months, %)","West Coast S America Deployment (Time in Last 12 Months, %)","East Coast N America Deployment (Time in Last 12 Months, %)","East Coast S America Deployment (Time in Last 12 Months, %)","West Coast Africa Deployment (Time in Last 12 Months, %)","UK/Cont Deployment (Time in Last 12 Months, %)","East Coast Africa Deployment (Time in Last 12 Months, %)","Med/Black Sea Deployment (Time in Last 12 Months, %)","Australasia Deployment (Time in Last 12 Months, %)","Middle East Deployment (Time in Last 12 Months, %)","East Asia Deployment (Time in Last 12 Months, %)","Indian Subcont Deployment (Time in Last 12 Months, %)","SE Asia Deployment (Time in Last 12 Months, %)","North Asia Deployment (Time in Last 12 Months, %)","Southern Ocean Deployment (Time in Last 12 Months, %)","Arctic Deployment (Time in Last 12 Months, %)","Aux Consumption at Ballast Speed (tpd)","Aux Consumption at Laden Speed (tpd)","Aux Consumption In Port - Idle (tpd)","Aux Consumption In Port - Working (tpd)","Aux Consumption In Port (tpd)","Aux Consumption at Service Speed (tpd)","Boiler Detail","Hatch Description","Emergency Engine Detail","Depth Moulded (m)","Group","Beam Ext (m)"
16173437,7,"1 x Exhaust Scrubber - SOx - Wartsila Moss",,,,,"International",,,,,,,,22,14,,17,,4,,15,,28,,,,,,,,,,"1 x Boiler, Composite - Kangrim",,"1 x Emergency Diesel Gen. - Cummins Inc NT855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 280mkW total at 1,800rpm driving 1 x AC generator(s) at 60Hz",30.5,"Bulk Ore Carrier",65.64
16173440,7,"1 x Exhaust Scrubber - SOx - Wartsila Moss",,,,,"International",,,,,,,,22,16,,27,,2,7,5,2,19,,,,,,,,,,"1 x Boiler, Composite - Kangrim",,"1 x Emergency Diesel Gen. - Cummins Inc NT855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 280mkW total at 1,800rpm driving 1 x AC generator(s) at 60Hz",30.5,"Bulk Ore Carrier",65.64
16173453,7,"1 x Exhaust Scrubber - SOx - Wartsila Moss",,,,,"International",,,,,,,,15,11,,20,,2,,5,,47,,,,,,,,,,"1 x Boiler, Composite - Kangrim",,"1 x Emergency Diesel Gen. - Cummins Inc NT855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 280mkW total at 1,800rpm driving 1 x AC generator(s) at 60Hz",30.5,"Bulk Ore Carrier",65.64
16173466,7,"1 x Exhaust Scrubber - SOx - Wartsila Moss",,,,,"International",,,,,,,,31,15,,20,,5,,12,,19,,,,,,,,,,"1 x Boiler, Composite - Kangrim",,"1 x Emergency Diesel Gen. - Cummins Inc NT855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 280mkW total at 1,800rpm driving 1 x AC generator(s) at 60Hz",30.5,"Bulk Ore Carrier",65.64
16173479,7,"1 x Exhaust Scrubber - SOx - Wartsila Moss",,,,,"International",,,,,,,,25,16,,20,,4,,12,,24,,,,,,,,,,"1 x Boiler, Composite - Kangrim",,"1 x Emergency Diesel Gen. - Cummins Inc NT855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 280mkW total at 1,800rpm driving 1 x AC generator(s) at 60Hz",30.5,"Bulk Ore Carrier",65.64
16173482,7,"1 x Exhaust Scrubber - SOx - Wartsila Moss",,,,,"International",,,,,,,,29,16,,23,,2,,8,,21,,,,,,,,,,"1 x Boiler, Composite - Kangrim",,"1 x Emergency Diesel Gen. - Cummins Inc NT855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 280mkW total at 1,800rpm driving 1 x AC generator(s) 450V at 60Hz",30.5,"Bulk Ore Carrier",65.64
16173503,7,"1 x Exhaust Scrubber - SOx - Wartsila Moss",,,,,"International",,,,,,,,22,14,,20,,6,,17,,20,,,,,,,,,,"1 x Boiler, Composite - Kangrim",,"1 x Emergency Diesel Gen. - Cummins Inc NT855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 280mkW total at 1,800rpm driving 1 x AC generator(s) at 60Hz",30.5,"Bulk Ore Carrier",65.64
16084258,8,"1 x Exhaust Scrubber - SOx - Yara Marine Tech",,,,,"International",,,,,,,,20,14,,24,1,,,15,,26,,,,,,,,,,"1 x Boiler, Oil/Gas fired - Aalborg -  Mission™ OS-TCi, 1 x Exhaust Gas Economiser - Aalborg Mission™ XW","S","1 x Emergency Diesel Gen. - MAN Energy Solutions D2866LE203 - 4-stroke 6-cyl. 128mm x 166mm bore/stroke 414mkW total at 1,800rpm driving 1 x AC generator(s) at 300ekW total, (375kVA total) 450V at 60Hz",30.5,"Bulk Ore Carrier",65.06
16084261,8,"1 x Exhaust Scrubber - SOx - Yara Marine Tech",,,,,"International",,,,,,,,37,15,,19,,0,,7,,21,,,,,,,,,,"1 x Boiler, Oil/Gas fired - Aalborg -  Mission™ OS-TCi, 1 x Exhaust Gas Economiser - Aalborg Mission™ XW","S","1 x Emergency Diesel Gen. - MAN Energy Solutions D2866LE203 - 4-stroke 6-cyl. 128mm x 166mm bore/stroke 414mkW total at 1,800rpm driving 1 x AC generator(s) at 300ekW total, (375kVA total) 450V at 60Hz",30.5,"Bulk Ore Carrier",65.06
16084274,8,"1 x Exhaust Scrubber - SOx - Yara Marine Tech",,,,,"International",,,,,,,,18,16,,26,,,,8,,32,,,,,,,,,,"1 x Boiler, Oil/Gas fired - Aalborg -  Mission™ OS-TCi, 1 x Exhaust Gas Economiser - Aalborg Mission™ XW","S","1 x Emergency Diesel Gen. - MAN Energy Solutions D2866LE203 - 4-stroke 6-cyl. 128mm x 166mm bore/stroke 414mkW total at 1,800rpm driving 1 x AC generator(s) at 300ekW total, (375kVA total) 450V at 60Hz",30.5,"Bulk Ore Carrier",65.06
