"Listing"

"WFR Listing"
"Created 16 February 2022 06:05"


"CVN","Hatches Total No","SOx Scrubber Details","NOx Detail","Main Engine LNG Capable","Alternative Fuel Type Ready","Dwt per TEU","Beta Deployment (Last 12 Months)","Beta Port (Last 12 Months)","Beta Country (Last 12 Months)","Beta Region (Last 12 Months)","Beta Global Zone Group (Last 12 Months)","West Coast N America Deployment (Time in Last 12 Months, %)","West Coast S America Deployment (Time in Last 12 Months, %)","East Coast N America Deployment (Time in Last 12 Months, %)","East Coast S America Deployment (Time in Last 12 Months, %)","West Coast Africa Deployment (Time in Last 12 Months, %)","UK/Cont Deployment (Time in Last 12 Months, %)","East Coast Africa Deployment (Time in Last 12 Months, %)","Med/Black Sea Deployment (Time in Last 12 Months, %)","Australasia Deployment (Time in Last 12 Months, %)","Middle East Deployment (Time in Last 12 Months, %)","East Asia Deployment (Time in Last 12 Months, %)","Indian Subcont Deployment (Time in Last 12 Months, %)","SE Asia Deployment (Time in Last 12 Months, %)","North Asia Deployment (Time in Last 12 Months, %)","Southern Ocean Deployment (Time in Last 12 Months, %)","Arctic Deployment (Time in Last 12 Months, %)","Aux Consumption at Ballast Speed (tpd)","Aux Consumption at Laden Speed (tpd)","Aux Consumption In Port - Idle (tpd)","Aux Consumption In Port - Working (tpd)","Aux Consumption In Port (tpd)","Aux Consumption at Service Speed (tpd)","Boiler Detail","Hatch Description","Emergency Engine Detail","Depth Moulded (m)","Group","Beam Ext (m)"
14915363,9,,,,,,"International",,,,"Asia",,,,,25,,23,,,,26,,26,,,,,,,,,,,"S","1 x Emergency Diesel Gen. - MAN Energy Solutions D2866E - 4-stroke 6-cyl. 128mm x 155mm bore/stroke 92mkW total at 1,500rpm driving 1 x AC generator(s) at 50Hz",24.1,"Bulk Carrier",50.06
14950551,9,,,,,,"International",,,,,,,9,9,13,12,11,13,3,21,4,6,2,,,,,,,,,,,"S","1 x Emergency Diesel Gen. - MAN Energy Solutions4-stroke  driving 1 x ac generator(s) at 60Hz",24.1,"Bulk Carrier",50.06
14950685,9,,,,,,"International",,,,,,,,18,14,,25,,1,,23,,20,,,,,,,,,,,"S","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x ac generator(s)",24.1,"Bulk Carrier",50.06
14969029,9,,,,,,"International",,,,,,,,7,4,,7,,10,,36,,36,,,,,,,,,,,"S","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x ac generator(s)",24.1,"Bulk Carrier",50.06
15250407,9,,,,,,"International",,,,"Asia",,,,,27,,23,,,,32,,19,,,,,,,,,,,"S","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s) at 455ekW total, (569kVA total)",24.1,"Bulk Carrier",50.06
15311467,9,,,,,,"International",,,,,,,,21,11,,25,,,,21,,21,,,,,,,,,,,"S",,24.1,"Bulk Carrier",50.06
15328199,9,,,,,,"International",,,,,8,29,,6,7,,7,,3,,27,,14,,,,,,,,,,,"S","1 x Emergency Diesel Gen. - Deutz4-stroke  driving 1 x ac generator(s)",24.1,"Bulk Carrier",50.06
15361967,9,,,,,,"International",,,,"Asia",,,,,29,,20,,,,25,,25,,,,,,,,,,,"S","1 x Emergency Diesel Gen. - Cummins Inc4-stroke  driving 1 x AC generator(s)",24.1,"Bulk Carrier",50.06
15362043,9,,,,,,"International",,,,,,,,12,16,,23,,2,,24,,24,,,,,,,,,,,"S",,24.1,"Bulk Carrier",50.06
15542821,9,,,,,,"International",,,,,3,4,,24,13,5,6,9,,,24,,11,,,,,,,,,,,"S",,24.1,"Bulk Carrier",50.06
15542955,9,,,,,,"International",,,,"Asia",,,,,18,,16,,9,,32,,25,,,,,,,,,,,"S",,24.1,"Bulk Carrier",50.06
15327721,9,,,,,,"International",,,,"Asia",,,,,30,,23,,0,,24,,22,,,,,,,,,,,"S",,24.1,"Bulk Carrier",50.06
15675167,9,,,,,,"International",,,,,,,,10,22,,22,,,,20,,27,,,,,,,,,,,"S","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s)",24.1,"Bulk Carrier",50.06
15675459,9,,,,,,"International",,,,,,,,20,14,,23,,1,,21,,21,,,,,,,,,,,"S","1 x Emergency Diesel Gen. - Cummins Inc4-stroke  driving 1 x AC generator(s) 450V at 60Hz",24.1,"Bulk Carrier",50.06
15860965,9,,,,,,"International",,,,,11,19,,8,5,,7,7,1,2,25,2,11,3,,,,,,,,,,"F","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x ac generator(s)",24.1,"Bulk Carrier",50.06
