"Listing"

"WFR Listing"
"Created 09 March 2022 20:11"


"CVN","IMO Number","MMSI (Maritime Mobile Service Identity)","Type at Sale","Name at Sale","Dwt","Built","Builder","En. Bloc.","En. Bloc. No.","Sale Date","Currency","Price (Sale)","Buyers","Buyer Country/Region","Sellers","Seller Country/Region","Old Type","Demo Location","Year Rebuilt Convert","LDT","Demo $/LDT","Contract Date","Demo Date","Price (NB)","Currency (NB)","TEU","Sale Teu Total Cap","Capacity (cu m)","Sale Dwt Tonnes","Sale Gt","Vessel Age At Sale"
16329249,9817884,248966000,"Container","Sabre Trader",23430,2018,"Jiangsu New YZJ",,,"25-Feb-2022","USD",44,"Undisclosed interests","Unknown","Lomar Shipping","Greece",,,,,,"12-Aug-2016",,,,1774,1774,,23430,18867,3
12934889,9127021,636017878,"Container","Avra Miteras",14587,1996,"Volkswerft",,,"23-Feb-2022",,,"Clients of MSC","Italy","Epidaurus SA","Greece",,,,5780,,"05-May-1995",,23,"$m",1122,1122,,14587,12029,25
15823065,9330252,538090588,"Container","Vega Kappa",13760,2007,"CSC Qingshan SY",,,"23-Feb-2022","USD",19,"Turkish interests","Turkey","Vega Reederei","Germany",,,,,,"20-Aug-2004",,,,1118,1118,,13760,9940,14
14615849,9256377,636018382,"Container","Hansa Magdeburg",23580,2003,"Guangzhou Wenchong",,,"22-Feb-2022","USD",30,"Clients of Mount Street","United Kingdom","Leonhardt & Blumberg","Germany",,,,,,"03-Nov-2000",,,,1740,1740,,23580,18335,18
12956531,9132399,355647000,"Container","Diana K",9821,1996,"Dae Sun Shipbuilding",,,"22-Feb-2022","USD",4,"Undisclosed interests","Unknown","CMA CGM","France",,,,,,"25-Aug-1995",,,,642,642,,9821,7260,25
16011304,9323481,636090980,"Container","Hansa Limburg",23447,2006,"Guangzhou Wenchong",,,"21-Feb-2022","USD",30,"Undisclosed interests","Unknown","Leonhardt & Blumberg","Germany",,,,,,"31-Jan-2004",,,,1740,1740,,23447,18327,15
16088027,9516765,636092906,"Container","Hansa Offenburg",23314,2011,"Guangzhou Wenchong",,,"21-Feb-2022","USD",33,"Undisclosed interests","Unknown","Leonhardt & Blumberg","Germany",,,,,,"25-May-2007",,,,1740,1740,,23314,18358,10
15885955,9343663,305002000,"Container","Okee Ortolan Theta",12779,2007,"Dae Sun Shipbuilding",,,"16-Feb-2022","USD",17.5,"Russian interests","Russia","OKEE Maritime GmbH","Germany",,,,,,"05-Nov-2004",,,,1049,1049,,12779,9850,15
15886031,9343675,305060000,"Container","Okee Ortolan Zeta",12774,2007,"Dae Sun Shipbuilding",,,"16-Feb-2022","USD",15.5,"Russian interests","Russia","OKEE Maritime GmbH","Germany",,,,,,"05-Nov-2004",,,,1049,1049,,12774,9610,14
14970917,9301122,236333000,"Container","Hooge",16987,2006,"Shandong Weihai SY",,,"16-Feb-2022","USD",23.6,"Israeli interests","Israel","Briese Schiffahrts","Germany",,,,,,"10-Sep-2001",,,,1368,1368,,16987,15633,15
16020898,9362566,255806120,"Container","Ortolan Epsilon",11814,2008,"Dae Sun Shipbuilding",,,"15-Feb-2022",,,"Russian interests","Russia","Unknown","Unknown",,,,,,"05-Aug-2005",,,,1024,1024,,11814,9272,14
16017856,9348900,538003093,"Container","Cape Magnus",37570,2008,"Aker Ostsee",,,"15-Feb-2022","USD",53,"Clients of Wan Hai Lines","Taiwan","Schoeller Holdings","Germany",,,,,,"20-Jun-2005",,51.57,"$m",2741,2741,,37570,28007,14
16058259,9429326,636019606,"Container","Vivaldi",33800,2010,"Jiangsu Yangzijiang",,,"14-Feb-2022","USD",18,"Greek interests","Greece","Tufton","United Kingdom",,,,,,"27-Oct-2006",,,,2546,2546,,33800,25320,12
15713399,9336165,636018562,"Container","Hammonia Palatium",33800,2006,"Jiangsu Yangzijiang",,,"09-Feb-2022",,,"Clients of MSC","Italy","Tufton","United Kingdom",,,,,,"02-Apr-2004",,,,2546,2546,,33800,25320,15
16218442,9640994,636017237,"Container","Aisopos II",24195,2016,"STX SB (Jinhae)",,,"09-Feb-2022",,,"Middle Eastern interests","Unknown","Capital Ship Mgmt","Greece",,,,,,"19-Sep-2011",,30,"$m",2034,2034,,24195,24261,5
15483449,9304734,636020455,"Container","Cindy*",34444,2004,"Howaldtswerke Werft","#",6735.02,"07-Feb-2022",,,"Undisclosed interests","Unknown","Tufton","United Kingdom",,,,,,"09-Oct-2003",,,,2490,2490,,34444,27059,17
13275925,9246346,636020454,"Container","Elizabeth*",33800,2003,"SSW Fahr",,6735.01,"07-Feb-2022","USD",21,"Undisclosed interests","Unknown","Tufton","United Kingdom",,,,,,"01-Feb-2001",,,,2496,2496,,33800,27322,18
13228189,9224348,538005649,"Container","Singapore Bridge*",50953,2002,"Samsung HI","#",6733.03,"03-Feb-2022",,,"Clients of MSC","Italy","Sinokor Merchant","South Korea",,,,,,"01-Jan-2000",,,,4253,4253,,50953,39941,19
15727659,9326768,441552000,"Container","North Bridge*",53627,2006,"Hyundai HI (Ulsan)","#",6733.02,"03-Feb-2022",,,"Clients of MSC","Italy","Sinokor Merchant","South Korea",,,,17253,,"29-Apr-2004",,,,4298,4298,,53627,41899,15
16095959,9463281,538008564,"Container","Baltic South*",52055,2010,"Hyundai HI (Ulsan)",,6733.01,"03-Feb-2022",,,"Clients of MSC","Italy","Sinokor Merchant","South Korea",,,,,,"13-Jul-2007",,,,4432,4432,,52055,44459,11
12991303,9142942,636015779,"Container","Messini",34167,1997,"Thyssen Nordsee",,,"01-Feb-2022",,,"Clients of Mount Street","United Kingdom","Costamare Shipping","Greece",,,,10158,,"12-Feb-1996",,,,2442,2442,,34167,25499,24
16056484,9403463,538090602,"Container","Sag Good Timing",13760,2009,"Taizhou Kouan SB",,,"31-Jan-2022","USD",21.75,"Clients of Hapag-Lloyd","Germany","Vega Reederei","Germany",,,,,,"12-Oct-2006",,,,1118,1118,,13760,9966,12
16100570,9445007,357813000,"Container","Marine Bia",21464,2008,"Imabari SB (Imabari)",,,"31-Jan-2022",,,"Undisclosed interests","Unknown","Shoei Kisen Kaisha","Japan",,,,,,"01-Jan-2006",,,,1708,1708,,21464,17294,13
16210167,9635652,636015860,"Container","Rhodos",80228,2013,"Hyundai Samho HI",,,"27-Jan-2022","USD",140,"Clients of CMA CGM","France","Intl M'time Ent","Greece",,,,,,"01-Apr-2011",,,,6881,6881,,80228,71112,8
13267083,9236652,636019341,"Container","Marina Jade",34026,2001,"Thyssen Nordsee",,,"27-Jan-2022",,,"Undisclosed interests","Unknown","Pelayaran Meratus","Indonesia",,,,,,"31-Jul-2000",,,,2452,2452,,34026,25499,20
13271501,9251846,636021046,"Container","Miami Trader",33900,2002,"Thyssen Nordsee",,,"27-Jan-2022","USD",32,"Clients of RCL","Thailand","Lomar Shipping","Greece",,,,,,"15-Sep-2000",,31,"$m",2452,2452,,33900,25587,19
16188273,9593517,538005242,"Container","Bindi Ipsa",23425,2013,"Guangzhou Wenchong",,,"27-Jan-2022",,,"Undisclosed interests","Unknown","Fairmont Shipping","Philippines",,,,,,"02-Jun-2010",,,,1815,1740,,23425,18252,8
12989047,9163441,351663000,"Container","Kanway Galaxy",24386,1997,"Shin Kurushima",,,"26-Jan-2022","USD",19,"Undisclosed interests","Unknown","Goto Shipping","China P.R.",,,,,,"01-Dec-1995",,,,1613,1613,,24386,18602,24
16048100,9405112,636021232,"Container","Songa Cougar",13760,2008,"CSC Jinling Shipyard",,,"25-Jan-2022","USD",21,"Undisclosed interests","Unknown","Songa Box","Norway",,,,,,"19-Jul-2006",,22.5,"$m",1118,1118,,13760,9957,13
16017993,9360972,636021459,"Container","Dance",10316,2006,"Peters S.B.",,,"20-Jan-2022",,,"Undisclosed interests","Unknown","Ernst Russ GmbH","Germany",,,,4219,,"01-Apr-2005",,,,801,822,,10316,8032,15
13237073,9229312,636017306,"Container","Leo C*",77900,2002,"Samsung HI","#",6505.02,"19-Jan-2022",,,"Clients of MSC","Italy","Gemini Shipholdings","Greece",,,,28010,,"29-Feb-2000",,,,6422,6178,,77900,75201,19
13236997,9229300,636017173,"Container","Catherine C*",77900,2001,"Samsung HI",,6505.01,"19-Jan-2022","USD",130,"Clients of MSC","Italy","Gemini Shipholdings","Greece",,,,28010,,"29-Feb-2000",,,,6422,6178,,77900,75201,20
16020430,9364203,636092831,"Container","AS Patricia",34393,2006,"SSW Fahr",,,"17-Jan-2022","USD",30,"Clients of Maersk","Denmark","MPC Container Ships","Germany",,,,11668,,"29-Jul-2005",,,,2510,2510,,34393,27061,15
16296437,9760639,477139200,"Container","Mount Nicholson",23504,2017,"Zhejiang Ouhua SB",,,"14-Jan-2022","USD",45,"Asian interests","Unknown","Mandarin Shipping","Hong Kong",,,,,,"01-Jun-2014",,,,1756,1756,,23504,18887,4
15677879,9315886,538006384,"Container","Hayling Island",39200,2005,"Hyundai Mipo",,,"14-Jan-2022","USD",37.5,"Clients of MSC","Italy","Borealis Maritime","United Kingdom",,,,,,"30-Jan-2004",,,,2824,2824,,39200,28927,16
16098868,9433054,354053000,"Container","A Kinka",23400,2010,"Guangzhou Wenchong",,,"13-Jan-2022","USD",32.5,"Clients of Maersk AS","Denmark","StarOcean Marine","China P.R.",,,,,,"01-Jan-2007",,,,1740,1740,,23400,18334,11
16134854,9571313,538004412,"Container","Cape Manila",39947,2011,"Guangzhou Wenchong",,,"13-Jan-2022","USD",47,"CULines","China P.R.","Schoeller Holdings","Germany",,,,,,"25-Apr-2008",,50,"$m",2758,2758,,39947,35878,10
15811417,9309289,354946000,"Container","Belmonte Express",42141,2006,"Shanghai Chengxi",,,"13-Jan-2022","USD",50,"Clients of MSC","Italy","Lomar Shipping","Greece",,,,14876,,"04-Aug-2004",,,,3534,3500,,42141,35975,15
13248411,9232761,538006066,"Container","Colette",39350,2002,"Stocznia Gdansk",,,"13-Jan-2022",,,"Clients of MSC","Italy","Borealis Maritime","United Kingdom",,,,12950,,"02-May-2000",,,,2732,2732,,39350,32322,19
14663187,9261815,229469000,"Container","Cardiff Trader",33545,2003,"Warnowwerft",,,"11-Jan-2022","USD",30,"Clients of MSC","Italy","Lomar Shipping","Greece",,,,,,"21-Dec-2001",,,,2524,2524,,33545,25600,18
59485318,9485318,413501960,"Container","Long Xin 12",4081,2008,"Guangzhou Yamen",,,"10-Jan-2022","RMB",5.52,"Chinese interests","China P.R.","Yangpu Longquan","China P.R.",,,,,,"01-Jul-2005",,,,300,300,,4081,2986,13
14637333,9242613,373265000,"Container","A Myoko",7973,2002,"J. J. Sietas",,,"06-Jan-2022","USD",9,"Undisclosed interests","Unknown","StarOcean Marine","China P.R.",,,,,,"01-Nov-2000",,,,735,735,,7973,6277,19
14674233,9248928,374391000,"Container","Run He",16439,2003,"Peene Werft",,,"06-Jan-2022","USD",20,"European interests","Unknown","Fonway Shipping","Singapore",,,,6022,,"05-Mar-2001",,,,1221,1221,,16439,14308,18
15483573,9304746,636021517,"Container","Antwerp Trader",34444,2005,"Howaldtswerke Werft",,,"06-Jan-2022",,,"Clients of MSC","Italy","Lomar Shipping","Greece",,,,,,"09-Oct-2003",,,,2490,2490,,34444,27059,16
16177598,9536985,636017710,"Container","ST Ever",33407,2011,"Naikai Innoshima",,,"31-Dec-2021","USD",46.5,"Clients of Wan Hai Lines","Taiwan","Santoku Shipping","Japan",,,,,,"01-Apr-2008",,,,2535,2535,,33407,27061,10
16296411,9760603,477584900,"Container","Mount Gough",23673,2016,"Zhejiang Ouhua SB",,,"30-Dec-2021","USD",42,"Clients of CMA CGM","France","Mandarin Shipping","Hong Kong",,,,,,"01-Jun-2014",,,,1756,1756,,23673,18887,5
16297276,9761023,477636300,"Container","MCC Chittagong*",37157,2016,"Zhejiang Ouhua SB","#",6481.02,"23-Dec-2021",,,"Clients of Maersk","Denmark","Tribini Capital","Hong Kong",,,,,,"01-Dec-2013",,,,2754,2754,,37157,31649,5
16297263,9761011,477430400,"Container","MCC Ningbo*",37056,2016,"Zhejiang Ouhua SB",,6481.01,"23-Dec-2021",,,"Clients of Maersk","Denmark","Tribini Capital","Hong Kong",,,,,,"01-Dec-2013",,,,2754,2754,,37056,31649,5
16309917,9784661,229742000,"Container","TR Aramis",36923,2017,"Jiangsu New YZJ",,,"20-Dec-2021",,,"Clients of CMA CGM","France","Tufton","United Kingdom",,,,,,"10-Jul-2015",,,,2782,2782,,36923,31370,4
13155289,9200677,636092888,"Container","Conti Canberra*",69447,1999,"HHIC (Yeongdo)",,6494.01,"20-Dec-2021",,,"Clients of MSC","Italy","Conti Reederei","Germany",,,,,,"18-Jul-1998",,59,"$m",5618,5618,,69447,66278,22
13155313,9200689,636092884,"Container","Conti Darwin*",69447,1999,"HHIC (Yeongdo)","#",6494.02,"20-Dec-2021",,,"Clients of MSC","Italy","Conti Reederei","Germany",,,,,,"18-Jul-1998",,59,"$m",5618,5618,,69447,66278,21
12874871,9106144,636021480,"Container","Ren Jian ER",23254,1994,"Seebeckwerft",,,"17-Dec-2021","USD",7.2,"Chinese interests","China P.R.","Quanzhou Ansheng","China P.R.",,,,6850,,"17-Mar-1994",,,,1684,1684,,23254,16269,26
12909661,9118513,229345000,"Container","Mekong Spirit",12500,1996,"Szczecin Shipyard",,,"17-Dec-2021","USD",4.46,"Russian interests","Russia","Unknown","Unknown",,,,,,"01-Dec-1994",,,,1042,1042,,12500,9616,25
16098176,9464716,538090522,"Container","ALS Ceres",54282,2010,"Daewoo (DSME)",,,"15-Dec-2021",,,"Clients of Zim Integrated Shpg","Israel","Asiatic Lloyd","Germany",,,,,,"13-Jul-2007",,,,4380,4380,,54282,42110,11
16095788,9477610,636019434,"Container","Balthasar Schulte",49856,2012,"Jiangsu New YZJ",,,"15-Dec-2021",,,"Clients of MSC","Italy","Borealis Maritime","United Kingdom",,,,,,"12-Jul-2007",,,,4249,4249,,49856,40542,9
16026490,9362736,636016590,"Container","Melbourne Strait",25884,2008,"Taizhou Kouan SB",,,"15-Dec-2021","USD",27,"European interests","Unknown","Carsten Rehder","Germany",,,,,,"22-Nov-2005",,,,1795,1795,,25884,21018,13
15604709,9319595,210367000,"Container","Vega Hercules*",11500,2006,"Zhejiang Yangfan",,6462.01,"09-Dec-2021",,,"Clients of Contships Management","Greece","Vega Reederei","Germany",,,,,,"09-Oct-2003",,,,966,957,,11500,9981,15
16121588,9449699,210361000,"Container","Vega Juno*",11500,2008,"Zhejiang Yangfan","#",6462.02,"09-Dec-2021",,,"Clients of Contships Management","Greece","Vega Reederei","Germany",,,,,,"01-Oct-2007",,,,966,957,,11500,9981,13
16066588,9363417,311000785,"Container","Irenes Rose*",33632,2007,"Naikai Zosen Setoda","#",6466.02,"08-Dec-2021",,,"Undisclosed interests","Unknown","Tsakos Shpg & Trdg","Greece",,,,10757,,"01-Jan-2005",,,,2553,2553,,33632,27104,14
15963617,9339856,538009897,"Container","Atlantic Solli",28325,2008,"Sinopacific Zhejiang",,,"08-Dec-2021","USD",26,"Undisclosed interests","Unknown","Atlantica Shipping","Norway",,,,,,"04-Feb-2005",,45,"$m",2007,2007,,28325,23633,13
15835871,9331165,636017176,"Container","Irenes Wave*",67580,2008,"CSBC (Kaohsiung)",,6466.01,"08-Dec-2021",,,"Undisclosed interests","Unknown","Tsakos Shpg & Trdg","Greece",,,,,,"08-Sep-2004",,,,5527,5527,,67580,66199,13
15997625,9357535,636018529,"Container","Seoul Glow",22314,2008,"CSBC (Keelung)",,,"08-Dec-2021","USD",19,"Clients of Cosmoship Management","Greece","Tufton","United Kingdom",,,,,,"18-Mar-2005",,34,"$m",1713,1713,,22314,18123,13
16109399,9459632,563148100,"Container","COSCO Kawasaki",50713,2010,"Samsung HI",,,"08-Dec-2021","USD",65,"Clients of Maersk","Denmark","Santoku Shipping","Japan",,,,,,"01-Apr-2007",,1,,4506,4506,,50713,40165,11
13275475,9238765,636016073,"Container","Chesapeake Bay",50790,2003,"Samsung HI",,6731.01,"06-Dec-2021","USD",55,"Clients of Hapag-Lloyd Cont","Germany","Eastern Pacific Shpg","Singapore",,,,16459,,"06-Oct-2000",,,,4253,4253,,50790,39941,18
16121575,9449687,636021438,"Container","JSP Amihan",11500,2008,"Zhejiang Yangfan",,,"06-Dec-2021",,,"Clients of MSC","Switzerland","Vega Reederei","Germany",,,,,,"01-Oct-2007",,,,957,957,,11500,9996,13
16048618,9367205,566748000,"Container","OOCL Italy",66940,2007,"Koyo Dock",,,"03-Dec-2021",,,"Clients of OOCL","China P.R.","Shoei Kisen Kaisha","Japan",,,,,,"01-Jan-2005",,,,5888,5888,,66940,66462,14
16020919,9332717,636021231,"Container","Songa Lynx",13760,2006,"CSC Jinling Shipyard",,,"03-Dec-2021",,,"Undisclosed interests","Unknown","Songa Container AS","Germany",,,,5200,,"05-Aug-2005",,26.7,"$m",1118,1118,,13760,9966,14
16309904,9784659,229744000,"Container","TR Porthos",36923,2017,"Jiangsu New YZJ",,,"01-Dec-2021",,,"Clients of CMA CGM","France","Tufton","United Kingdom",,,,,,"10-Jul-2015",,,,2782,2782,,36923,31370,4
16022405,9377690,538009877,"Container","Manatee",21416,2006,"Imabari SB (Imabari)",,,"01-Dec-2021","USD",25,"Clients of Celsius","Denmark","Northstar Shipmgmt","Hong Kong",,,,,,"02-Sep-2005",,,,1577,1577,,21416,17518,15
16337415,9833010,352832000,"Container","Bremen Trader",23415,2021,"COSCO HI (Guangdong)",,,"30-Nov-2021","USD",42.75,"Clients of Wan Hai Lines","Taiwan","Dalian Zhida","China P.R.",,,,,,"01-Jun-2017",,,,1774,1774,,23415,18867,0
16329302,9833369,209746000,"Container","Nordamstel",23430,2019,"Jiangsu New YZJ",,,"30-Nov-2021","USD",41,"Undisclosed interests","Unknown","Reederei Nord","Germany",,,,,,"01-Jun-2017",,,,1774,1774,,23430,18867,1
16329328,9833383,563121900,"Container","A Fuji",23430,2021,"Jiangsu New YZJ",,,"30-Nov-2021","USD",42.75,"Clients of Wan Hai Lines","Taiwan","StarOcean Marine","China P.R.",,,,,,"01-Jun-2017",,,,1774,1774,,23430,18867,0
16015344,9357121,352001116,"Container","Louisiana Trader",30608,2008,"Aker Ostsee",,,"23-Nov-2021","USD",33,"Transmar","Egypt","Lomar Shipping","Greece",,,,10284,,"20-May-2005",,,,2122,2122,,30608,22801,13
16100604,9444950,636018680,"Container","Putnam",21292,2008,"Imabari SB (Imabari)",,,"23-Nov-2021","USD",27.5,"Vietnamese interests","Vietnam","Conbulk Shipping","Greece",,,,,,"01-Apr-2006",,,,1708,1708,,21292,17515,13
16300585,9771664,248136000,"Container","California Trader*",37000,2017,"Jiangsu New YZJ","#",6447.02,"20-Nov-2021",,,"Undisclosed interests","Unknown","Lomar Shipping","Greece",,,,,,"31-Dec-2014",,34.5,"$m",2708,2708,,37000,31370,4
15461089,9294513,636021440,"Container","AS Palatia*",34200,2006,"STX SB (Jinhae)","#",6450.02,"19-Nov-2021",,,"Undisclosed interests","Unknown","MPC Container Ships","Germany",,,,11543,,"22-May-2003",,,,2526,2566,,34200,26671,15
15853783,9374454,636021427,"Container","AS Petulia*",34418,2008,"Xiamen Shipbuilding",,6450.01,"19-Nov-2021","USD",71.6,"Undisclosed interests","Unknown","MPC Container Ships","Germany",,,,,,"30-Sep-2004",,,,2564,2564,,34418,26936,13
16258093,9733832,563145300,"Container","Box Express",22000,2016,"Huangpu Wenchong",,,"18-Nov-2021","USD",40.8,"Clients of Wan Hai Lines","Taiwan","Allseas Marine","Greece",,,,8185,,"01-Nov-2013",,,,1708,1708,,22000,17907,5
16213221,9631876,,"Container","X-Press Guernsey*",60149,2015,"Weihai Samjin SY",,6448.02,"18-Nov-2021","USD",105,"Clients of MSC","Switzerland","Sea Consortium","Singapore",,,,19097,,"03-Jun-2011",,55,"$m",5001,5001,,60149,48438,6
16208519,9622007,,"Container","X-Press Jersey*",56592,2014,"Zhejiang Ouhua SB",,6448.01,"18-Nov-2021","USD",105,"Clients of MSC","Switzerland","Sea Consortium","Singapore",,,,,,"31-Jan-2011",,,,4896,4896,,56592,47873,7
15788755,9327803,636021448,"Container","Long Beach Trader*",67680,2007,"CSBC (Kaohsiung)",,6410.01,"15-Nov-2021",,,"Clients of MSC","Switzerland","Lomar Shipping","Greece",,,,,,"16-Jul-2004",,,,5527,5527,,67680,66199,13
15788621,9327798,636021449,"Container","Los Angeles Trader*",67680,2007,"CSBC (Kaohsiung)","#",6410.02,"15-Nov-2021",,,"Clients of MSC","Switzerland","Lomar Shipping","Greece",,,,,,"16-Jul-2004",,,,5527,5527,,67680,66199,14
16043655,9401697,565967000,"Container","Acacia Rei",23328,2010,"Guangzhou Wenchong",,,"15-Nov-2021",,,"Clients of Maersk AS","Denmark","Haitong Container","China P.R.",,,,8800,,"26-May-2006",,,,1740,1740,,23328,18326,11
16227857,9629407,351664000,"Container","Vega Sky",12274,2013,"Tsuneishi Zhoushan",,,"10-Nov-2021",,,"Undisclosed interests","Unknown","Kambara Kisen KK","Japan",,,,,,"01-May-2011",,,,1020,1020,,12274,9996,8
16021053,9367815,,"Container","Coronado Bay*",34325,2008,"Xiamen Shipbuilding",,6442.02,"09-Nov-2021","USD",40,"Undisclosed interests","Unknown","Eastern Pacific Shpg","Singapore",,,,11810,,"10-Aug-2005",,,,2578,2578,,34325,26638,13
16021066,9367827,566972000,"Container","Glacier Bay*",34252,2009,"Xiamen Shipbuilding",,6442.01,"09-Nov-2021","USD",40,"Undisclosed interests","Unknown","Eastern Pacific Shpg","Singapore",,,,11810,,"10-Aug-2005",,,,2564,2564,,34252,26638,12
13025315,9175597,405000308,"Container","Kota Anggerik*",23840,1999,"Shin Kurushima","#",6720.03,"03-Nov-2021",,,"Clients of HR Lines","Bangladesh","PIL","Indonesia",,,,,,"01-Apr-1997",,,,1454,1454,,23840,17652,22
13077651,9175614,405000309,"Container","Kota Arif*",23840,1999,"Shin Kurushima","#",6720.04,"03-Nov-2021",,,"Clients of HR Lines","Bangladesh","PIL","Indonesia",,,,,,"18-Apr-1997",,,,1454,1454,,23840,17652,22
12914399,9123594,405000338,"Container","Kota Wangsa*",22703,1996,"Kanasashi K.K.",,6720.01,"03-Nov-2021",,,"Clients of HR Lines","Bangladesh","PIL","Indonesia",,,,7500,,"31-Dec-1994",,,,1398,1398,,22703,16772,25
12914265,9123582,405000337,"Container","Kota Wangi*",24657,1996,"Kanasashi K.K.","#",6720.02,"03-Nov-2021",,,"Clients of HR Lines","Bangladesh","PIL","Indonesia",,,,,,"31-Dec-1994",,,,1398,1398,,24657,16772,25
12836637,9074042,636016066,"Container","MSC Messina",63014,1995,"MHI Nagasaki",,,"01-Nov-2021",,,"Clients of MSC","Italy","Eastern Pacific Shpg","Singapore",,,,,,,,,,4953,4953,,63014,60117,26
13059031,9162277,636016574,"Container","Thorsky",30135,1999,"Flender Werft",,,"01-Nov-2021",,,"Clients of MSC","Italy","Thor Dahl Shipping","Norway",,,,,,"20-Jan-1997",,,,2169,2169,,30135,21583,22
12845363,9085596,563075510,"Container","Victory Unido",10747,1994,"Miho Shipyard",,,"01-Nov-2021",,,"Clients of PSA Marine","Singapore","Victory Star Shpg","Philippines",,,,4303,,,,,,841,841,,10747,7869,27
14654451,9244180,636021322,"Container","Conmar Elbe",7992,2001,"Peters S.B.",,,"01-Nov-2021",,,"Clients of Toba Shpmngmnt","Georgia","Conmar Shipping","Germany",,,,3498,,"09-Jan-2001",,,,681,681,,7992,6191,19
16116489,9483683,,"Container","Nordic Luebeck",13031,2011,"Shuntian Shungao",,,"01-Nov-2021",,,"Clients of Boluda Lines","Spain","Nordic Hamburg","Germany",,,,,,"02-Nov-2007",,25,"$m",1036,1036,,13031,10318,10
16121625,9491616,636021484,"Container","Vega Sagittarius",11811,2012,"Zhejiang Yangfan",,,"01-Nov-2021",,,"Clients of MSC","Italy","Vega Reederei","Germany",,,,,,"01-Oct-2007",,,,957,957,,11811,9981,9
16063503,9506540,538009719,"Container","Asturiano II",16855,2012,"AVIC Weihai Shipyard",,,"27-Oct-2021",,,"Clients of Safeen Feeders","U.A.E.","Ultraocean SA","Argentina",,,,,,"08-Dec-2006",,,,1304,1304,,16855,15633,9
16050037,9436422,256019000,"Container","Cartagena Trader",41500,2008,"Shanghai Shipyard",,,"27-Oct-2021",,,"Clients of CMA CGM","France","Lomar Shipping","Greece",,,,14877,,"04-Aug-2006",,53.5,"$m",3534,3534,,41500,35700,13
16029204,9395094,229680000,"Container","AS Faustina",18236,2007,"Zhejiang Ouhua SB",,,"27-Oct-2021","USD",23,"Clients of CMA CGM","France","MPC Container Ships","Germany",,,,,,"06-Jan-2006",,,,1284,1284,,18236,15375,13
16095809,9461594,229596000,"Container","Stefan Sibum",13200,2009,"SSW Fahr",,,"27-Oct-2021","USD",20,"CMA CGM","France","Sibum, Reederei","Germany",,,,,,"12-Jul-2007",,,,1036,1036,,13200,10585,12
16042308,9398773,212008000,"Container","Grete Sibum",13200,2008,"SSW Fahr",,,"27-Oct-2021","USD",20.1,"Clients of MPC Container Ships","Norway","Songa Container AS","Germany",,,,,,"18-May-2006",,,,1036,1036,,13200,10585,13
16061659,9366445,636021396,"Container","Asiatic Cloud",12477,2007,"Sedef Gemi (Tuzla)",,,"24-Oct-2021",,,"Undisclosed interests","Unknown","Asiatic Lloyd","Germany",,,,,,"27-Dec-2003",,,,1061,1061,,12477,9978,14
15396769,9290426,212700000,"Container","CSL Santa Maria*",66821,2005,"Hyundai HI (Ulsan)",,6434.01,"22-Oct-2021","USD",68,"Clients of MSC","Italy","Cyprus Maritime Co","Greece",,,,20555,,"19-Feb-2003",,,,5042,5042,,66821,54771,16
15692285,9317925,209520000,"Container","City of Alexandria*",65695,2006,"Hyundai HI (Ulsan)",,6434.02,"20-Oct-2021","USD",68,"Clients of MSC","Italy","Cyprus Maritime Co","Greece",,,,,,"20-Feb-2004",,,,5041,5041,,65695,53481,15
15458489,9294185,229684000,"Container","Irenes Respect",39359,2006,"Hyundai Mipo",,,"20-Oct-2021","USD",44,"Clients of CMA CGM","France","Tsakos Shpg & Trdg","Greece",,,,,,"16-May-2003",,,,2826,2826,,39359,27789,15
16079517,9440837,636021362,"Container","Harpy Hunter*",51745,2009,"Hyundai HI (Ulsan)","#",6423.02,"14-Oct-2021",,,"Clients of Zim Integrated Shpg","Israel","Delphis","Belgium",,,,,,"16-Mar-2007",,66,"$m",4255,4255,,51745,41358,12
16076866,9440801,,"Container","Heron Hunter*",51745,2009,"Hyundai HI (Ulsan)",,6423.01,"14-Oct-2021",,,"Clients of Zim Integrated Shpg","Israel","Delphis","Belgium",,,,,,"16-Mar-2007",,66,"$m",4255,4255,,51745,41358,12
16025714,9389382,563036600,"Container","ALS Fauna*",51733,2008,"Samsung HI","#",6422.02,"14-Oct-2021",,,"Clients of Zim Integrated Shpg","Israel","Asiatic Lloyd","Germany",,,,16358,,"29-Mar-2006",,64,"$m",4275,4275,,51733,40477,12
16047587,9431719,636020648,"Container","ALS Juno*",50300,2009,"Jiangsu New YZJ",,6422.01,"14-Oct-2021",,,"Clients of Zim Integrated Shpg","Israel","Asiatic Lloyd","Germany",,,,,,"14-Jul-2006",,59,"$m",4256,4256,,50300,40541,12
16190739,9596313,563004700,"Container","Viking Merlin",23560,2014,"Huangpu Wenchong",,,"13-Oct-2021","USD",33,"Clients of CMA CGM","France","Norse Shipholding","Norway",,,,,,"08-Jul-2010",,28.5,"$m",1732,1732,,23560,18485,7
13184089,9210050,636015031,"Container","Carlotta Star",40017,2000,"Samsung HI",,,"10-Oct-2021",,,"Clients of MSC","Italy","Metrostar Mngt","Greece",,,,,,"30-Mar-1999",,34,"$m",3430,3430,,40017,37113,20
