"Listing"

"WFR Listing"
"Created 09 March 2022 19:30"


"CVN","Builder","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Group Owner Country/Region","Great Lakes Only","Call Sign","Age Scrapped","Fleet Type","Sister Vessel Code","Owner Size","Group Owner Nationality/Region"
12797879,"Orskovs Staal.",10546,,,,1139,,"03-Sep-1993",10.23,28,4868,"Sub-Panamax Container",,350,789,"Inga A",4480,"1 x CP Propeller (Aft Centre) (mechanical), 113rpm",,,,,,,,,"176","Arkas Konteyner Tasimacilik A.S.","Turkey",,"TCZK9",,"Containerships",,"Large (21-50)","Turkey"
12799581,"Singapore SB",5320,,,,453,,,9.42,,2892,"Container",,,,"Armada Senada",,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion",,,,,,,,,"319",,"Indonesia",,"POIA",,"Containerships",,"Very Large (51-100)","Indonesia"
12799615,"Bremer Vulkan",37071,,,2661,3007,,"01-Jun-1992",15.84,,15889,"Container",,1334,1673,"MSC Nederland",19392,"1 x FP Propeller (Aft Centre) (mechanical), 93rpm",,,,,,,,,"1093","Nederland Oceanway Ltd.","Greece",,"HPMR",,"Containerships",,"Medium (11-20)","Greece"
12799749,"Bremer Vulkan",37071,,,,3005,,"12-Dec-1992",15.7,,15889,"Container",,1334,1671,"MSC Mandy",19191,"1 x FP Propeller (Aft Centre) (mechanical), 93rpm",,,,,,,,,"1094","Mandy Maritime Inc.","Switzerland",,"HPRL",,"Containerships",,"Extra Large (100+)","Italy"
12800175,"Howaldtswerke Werft",36452,,,,3007,,"27-Nov-1992",15.45,,15889,"Container",,1334,1673,"MSC Suez",19198,"1 x FP Propeller (Aft Centre) (mechanical), 93rpm",19,,,,,,,,"271","Suez Oceanway Ltd.","Switzerland",,"HPMS",,"Containerships",,"Extra Large (100+)","Italy"
12800209,"Howaldtswerke Werft",37071,,,2661,3007,,"27-Mar-1993",16.19,,15889,"Container","05-Sep-2018",1334,1673,"MSC Jordan",19198,"1 x FP Propeller (Aft Centre) (mechanical), 93rpm",,,,,,,,,"272","Octampa Management S.A.","Switzerland",,"HPMK",,"Containerships",,"Extra Large (100+)","Italy"
12800759,"Qiuxin Shipyard",6144,,,,412,,,10.33,,3076,"Sub-Panamax Container",,176,236,"Tian Rong",,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 176rpm, Ø4.20m",,"Y",,,,,,,"1212",,"China P.R.",,"BFAI",,"Containerships",,"Very Small (1-5) ","China P.R."
12802179,"Hyundai HI (Ulsan)",51836,,,,4651,,,14.78,,22101,"Diverse",,,,"MSC Shaula",16976,"1 x FP Propeller (Aft Centre) (mechanical), 104rpm",,,,,,,,,"770","Shaula Oceanway Ltd.","Singapore",,"D5KM4",,"Containerships",,"Extra Large (100+)","Singapore"
12802887,"Naikai Innoshima",17134,,,,1368,,,12.89,,7246,"Sub-Panamax Container",,,,"Wan Hai 207",,"1 x Propeller (Aft Centre) (mechanical), 127rpm",,"Y",,,,,,,"573","Amador Ventures Co.","Taiwan",,"9VHX",27.83,"Containerships",93564,"Very Large (51-100)","Taiwan"
12802911,"Samsung S.B (Busan)",53815,,,7362,4626,,"18-Sep-1993",15.76,82,23499,"Diverse",,2342,2284,"MSC Roberta",16668,"1 x FP Propeller (Aft Centre) (mechanical), Osterm, 94rpm",,,,,,,,,"1096","Stymfalia Shipping Corp.","Greece",,"D5IV9",,"Containerships",,"Very Large (51-100)","Greece"
12805383,"Shin Kurushima",48237,,,,3500,,"27-Nov-1992",13.75,,17752,"Container",,,,"MSC Erminia",14046,"1 x CP Propeller (Aft Centre) (mechanical), 88rpm",20,,,,,,,,"2740","Erminia Maritime Inc.","Switzerland",,"3FGH3",,"Containerships",,"Extra Large (100+)","Italy"
12806201,"Dae Sun Shipbuilding",3960,,,,338,,"24-Jan-1991",9.5,,1878,"Sub-Panamax Container",,,,"Grand Midas",,"1 x Propeller (Aft Centre) (mechanical), 210rpm",,,,,,,,,"386","KOREA MARINE TRANSPORT CO., LTD.","South Korea",,"9LU2309",28.67,"Containerships",,"Large (21-50)","South Korea"
12806335,"Dae Sun Shipbuilding",3960,,,,338,,"23-Apr-1992",10.54,,1878,,,,,"Chang long",,"1 x Propeller (Aft Centre) (mechanical), 210rpm",,,"Y",,,,,,"387","Jiyuan Shipping Ltd-GBI","Unknown",,"JVMR7",,"Containerships",,,"Unknown"
12808171,"HHIC (Yeongdo)",11086,,,,1288,,"12-Feb-1993",13.37,,5045,"Sub-Panamax Container",,,,"Xetha Bhum",5746,"1 x FP Propeller (Aft Centre) (mechanical), 123rpm",,"Y",,,,,,,"618","Regional Container Lines Public Co., Ltd.","Thailand",,"9V8477",,"Containerships",,"Large (21-50)","Thailand"
12808205,"HHIC (Yeongdo)",11086,,,,1288,,"31-May-1993",12.42,,5045,"Sub-Panamax Container",,,,"Yantra Bhum",5746,"1 x FP Propeller (Aft Centre) (mechanical), 117rpm",,"Y",,,,,,,"619","Regional Container Lines Public Co., Ltd.","Thailand",,"9V8478",,"Containerships",,"Large (21-50)","Thailand"
12809831,"Bremer Vulkan",16236,,,1928,1597,780,,,36.1,9475,"Sub-Panamax Container",,616,981,"Xin Bin Jiang",,"1 x CP Propeller (Aft Centre) (mechanical), 123rpm",,,,,,,,,"105","Fujian Changan Shipping Co Ltd","China P.R.","N","BVJW5",26.67,"Containerships",70324,"Very Small (1-5) ","China P.R."
12811063,"A.E.S.A.",30971,,,2988,2394,,"02-Sep-1993",11.96,52.9,12553,"Container",,1152,1242,"MSC Jemima",12643,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",,,,,,,,,"291","Jemima Marine Inc.","Switzerland",,"3EAE3",,"Containerships",70605,"Extra Large (100+)","Italy"
12811355,"A.E.S.A.",30971,,,2988,2394,,"29-Mar-1994",11.52,52.9,12553,"Container",,1152,1242,"MSC Nilgun",12643,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",,,,,,,,,"293","Nilgun Maritime Inc.","Switzerland",,"H8MU",,"Containerships",70605,"Extra Large (100+)","Italy"
12811489,"A.E.S.A.",30971,,,2988,2394,,"21-Jul-1994",14.62,52.9,14641,"Container",,1152,1242,"MSC Krittika",12643,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",,,,,,,,,"294","Compania Naviera Krittika S.A.","Switzerland",,"H3RV",,"Containerships",70605,"Extra Large (100+)","Italy"
12814277,"Naikai Innoshima",17138,,,,1368,,"12-Aug-1992",12.89,,7247,"Sub-Panamax Container",,,,"Wan Hai 211",,"1 x Propeller (Aft Centre) (mechanical), 127rpm",,"Y",,,,,,,"578","WAN HAI LINES (S) PTE LTD","Taiwan",,"9VDR",27.67,"Containerships",93564,"Very Large (51-100)","Taiwan"
12814301,"Naikai Innoshima",17138,,,,1368,,,13.12,,7247,"Sub-Panamax Container",,,,"Wan Hai 212",,"1 x Propeller (Aft Centre) (mechanical), 127rpm",,"Y",,,,,,,"579",,"Taiwan",,"9VEJ",27.08,"Containerships",,"Very Large (51-100)","Taiwan"
12815803,"Dae Sun Shipbuilding",4811,,,,385,,,9.76,,2410,"Sub-Panamax Container",,,,"Tanto Subur I",,"1 x Propeller (Aft Centre) (mechanical), 210rpm",20,,,,,,,,"397","Tanto Intim Line PT","Indonesia",,"JZGM",,"Containerships",,"Very Large (51-100)","Indonesia"
12815937,"Dae Sun Shipbuilding",4811,,,,385,,,10.11,,2410,"Sub-Panamax Container",,,,"Tanto Subur II",,"1 x Propeller (Aft Centre) (mechanical), 210rpm",20,,,,,,,,"398","Tanto Intim Line P.T.","Indonesia",,"JZKS",,"Containerships",,"Very Large (51-100)","Indonesia"
12816563,"Shin Kurushima",17651,,,,1525,,,11.67,,8135,"Sub-Panamax Container",,,,"Tanto Setia",,"1 x Propeller (Aft Centre) (mechanical), 105rpm",22,,,,,,,,"2776",,"Indonesia",,"PNUS",,"Containerships",,"Very Large (51-100)","Indonesia"
12817481,"Howaldtswerke Werft",42323,,,,3274,,,,,17675,,,,,"Gang Tai Tai Zhou",,"1 x FP Propeller (Aft Centre) (mechanical), 102rpm",16,,,,,,,,"286",,"China P.R.",,"BIBO7",25.67,"Containerships",,,"China P.R."
12817515,"Howaldtswerke Werft",42323,,,,3066,,,11.11,,16342,"Panamax Container",,2468,598,"Heng Hui 2",,"1 x FP Propeller (Aft Centre) (mechanical), 102rpm",16,,,,,,,,"287","Shishi Hengtong Shipping Co. Ltd.","China P.R.",,"BVLC5",,"Containerships",,"Very Small (1-5) ","China P.R."
12819519,"Naikai Innoshima",17138,,,,1368,,,13.62,,7247,"Sub-Panamax Container",,,,"CUL Huizhou",9470,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,,,,,"Y",,,"584","CULines Ltd","China P.R.",,"5LCH6",,"Containerships",93564,"Very Small (1-5) ","China P.R."
12819643,"Naikai Innoshima",17138,,,,1368,,"22-Sep-1993",12.62,,7247,"Sub-Panamax Container",,,,"Wan Hai 215",9470,"1 x Propeller (Aft Centre) (mechanical), 123rpm",22,"Y",,,,,,,"585","WAN HAI LINES (S) PTE. LTD.","Taiwan",,"S6SG",,"Containerships",93564,"Very Large (51-100)","Taiwan"
12819777,"Naikai Innoshima",17138,,,,1368,,,14.53,,7247,"Sub-Panamax Container",,,,"Wan Hai 216",9344,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,"Y",,,,,,,"586","Wan Hai Lines (Singapore) Pte. Ltd.","Taiwan",,"S6SI",,"Containerships",93564,"Very Large (51-100)","Taiwan"
