"Listing"

"WFR Listing"
"Created 09 March 2022 20:03"


"CVN","Core Deployment Type (Last 12 Months)","Port Core Deployment (Last 12 Months)","Country Core Deployment (Last 12 Months)","Region Core Deployment (Last 12 Months)","Continent Core Deployment (Last 12 Months)","Atlantic/Pacific Deployment (Last 12 Months)","West Coast N America Deployment (Time in Last 12 Months, %)","West Coast S America Deployment (Time in Last 12 Months, %)","East Coast N America Deployment (Time in Last 12 Months, %)","East Coast S America Deployment (Time in Last 12 Months, %)","West Coast Africa Deployment (Time in Last 12 Months, %)","UK/Cont Deployment (Time in Last 12 Months, %)","East Coast Africa Deployment (Time in Last 12 Months, %)","Med/Black Sea Deployment (Time in Last 12 Months, %)","Australasia Deployment (Time in Last 12 Months, %)","Middle East Deployment (Time in Last 12 Months, %)","East Asia Deployment (Time in Last 12 Months, %)","Indian Subcont Deployment (Time in Last 12 Months, %)","SE Asia Deployment (Time in Last 12 Months, %)","North Asia Deployment (Time in Last 12 Months, %)","Southern Ocean Deployment (Time in Last 12 Months, %)","Arctic Deployment (Time in Last 12 Months, %)","Aux Consumption at Laden Speed (tpd)","Aux Consumption In Port - Idle (tpd)","Aux Consumption In Port - Working (tpd)","Aux Consumption In Port (tpd)","Aux Consumption at Service Speed (tpd)","Hatch Description","Depth Moulded (m)","Group","Beam Ext (m)","Bridge Position Ind","Max TEU Tiers on Deck","TEU Max Row Athwart","Reefer Plugs Total No","Twin Island (Ind)"
12891023,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,12.9,"FCC",,,,,100,"N"
12891157,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,12.8,"FCC",,,,,100,"N"
12893027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,"FCC",,,,,100,"N"
12893151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,"FCC",,,6,9,100,"N"
12893285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,"FCC",,,,,100,"N"
12896499,"National",,"China P.R.","East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,14.3,"FCC",,,,,152,"N"
12897441,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,19,"FCC",,,,13,150,"N"
12897609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,"FCC",,"Aft",7,,120,"N"
12897733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,"FCC",,"Aft",7,10,,"N"
12897991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,"FCC",,"Aft",7,10,200,"N"
12898077,"International",,,,,"Pacific",,,,,,,,,,,,35,65,,,,,,,,,,13.5,"FCC",,"Aft",7,10,200,"N"
12898493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,"FCC",,"Three quarter aft",,,703,"N"
12898819,"National",,"Malaysia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,10.5,"FCC",,,,,50,"N"
12898943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,"FCC",,"Aft",,,150,"N"
12899029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,"FCC",,"Aft",,,150,"N"
12899153,"International",,,,,"Pacific",,,,,,,,,,,,32,68,,,,,,,,,,13.2,"FCC",,"Aft",6,11,150,"N"
12899287,"International",,,,,"Atlantic",,,,,21,1,,78,,,,,,,,,,,,,,,13.2,"FCC",,"Aft",6,11,150,"N"
12900321,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,0,,,,,,,,100,,,,,,,,,,10.7,"FCC",,,,,150,"N"
12900455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,"FCC",,"Aft",5,10,150,"N"
12900905,"National",,"Philippines","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,9.45,"FCC",,"Aft",5,,144,"N"
12901665,"International",,,,,"Pacific",,,,,,,,,,,12,10,78,,,,,,,,,,11.5,"FCC",,,,,100,"N"
12901799,"International",,,,,"Pacific",,,,,,,,,,,12,19,69,,,,,,,,,,11.2,"FCC",,,,,100,"N"
12901957,"International",,,,,"Atlantic",,,,,3,3,,94,,,,,,,,,,,,,,,8.2,"FCC",,,,,20,"N"
12902909,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,19,"FCC",,"Aft",6,,214,"N"
12904037,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,8.25,"FCC",,"Aft",6,,50,"N"
12904161,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,8.25,"FCC",,,6,,50,"N"
12904295,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,8.25,"FCC",,,,,50,"N"
12905113,"International",,,,"Asia","Pacific",,,,,,,,,,,98,,2,,,,,,,,,,10.5,"FCC",,"Forward",3,,60,"N"
12905247,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,10.5,"FCC",,"Forward",,,60,"N"
12905663,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,10.6,"FCC",,,,,50,"N"
12907241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,"FCC",,,5,,562,"N"
12907375,"International",,,,,"Pacific",,,,,,,19,,,,44,9,27,,,,,,,,,,24.2,"FCC",,,5,,562,"N"
12907409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,"FCC",,,5,,562,"N"
12907533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,"FCC",,,5,,562,"N"
12907667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,"FCC",,,5,,562,"N"
12907791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,"FCC",,,4,,50,"N"
12908619,"National",,"Philippines","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.3,"FCC",,,,,25,"N"
12908743,"Port-based","Cebu","Philippines","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.3,"FCC",,,,,40,"N"
12908877,"Port-based","Kaohsiung","Taiwan","East Asia","Asia","Pacific",,,,,,,,80,,,18,,,1,,,,,,,,,8.3,"FCC",,,,,40,"N"
12909661,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,11.1,"FCC",,"Aft",6,9,113,"N"
12910133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,"FCC",,"Aft",7,10,200,"N"
12910683,"International",,,,"Asia","Pacific",,,,,,,,,,,62,,38,,,,,,,,,,14.2,"FCC",,,,,200,"N"
12911219,"International",,,,"Asia","Pacific",,,,,,,,,68,,,,32,,,,,,,,,,19,"FCC",,,,13,284,"N"
12911501,"Port-based","Tortola","Vir Is British","East Coast North America","North America","Atlantic",,,10,,,,,,,90,,,,,,,,,,,,,11,"FCC",,,,,70,"N"
12911635,"National",,"Philippines","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,11,"FCC",,,,,100,"N"
12912261,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,14,"FCC",,,5,11,80,"N"
12913189,"International",,,,"Asia","Pacific",,,,,,,,,36,,29,,35,,,,,,,,,,21.2,"FCC",,,,,303,"N"
12914265,"International",,,,,"Pacific",,,,,,,,,,,,66,34,,,,,,,,,,14,"FCC",,,,,100,"N"
12914399,"International",,,,,"Pacific",,,,,0,,3,,,,0,67,31,,,,,,,,,,14,"FCC",,,,,100,"N"
12914423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"FCC",,,,,100,"N"
12916269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,"FCC",,"Aft",,,60,"N"
12916843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,"FCC",,"Aft",5,,40,"N"
12916977,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,9.2,"FCC",,"Aft",5,,40,"N"
12917053,"International",,,,,"Pacific",,,,,,,,,,3,,52,45,,,,,,,,,,13.2,"FCC",,"Aft",6,11,150,"N"
12918005,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,12.8,"FCC",,,,,100,"N"
12918263,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,14,"FCC",,,5,11,80,"N"
12918421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,"FCC",,,4,11,150,"N"
12918555,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,8.7,"FCC",,"Aft",,,60,"N"
12918689,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,8.7,"FCC",,"Aft",,,30,"N"
12918713,"National",,"Vietnam","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.7,"FCC",,"Aft",,,30,"N"
12918847,"National",,"Vietnam","South East Asia","Asia","Pacific",,,,,,,,,,,0,,100,,,,,,,,,,8.7,"FCC",,"Aft",,,30,"N"
12920103,"International",,,,,"Atlantic/Pacific",,,,,,,0,36,,12,7,42,4,,,,,,,,,,11.1,"FCC",,"Aft",,,90,"N"
12920787,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,8.5,"FCC",,"Aft",6,7,91,"N"
12920811,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,8.5,"FCC",,"Aft",6,7,91,"N"
12920945,"National",,"U.A.E.","Middle East","Middle East/ISC","Pacific",,,,,,,,,,100,,,,,,,,,,,,,8.5,"FCC",,"Aft",6,7,75,"N"
12921021,"International",,,,,"Atlantic/Pacific",,,,,3,5,,53,,40,,,,,,,,,,,,,8.4,"FCC",,"Aft",6,7,91,"N"
12921155,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,8.4,"FCC",,"Aft",6,7,91,"N"
12921313,"International",,,,,"Pacific",,,,,,,,,,,,34,66,,,,,,,,,,13.5,"FCC",,,7,10,200,"N"
12923283,"International",,,,,"Atlantic",,,,,11,8,,81,,,,,,,,,,,,,,,8.25,"FCC",,"Aft",5,7,50,"N"
12923317,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,8.25,"FCC",,"Aft",5,7,54,"N"
12923441,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,8.25,"FCC",,"Aft",5,7,60,"N"
12923575,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,8.3,"FCC",,,,,25,"N"
12923733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.75,"FCC",,"Aft",6,,400,"N"
12923867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.75,"FCC",,"Aft",6,,400,"N"
12924493,"International",,,,,"Pacific",34,24,,,,,,,2,,30,,8,2,,,,,,,,,24.1,"FCC",,"Three quarter aft",,,703,"N"
12924527,"International",,,,,"Atlantic/Pacific",23,13,,,5,,5,,2,,39,3,9,2,,,,,,,,,24.1,"FCC",,"Three quarter aft",,,817,"N"
12924651,"International",,,,,"Pacific",38,19,,,,,,,3,,33,,5,2,,,,,,,,,24.1,"FCC",,"Three quarter aft",,,703,"N"
12924785,"National",,"United States",,"North America","Pacific",6,,,,,,,,,,86,,7,1,,,,,,,,,13.5,"FCC",,,6,10,300,"N"
12924819,"Regional",,,"West Coast Africa","Africa","Atlantic",,,,,100,,,0,,,,,,,,,,,,,,,13.5,"FCC",,,6,10,300,"N"
12925029,"Regional",,,"Indian Subcontinent","Middle East/ISC","Pacific",,,,,,,,,,,,100,0,,,,,,,,,,13.5,"FCC",,,6,10,200,"N"
12925287,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,11.1,"FCC",,"Aft",6,9,90,"N"
12925579,"International",,,,,"Pacific",,,,,,0,61,,,18,,22,,,,,,,,,,,13.5,"FCC",,,,,200,"N"
12926105,"National",,"Taiwan","East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,8.3,"FCC",,,3,,40,"N"
12926239,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,8.3,"FCC",,,3,,25,"N"
12927315,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,16,"FCC",,,,,200,"N"
12928075,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,9.2,"FCC",,"Aft",,,92,"N"
12928817,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,8,"FCC",,,,,40,"N"
12928941,"International",,,,,"Atlantic/Pacific",74,,8,18,,,,,,,,,,,,,,,,,,,8,"FCC",,,,,40,"N"
12929319,"International",,,,"Asia","Pacific",,,,,,,,,,,71,,4,25,,,,,,,,,19,"FCC",,"Aft",6,,215,"N"
12930173,"International",,,,"Asia","Pacific",,,,,,,,,,,61,,30,9,,,,,,,,,10.5,"FCC",,,,,50,"N"
12930207,"International",,,,,"Atlantic",,,,,3,16,,80,,,,,,,,,,,,,,,9.3,"FCC",,"Aft",5,7,100,"N"
12930331,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,8.25,"FCC",,,6,,50,"N"
12931259,"National",,"Malaysia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,11.1,"FCC",,,,,100,"N"
12931383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,"FCC",,,,,90,"N"
12932043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,"FCC",,"Aft",,,36,"N"
12932177,"International",,,,,"Pacific",,,,,,,,,,2,92,4,2,,,,,,,,,,9,"FCC",,,,,100,"N"
12932201,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,9,"FCC",,,,,100,"N"
12933961,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,11.2,"FCC",,"Aft",,,160,"N"
12934047,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,11.2,"FCC",,"Aft",,,160,"N"
12934205,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,12.8,"FCC",,,,,150,"N"
12934339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,"FCC",,,7,9,150,"N"
12934463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,"FCC",,,7,9,150,"N"
12934597,"International",,,,"Africa","Atlantic/Pacific",,,,,70,,30,,,,,,,,,,,,,,,,12.8,"FCC",,,7,9,150,"N"
12934621,"International",,,,,"Atlantic",,,,,1,,,99,,,,,,,,,,,,,,,12.8,"FCC",,,,,150,"N"
12934889,"International",,,,,"Atlantic",,,,,1,1,,98,,,,,,,,,,,,,,,12.8,"FCC",,,,,150,"N"
12935415,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,13.5,"FCC",,,,,120,"N"
12935549,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,13.5,"FCC",,,,,120,"N"
12935673,"International",,,,,"Atlantic",,,,,4,3,,93,,,,,,,,,,,,,,,13.5,"FCC",,,,,120,"N"
12936333,"National",,"Philippines","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.3,"FCC",,,,,40,"N"
12936883,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,8.25,"FCC",,,6,,50,"N"
12937251,"International",,,,"Asia","Pacific",,,,,,,,,,,35,,,65,,,,,,,,,8.25,"FCC",,,6,,52,"N"
12937835,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,8.3,"FCC",,,3,,25,"N"
12938629,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,13.9,"FCC",,"Aft",6,,152,"N"
12938753,"International",,,,"Middle East/ISC","Pacific",,,,,,,,,,99,,1,,,,,,,,,,,16.75,"FCC",,,,,300,"N"
12940277,"International",,,,,"Atlantic",,,,,5,,,95,,,,,,,,,,,,,,,11.3,"FCC",,,,,240,"N"
12941353,"International",,,,,"Atlantic",,,,,6,9,,85,,,,,,,,,,,,,,,13.5,"FCC",,,,,120,"N"
12942697,"Regional",,,"Middle East","Middle East/ISC","Pacific",,,,,,,,,,100,,,,,,,,,,,,,7.95,"FCC",,"Aft",5,,45,"N"
12942721,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,1,,,,,,,99,,,,,,,,,,7.95,"FCC",,"Aft",5,,48,"N"
12945485,"International",,,,"Asia","Pacific",,,,,,,,,,,25,,55,19,,,,,,,,,15.8,"FCC",,,,,400,"N"
12946145,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,8.3,"FCC",,"Aft",3,,25,"N"
12946279,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.3,"FCC",,"Aft",3,7,25,"N"
12946303,"International",,,,,"Pacific",,,,,,,,,,69,11,18,2,,,,,,,,,,8.3,"FCC",,"Aft",3,7,25,"N"
12946561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"FCC",,,,,206,"N"
12947063,"International",,,,,"Atlantic",,,,,4,12,,84,,,,,,,,,,,,,,,9.45,"FCC",,"Aft",6,,100,"N"
12947647,"National",,"Vietnam","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.7,"FCC",,,,,30,"N"
12947805,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,8.7,"FCC",,,,,30,"N"
12947939,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,8.7,"FCC",,,,,30,"N"
12948015,"National",,"Vietnam","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.7,"FCC",,,,,30,"N"
12949191,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,8.25,"FCC",,,6,,50,"N"
12949517,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,9.3,"FCC",,"Aft",5,7,100,"N"
12949933,"International",,,,,"Atlantic",,,,,57,43,,,,,,,,,,,,,,,,,9.5,"FCC",,"Aft",,,60,"N"
12950247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,"FCC",,,,,200,"N"
12950371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,"FCC",,,6,10,160,"N"
12950405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,"FCC",,,,,200,"N"
12950539,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,13.5,"FCC",,,6,,200,"N"
12950797,"International",,,,"Asia","Pacific",,,,,,,,,,,68,,,32,,,,,,,,"Pontoon",13.5,"FCC",,,,,150,"N"
12950821,"International",,,,,"Pacific",,,,,,,,,,,60,11,29,,,,,,,,,"Pontoon",13.5,"FCC",,"Aft",6,21,150,"N"
12950955,"International",,,,,"Pacific",,,,,,,,,,,36,62,2,,,,,,,,,"Pontoon",13.5,"FCC",,,6,21,150,"N"
12951299,"International",,,,"Asia","Pacific",,,,,,,,,,,63,,37,,,,,,,,,,21.5,"FCC",,"Aft",,,150,"N"
12951323,"International",,,,,"Atlantic/Pacific",,,,,6,,16,,,5,31,8,34,,,,,,,,,,21.5,"FCC",,"Aft",,,150,"N"
12951457,"International",,,,"Asia","Pacific",,,,,,,,,,,65,,35,,,,,,,,,,13.8,"FCC",,"Aft",5,,100,"N"
12951581,"International",,,,"Asia","Pacific",,,,,,,,,,,63,,37,,,,,,,,,,13.8,"FCC",,"Aft",5,,400,"N"
12951749,"National",,"Indonesia","South East Asia","Asia","Pacific",0,,,,,,,,,,,,100,,,,,,,,,,11.85,"FCC",,,6,9,174,"N"
12952533,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,8.3,"FCC",,"Aft",,7,100,"N"
12952667,"Regional",,,"Middle East","Middle East/ISC","Pacific",,,,,,,,,,100,,,,,,,,,,,,,8.3,"FCC",,"Aft",,7,100,"N"
12952791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,"FCC",,,,,200,"N"
12952825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,"FCC",,,,,200,"N"
12952959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,"FCC",,,,,200,"N"
12953035,"International",,,,"Asia","Pacific",,,,,,,,,,,31,,69,,,,,,,,,,10.1,"FCC",,,,,200,"N"
12953169,"International",,,,"Asia","Pacific",,,,,,,,,,,67,,33,,,,,,,,,,13.3,"FCC",,,,,200,"N"
12953293,"International",,,,"Asia","Pacific",,,,,,,,,,,92,,8,,,,,,,,,,13.3,"FCC",,,,,200,"N"
12953327,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,13.3,"FCC",,,,,200,"N"
12953451,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,13.3,"FCC",,,,,200,"N"
12954111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45,"FCC",,,,,,"N"
12954379,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,8.5,"FCC",,,,,30,"N"
12954403,"National",,"Vietnam","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.5,"FCC",,,,,30,"N"
12954537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,"FCC",,,,,30,"N"
12954661,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,10.7,"FCC",,,6,8,60,"N"
12954953,"International",,,,"Asia","Pacific",,,,,,,,,,,50,,50,,,,,,,,,,12.8,"FCC",,"Aft",5,,70,"N"
12955039,"International",,,,"Asia","Pacific",,,,,,,,,,,72,,28,,,,,,,,,,12.8,"FCC",,"Aft",,,70,"N"
12955613,"International",,,,"Asia","Pacific",,,,,,,,,,,54,,46,,,,,,,,,,13.6,"FCC",,"Aft",5,,190,"N"
12955747,"International",,,,"Asia","Pacific",,,,,,,,,,,57,,43,,,,,,,,,,13.6,"FCC",,"Aft",5,,190,"N"
12956249,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,8.3,"FCC",,,,,30,"N"
12956531,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,10.7,"FCC",,,,,60,"N"
12956799,"International",,,,"Asia","Pacific",,,,,,,,,,,92,,,8,,,,,,,,,10.5,"FCC",,,,,60,"N"
12956823,"Regional",,,"Indian Subcontinent","Middle East/ISC","Pacific",,,,0,,,,,,,,100,,,,,,,,,,,15.8,"FCC",,,,,240,"N"
12956957,"International",,,,"Asia","Pacific",,,,,,,,,,,87,,13,,,,,,,,,,15.8,"FCC",,,,,209,"N"
12958085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,"FCC",,,,,100,"N"
12958119,"International",,,,"Asia","Pacific",,,,,,,,,,,80,,20,,,,,,,,,,8.3,"FCC",,"Aft",3,,45,"N"
12959453,"International",,,,,"Pacific",,,,,,,,,,,,46,54,,,,,,,,,,13.5,"FCC",,,6,10,160,"N"
12960475,"National",,"U.A.E.","Middle East","Middle East/ISC","Pacific",,,,,,,,,,100,,,,,,,,,,,,,8.3,"FCC",,,,,100,"N"
12960633,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,8.3,"FCC",,,,,100,"N"
12960767,"International",,,,,"Pacific",,,,,,,,,,11,1,42,46,,,,,,,,,,21.25,"FCC",,,5,13,476,"N"
12960891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25,"FCC",,,5,13,476,"N"
12960925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25,"FCC",,,5,13,476,"N"
12961001,"International",,,,,"Atlantic/Pacific",,,,,12,,31,,,,34,,23,,,,,,,,,,21.25,"FCC",,,5,13,476,"N"
12961135,"International",,,,,"Pacific",,,,,,,19,,,,42,11,27,,,,,,,,,,21.25,"FCC",,,5,13,476,"N"
12961269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25,"FCC",,,5,13,476,"N"
12961843,"International",,,,"Asia","Pacific",,,,,,,,,,,96,,4,,,,,,,,,,10.5,"FCC",,,,,,"N"
12962211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,"FCC",,,,,200,"N"
12963397,"National",,"China P.R.","East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,19.2,"FCC",,,,13,175,"N"
12963555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,"FCC",,,7,10,200,"N"
12963689,"International",,,,"Asia","Pacific",,,,,,,,,,,74,,,26,,,,,,,,,11.7,"FCC",,,,,178,"N"
12963713,"International",,,,"Asia","Pacific",,,,,,,,,,,83,,12,5,,,,,,,,,11.7,"FCC",,,,,178,"N"
12963847,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,5.58,"FCC",,,,,32,"N"
12965975,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,4,,,100,,,,,,,,,,,,,,,8.25,"FCC",,"Aft",6,,50,"N"
12966769,"International",,,,,"Pacific",,,,,,,,,,,,1,99,,,,,,,,,,13.5,"FCC",,,,,100,"N"
12966893,"International",,,,"Asia","Pacific",,,,,,,,,,,60,,40,,,,,,,,,,13.5,"FCC",,,,,100,"N"
12966927,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,13.5,"FCC",,,,,84,"N"
12967003,"International",,,,"Asia","Pacific",,,,,,,,,,,1,,99,,,,,,,,,,13.5,"FCC",,,,,100,"N"
12967137,"International",,,,"Asia","Pacific",,,,,,,,,,,45,,55,,,,,,,,,,13.5,"FCC",,,,,100,"N"
12968189,"International",,,,,"Pacific",,,,,,,,,,6,,58,35,,,,,,,,,,14,"FCC",,"Aft",5,,206,"N"
12968213,"International",,,,,"Pacific",,,,,,,,,1,4,13,79,2,,,,,,,,,,14,"FCC",,"Aft",5,,206,"N"
12968347,"International",,,,"Middle East/ISC","Pacific",,,,,,,,,,4,,96,,,,,,,,,,,14,"FCC",,"Aft",5,,206,"N"
12968471,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,14,"FCC",,"Aft",,,206,"N"
12969681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,"FCC",,,,,200,"N"
12969849,"National",,"India","Indian Subcontinent","Middle East/ISC","Pacific",,,,,,,,,,,,100,,,,,,,,,,,14.3,"FCC",,,,11,310,"N"
12969973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,"FCC",,,,11,310,"N"
12970029,"International",,,,"Asia","Pacific",,,,,,,,,,,86,,14,,,,,,,,,,14.4,"FCC",,,,11,200,"N"
12970153,"International",,,,"Asia","Pacific",,,,,,,,,,,48,,16,36,,,,,,,,,14.4,"FCC",,,,11,200,"N"
