"Listing"

"WFR Listing"
"Created 09 March 2022 20:03"


"CVN","Core Deployment Type (Last 12 Months)","Port Core Deployment (Last 12 Months)","Country Core Deployment (Last 12 Months)","Region Core Deployment (Last 12 Months)","Continent Core Deployment (Last 12 Months)","Atlantic/Pacific Deployment (Last 12 Months)","West Coast N America Deployment (Time in Last 12 Months, %)","West Coast S America Deployment (Time in Last 12 Months, %)","East Coast N America Deployment (Time in Last 12 Months, %)","East Coast S America Deployment (Time in Last 12 Months, %)","West Coast Africa Deployment (Time in Last 12 Months, %)","UK/Cont Deployment (Time in Last 12 Months, %)","East Coast Africa Deployment (Time in Last 12 Months, %)","Med/Black Sea Deployment (Time in Last 12 Months, %)","Australasia Deployment (Time in Last 12 Months, %)","Middle East Deployment (Time in Last 12 Months, %)","East Asia Deployment (Time in Last 12 Months, %)","Indian Subcont Deployment (Time in Last 12 Months, %)","SE Asia Deployment (Time in Last 12 Months, %)","North Asia Deployment (Time in Last 12 Months, %)","Southern Ocean Deployment (Time in Last 12 Months, %)","Arctic Deployment (Time in Last 12 Months, %)","Aux Consumption at Laden Speed (tpd)","Aux Consumption In Port - Idle (tpd)","Aux Consumption In Port - Working (tpd)","Aux Consumption In Port (tpd)","Aux Consumption at Service Speed (tpd)","Hatch Description","Depth Moulded (m)","Group","Beam Ext (m)","Bridge Position Ind","Max TEU Tiers on Deck","TEU Max Row Athwart","Reefer Plugs Total No","Twin Island (Ind)"
12815803,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.47,"FCC",,,,,30,"N"
12815937,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.47,"FCC",,,,,30,"N"
12816563,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,14,"FCC",,,,,133,"N"
12817481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,"FCC",,"Aft",2,13,198,"N"
12817515,"International",,,,"Asia","Pacific",,,,,,,,,,,78,,22,,,,,,,,,,23,"FCC",,"Aft",2,13,198,"N"
12819519,"International",,,,,"Pacific",,,,,,,,,,5,48,12,35,,,,,,,,,,14.6,"FCC",,,,,80,"N"
12819643,"International",,,,"Asia","Pacific",,,,,,,,,,,94,,6,,,,,,,,,,14.6,"FCC",,,,,80,"N"
12819777,"International",,,,"Asia","Pacific",,,,,,,,,,,56,,44,,,,,,,,,,14.6,"FCC",,,,,80,"N"
12820531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,"FCC",,"Aft",6,11,128,"N"
12820957,"International",,,,,"Atlantic",,,,,0,100,,,,,,,,,,,,,,,,,19,"FCC",,,6,13,230,"N"
12821033,"International",,,,,"Atlantic/Pacific",,,5,6,12,5,10,12,,10,33,2,6,,,,,,,,,,19,"FCC",,,6,13,230,"N"
12821909,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,8.25,"FCC",,"Aft",5,7,50,"N"
12822085,"International",,,,,"Atlantic",,,,,5,34,,61,,,,,,,,,,,,,,,8.25,"FCC",,"Aft",5,7,50,"N"
12822119,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,8.25,"FCC",,"Aft",5,7,50,"N"
12822377,"Regional",,,"East Coast North America","North America","Atlantic",,,100,,,,,,,,,,,,,,,,,,,,8.25,"FCC",,"Aft",5,7,50,"N"
12822401,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,8.25,"FCC",,"Aft",5,7,58,"N"
12822535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,"FCC",,"Aft",5,7,54,"N"
12823161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.23,"FCC",,"Aft",,,164,"N"
12823295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.23,"FCC",,"Aft",,,164,"N"
12823329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.23,"FCC",,"Aft",,,164,"N"
12823453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"FCC",,,,,80,"N"
12825031,"International",,,,"Asia","Pacific",,,,,,,,,,,50,,50,,,,,,,,,,15.95,"FCC",,,6,13,150,"N"
12825299,"International",,,,,"Pacific",,,,,,,12,0,,46,,41,1,,,,,,,,,,16.75,"FCC",,,6,13,150,"N"
12825323,"International",,,,,"Atlantic/Pacific",,,,,40,1,25,2,,12,,19,,,,,,,,,,,16.75,"FCC",,,6,13,328,"N"
12825581,"National",,"Philippines","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,9.2,"FCC",,,,,110,"N"
12825615,"National",,"Philippines","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,9.2,"FCC",,,,,120,"N"
12826533,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.5,"FCC",,,,,40,"N"
12826791,"International",,,,"Asia","Pacific",,,,,,,,,,,65,,35,,,,,,,,,,19,"FCC",,,6,13,230,"N"
12826825,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,18.5,"FCC",,"Aft",6,,170,"N"
12826959,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,18.5,"FCC",,"Aft",6,,170,"N"
12827035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,"FCC",,,6,10,150,"N"
12827327,"National",,"China P.R.","East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,16,"FCC",,"Aft",6,,170,"N"
12830219,"National",,"China P.R.","East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,18.8,"FCC",,,,13,99,"N"
12831687,"International",,,,"Asia","Pacific",,,,,,,,,,,30,,70,,,,,,,,,,19,"FCC",,,,13,230,"N"
12834059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,"FCC",,"Three quarter aft",5,16,310,"N"
12834183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,"FCC",,"Three quarter aft",5,16,310,"N"
12834217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,"FCC",,"Three quarter aft",5,16,310,"N"
12834341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,"FCC",,"Three quarter aft",5,16,310,"N"
12834475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,"FCC",,"Three quarter aft",5,16,310,"N"
12834509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,"FCC",,"Three quarter aft",5,16,310,"N"
12834633,"National",,"China P.R.","East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,15.6,"FCC",,"Aft",5,11,115,"N"
12836637,"International",,,,,"Atlantic/Pacific",,,2,,,,14,3,2,,6,2,71,,,,,,,,,,21.8,"FCC",,"Three quarter aft",,,350,"N"
12838473,"International",,,,"Asia","Pacific",,,,,,,,,,,77,,23,,,,,,,,,,14.6,"FCC",,,,11,80,"N"
12838507,"International",,,,"Asia","Pacific",,,,,,,,,,,55,,45,,,,,,,,,,14.6,"FCC",,,,11,80,"N"
12838631,"International",,,,"Asia","Pacific",,,,,,,,,,,69,,31,,,,,,,,,,14.6,"FCC",,,,11,80,"N"
12838765,"International",,,,"Asia","Pacific",,,,,,,,,,,45,,55,,,,,,,,,,14.6,"FCC",,,,11,80,"N"
12842867,"International",,,,"Asia","Pacific",,,,,,,,,,,55,,45,,,,,,,,,,13.2,"FCC",,"Aft",6,11,150,"N"
12845363,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,11,"FCC",,,6,9,100,"N"
12845497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,"FCC",,,6,9,100,"N"
12845655,"International",,,,,"Pacific",,,,,,,,,,,,69,31,,,,,,,,,,13.5,"FCC",,,6,,200,"N"
12846315,"International",,,,,"Atlantic/Pacific",10,0,,20,8,,18,,,,25,,18,1,,,,,,,,,24.1,"FCC",,"Three quarter aft",5,,703,"N"
12846449,"International",,,,"Europe","Atlantic",0,,,,0,45,,54,,,1,0,,,,,,,,,,,24.1,"FCC",,"Three quarter aft",5,,703,"N"
12846573,"International",,,,"Europe","Atlantic",,,,,0,48,,52,,,,,,,,,,,,,,,24.1,"FCC",,"Three quarter aft",5,,703,"N"
12846607,"International",,,,,"Atlantic",,,48,,13,3,,35,,,,,,,,,,,,,,,24.1,"FCC",,"Three quarter aft",5,,703,"N"
12846731,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,8.8,"Pontoon",24.1,"FCC",,"Three quarter aft",5,,703,"N"
12848151,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,11,"FCC",,,,,100,"N"
12849237,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,8.25,"FCC",,,6,,50,"N"
12849495,"International",,,,,"Atlantic",,,,,25,,,75,,,,,,,,,,,,,,,9.3,"FCC",,,,,102,"N"
12849529,"International",,,,,"Atlantic",,,,,72,28,,,,,,,,,,,,,,,,,9.5,"FCC",,,,,60,"N"
12850383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,"FCC",,"Aft",6,11,150,"N"
12850541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,"FCC",,"Aft",,,100,"N"
12850675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,"FCC",,"Aft",,,100,"N"
12861271,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,8.3,"FCC",,,3,7,23,"N"
12861989,"International",,,,"Asia","Pacific",,,,,,,,,,,66,,34,,,,,,,,,,24.3,"FCC",,"Three quarter aft",5,,442,"N"
12862065,"International",,,,"Asia","Pacific",,,,,,,,,,,75,,25,,,,,,,,,,24.3,"FCC",,"Three quarter aft",5,,442,"N"
12862807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"FCC",,"Aft",6,,400,"N"
12862931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"FCC",,"Aft",6,,400,"N"
12864227,"International",,,,"Asia","Pacific",,,,,,,,,,,99,,1,,,,,,,,,,10.5,"FCC",,"Forward",4,,60,"N"
12864351,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,10.5,"FCC",,"Forward",3,,60,"N"
12864935,"International",,,,,"Atlantic",,,38,,16,8,,38,,,,,,,,,,,,,,,21.4,"FCC",,,5,13,253,"N"
12866805,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,13.6,"FCC",,,,,42,"N"
12866939,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,13.5,"FCC",,"Aft",4,,100,"N"
12867015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,"FCC",,,,,150,"N"
12867565,"International",,,,,"Atlantic",,,67,,1,0,,32,,,,,,,,,,,,,,,16,"FCC",,"Aft",6,,170,"N"
12867699,"International",,,,,"Atlantic",,,95,,2,0,,4,,,,,,,,,,,,,,,16,"FCC",,"Aft",6,,170,"N"
12867723,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.3,"FCC",,,,,,"N"
12867857,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.3,"FCC",,,,,,"N"
12869569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,"FCC",,,,,152,"N"
12869693,"International",,,,,"Atlantic/Pacific",,,,,,,1,10,,47,15,18,9,,,,,,,,,,14.3,"FCC",,,,,200,"N"
12870581,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,7.8,"FCC",,,,,36,"N"
12871241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,"FCC",,,6,9,100,"N"
12871409,"Port-based","Jiangpu","China P.R.","East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,"Pontoon",11.1,"FCC",,,6,9,96,"N"
12871533,"International",,,,,"Pacific",,,,,,,89,,,,,11,,,,,,,,,,,13.5,"FCC",,"Aft",,,120,"N"
12872169,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,10.5,"FCC",,,,,50,"N"
12872293,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pontoon",11.1,"FCC",,,7,9,96,"N"
12872327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,"FCC",,,7,9,113,"N"
12873111,"International",,,,,"Pacific",,,,,,,2,,,98,,2,,,,,,,,,,,13.5,"FCC",,"Aft",7,10,200,"N"
12873537,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,16,"FCC",,,6,12,170,"N"
12873661,"International",,,,,"Atlantic",,,11,,1,33,,54,,,,,,,,,,,,,,,16,"FCC",,,6,12,170,"N"
