"Listing"

"WFR Listing"
"Created 16 February 2022 06:06"


"CVN","Hatches Total No","SOx Scrubber Details","NOx Detail","Main Engine LNG Capable","Alternative Fuel Type Ready","Dwt per TEU","Beta Deployment (Last 12 Months)","Beta Port (Last 12 Months)","Beta Country (Last 12 Months)","Beta Region (Last 12 Months)","Beta Global Zone Group (Last 12 Months)","West Coast N America Deployment (Time in Last 12 Months, %)","West Coast S America Deployment (Time in Last 12 Months, %)","East Coast N America Deployment (Time in Last 12 Months, %)","East Coast S America Deployment (Time in Last 12 Months, %)","West Coast Africa Deployment (Time in Last 12 Months, %)","UK/Cont Deployment (Time in Last 12 Months, %)","East Coast Africa Deployment (Time in Last 12 Months, %)","Med/Black Sea Deployment (Time in Last 12 Months, %)","Australasia Deployment (Time in Last 12 Months, %)","Middle East Deployment (Time in Last 12 Months, %)","East Asia Deployment (Time in Last 12 Months, %)","Indian Subcont Deployment (Time in Last 12 Months, %)","SE Asia Deployment (Time in Last 12 Months, %)","North Asia Deployment (Time in Last 12 Months, %)","Southern Ocean Deployment (Time in Last 12 Months, %)","Arctic Deployment (Time in Last 12 Months, %)","Aux Consumption at Ballast Speed (tpd)","Aux Consumption at Laden Speed (tpd)","Aux Consumption In Port - Idle (tpd)","Aux Consumption In Port - Working (tpd)","Aux Consumption In Port (tpd)","Aux Consumption at Service Speed (tpd)","Boiler Detail","Hatch Description","Emergency Engine Detail","Depth Moulded (m)","Group","Beam Ext (m)"
16226263,9,,,,,,"International",,,,"Asia",,,,,,,,,21,,47,,32,,,,,,,,,,"1 x Boiler, Composite - Osaka Boiler OVS2",,"1 x Emergency Diesel Gen. - Cummins Inc4-stroke  at 1,800rpm driving 1 x AC generator(s) at 200ekW total, (250kVA total) at 60Hz",24.7,"Bulk Carrier",47.56
16226276,9,,,,,,"International",,,,,,,,9,8,,13,,16,,28,,26,,,,,,,,,,"1 x Boiler, Composite - Osaka Boiler OVS2",,"1 x Emergency Diesel Gen. - Cummins Inc NT855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 254mkW total at 1,800rpm driving 1 x Cummins Inc AC generator(s) at 200ekW total, (250kVA total) at 60Hz",24.7,"Bulk Carrier",47.56
16226289,9,,,,,,"International",,,,"Asia",,,,,,,,,22,,42,,36,,,,,,,,,,"1 x Boiler, Composite - Osaka Boiler OVS2",,"1 x Emergency Diesel Gen. - Cummins Inc4-stroke  at 1,800rpm driving 1 x AC generator(s) at 200ekW total, (250kVA total) at 60Hz",24.7,"Bulk Carrier",47.56
16226292,9,,,,,,"International",,,,,,,,,7,,18,,10,,36,,29,,,,,,,,,,"1 x Boiler, Composite - Osaka Boiler OVS2",,"1 x Emergency Diesel Gen. - Cummins Inc NT855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 254mkW total at 1,800rpm driving 1 x Cummins Inc AC generator(s) at 200ekW total, (250kVA total) at 60Hz",24.7,"Bulk Carrier",47.56
16226300,9,,,,,,"International",,,,"Asia",,,,,,,,,21,,52,,27,,,,,,,,,,"1 x Boiler, Composite - Osaka Boiler OVS2",,"1 x Emergency Diesel Gen. - Cummins Inc NT855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 254mkW total at 1,800rpm driving 1 x Cummins Inc AC generator(s) at 200ekW total, (250kVA total) at 60Hz",24.7,"Bulk Carrier",47.56
16250550,9,,,,,,"International",,,,,,,3,6,12,6,10,1,8,6,25,3,21,,,,,,3,5.5,,,"1 x Boiler, Composite - Saacke","S",,24.8,"Bulk Carrier",45.05
16250563,9,,,,,,"International",,,,,,,12,2,8,29,0,19,6,5,2,4,8,,,6,,,3,5.5,,,"1 x Boiler, Composite - Saacke","S","1 x Emergency Diesel Gen. - Cummins Inc4-stroke  driving 1 x AC generator(s)",24.8,"Bulk Carrier",45.05
16254066,9,,,,,,"International",,,,,,,9,10,12,0,17,25,,2,12,2,11,,,,,,,,,,"1 x Boiler, Composite - Saacke","S","1 x Emergency Diesel Gen. - Cummins Inc4-stroke  driving 1 x generator(s)",24.8,"Bulk Carrier",45.05
16273320,9,,,,,,"International",,,,"Asia",,,,,1,,3,,21,,52,,27,,,,,,,,,,,"Side Rolling","1 x Emergency Diesel Gen. - Cummins Inc 6CT8.3-D(M) - 4-stroke 6-cyl. 114mm x 135mm bore/stroke 140mkW total at 1,800rpm driving 1 x Leroy Somer LSAM 44.2 - AC generator(s) at 125ekW total, (156.25kVA total) at 60Hz",24.8,"Bulk Carrier",45.04
16273346,9,,,,,,"International",,,,,,,4,6,22,9,17,,,,18,,24,,,,,,,,,,"3 x Boiler, Exhaust Heated - Kangrim, 1 x Boiler, Oil/Gas fired - Kangrim - ","Side Rolling","1 x Emergency Diesel Gen. - Cummins Inc 6CT8.3-D(M) - 4-stroke 6-cyl. 114mm x 135mm bore/stroke 140mkW total at 1,500rpm driving 1 x AC generator(s) at 50Hz",24.8,"Bulk Carrier",45.04
16273359,9,,,,,,"International",,,,"Asia",,,,,,,,,23,,44,,33,,,,,,,,,,"1 x Boiler, Oil/Gas fired - Kangrim - , 3 x Boiler, Exhaust Heated - Kangrim","Side Rolling","1 x Emergency Diesel Gen. - Cummins Inc 6CT8.3-D(M) - 4-stroke 6-cyl. 114mm x 135mm bore/stroke 140mkW total at 1,500rpm driving 1 x generator(s)",24.7,"Bulk Carrier",45.04
16264481,9,"1 x Exhaust Scrubber - SOx - Hyundai Materials",,,,,"International",,,,,8,9,,12,9,,21,,1,4,18,2,15,1,,,,,,,,,,"S","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s) at 220ekW total, (275kVA total)",24.9,"Bulk Carrier",45
16264494,9,"1 x Exhaust Scrubber - SOx - Hyundai Materials",,,,,"International",,,,,,,,3,7,,13,,13,4,25,10,24,,,,,,,,,,,"S","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s) at 220ekW total, (275kVA total)",24.9,"Bulk Carrier",45
16264399,9,"1 x Exhaust Scrubber - SOx - ContiOcean",,,,,"International",,,,,,,,5,11,,10,0,8,,35,,31,,,,,,,,,,,"S","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s) at 220ekW total, (275kVA total)",24.9,"Bulk Carrier",45
