"Listing"

"WFR Listing"
"Created 16 February 2022 05:00"


"CVN","Age Scrapped","Fleet Type","Bale Capacity (cu m)","Sister Vessel Code","Owner Size","Post Panamax (Ind)","Post Panamax Old Locks (Ind)","SOx Scrubber 1 Retrofit Indicator","Demo Buyer","Stock Exchange","Panama NT","Suez NT","P and I Club
","Air Draft From Keel","Last Hull Survey Date","EST Number (Energy Saving Technologies)","EST Detail (Energy Saving Technologies)","Hull Survey Due Date","Consumption (tpd)","Deballast Cap (cu m/h)","CGT","LBP (m)","Gear (Ind)","Log fitted (Ind)","ConBulk","Pool Operator","Manager","Manager Country/Region","Operator Group","Operator Nationality/Region","Eco-Speed - Ballast (knots)","Eco-Speed - Laden (knots)","Main Consumption at Laden Speed (tpd)","Main Consumption at Ballast Speed (tpd)","Main Consumption at Eco-Speed Ballast (tpd)","Main Consumption at Eco-Speed Laden (tpd)","Australia Fitted Ind","Builder Country/Region","Operator Country/Region"
16081381,,"Bulkers",68200,73142,"Medium (11-20)",,,,,,,,"American Club P&I",,"21-Oct-2021",,,"29-Jun-2026",30.1,,16558.78,185,"Y","N",,,"Huayang Maritime","China P.R.",,,,,,,,,"Y","China P.R."
16133673,,"Bulkers",105507,73432,"Medium (11-20)",,"Y",,,,,,"Skuld",48.6,"01-Feb-2020",,,"31-Jan-2025",,3235,21631.87,222.02,"N",,,,"Huayang Maritime","China P.R.",,,,,,,,,"Y","China P.R."
16152166,,"Bulkers",105507,73432,"Medium (11-20)",,"Y",,,,,,"Skuld",48.6,"17-Apr-2017",,,"20-Feb-2022",,3235,21611.76,222,"N",,,,"Universal Ship Mngt","China P.R.",,,,,,,,,"Y","China P.R."
16152137,,"Bulkers",105507,73432,"Medium (11-20)",,"Y",,,,,,"American Club P&I",48.6,"26-Jan-2021",,,"25-Nov-2025",,3235,21631.87,222,"N",,,,"Universal Ship Mngt","China P.R.",,,,,,,,,"Y","China P.R."
16068908,,"Bulkers",68200,72844,"Very Large (51-100)",,,,,,,,"The Swedish Club P&I",,"22-Jan-2020",,,"21-Jan-2025",30.1,,16559.40,185,"Y","N",,,"Ningbo Zrich","China P.R.",,,,,,,,,"Y","China P.R."
16068940,,"Bulkers",68200,72844,"Very Large (51-100)",,,,,,,,"West of England P&I",,"05-Jan-2021",,,"06-Jan-2026",,,16559.40,185,"Y","N",,,"Tosco Keymax","China P.R.","Fuzhou Haitong","China P.R.",,,,,,,"Y","China P.R.","China P.R."
16235773,,"Bulkers",,78200,"Small (6-10) ",,,,,,,,,,,,,,,,16060.89,197,"N",,,,"Nanjing Twin Rivers","China P.R.","Nanjing Jianghai","China P.R.",,,,,,,,"China P.R.","China P.R."
16235786,,"Bulkers",,78200,"Very Small (1-5) ",,,,,,,,,,,,,,,,16060.89,197,"N",,,,"Nanjing Jianghai","China P.R.","Nanjing Jianghai","China P.R.",,,,,,,,"China P.R.","China P.R."
16152003,,"Bulkers",68200,75557,"Medium (11-20)",,,,,,,,"West of England P&I",,"05-Apr-2020",,,"03-Mar-2025",,,16529.11,185,"Y","N",,,"Tosco Keymax","China P.R.","Fuzhou Haitong","China P.R.",,,,,,,"Y","China P.R.","China P.R."
16242292,,"Bulkers",,78365,"Large (21-50)",,,,,,,,,,,,,,,,15744.68,192,"N","N",,,"Tianjin Guodian","China P.R.","CHN Energy","China P.R.",,,,,,,,"China P.R.","China P.R."
16242300,,"Bulkers",,78365,"Large (21-50)",,,,,,,,,,,,,,,,15744.68,192,"N","N",,,"Tianjin Guodian","China P.R.","CHN Energy","China P.R.",,,,,,,,"China P.R.","China P.R."
16244391,,"Bulkers",,,"Large (21-50)",,,,,,,,,,,,,,,,15744.68,192,"N","N",,,"Tianjin Guodian","China P.R.","CHN Energy","China P.R.",,,,,,,,"China P.R.","China P.R."
16182471,,"Bulkers",68200,93737,"Large (21-50)",,,,,,,,"Skuld",46.1,"10-Jan-2017",,,"09-Apr-2022",,,16541.97,185,"Y","N",,,"Atlantis Gemi","Turkey","Densay Group","Turkey",,,,,,,"Y","China P.R.","U.A.E."
16182484,,"Bulkers",68200,93737,"Large (21-50)",,,,,,,,"Skuld",46.1,"30-Jul-2017",,,"29-Jul-2022",,,16541.97,185,"Y","N",,,"Atlantis Gemi","Turkey","Densay Group","Turkey",,,,,,,"Y","China P.R.","U.A.E."
16220261,,"Bulkers",45654,77799,"Small (6-10) ",,"N",,,,20185,23315,"Gard P&I",46.9,"09-Sep-2018",1,"1 x Propeller Duct - Becker Becker Mewis Duct®","07-Oct-2023",,1568,13710.06,176.75,"Y","N",,,"Ariston Navigation","Greece","Ariston Navigation","Greece",,,,,,,,"China P.R.","Greece"
16093092,,"Bulkers",105507,73432,"Large (21-50)",,"Y",,,,42124,48390,"The Swedish Club P&I",48.6,"11-Nov-2019",,,"17-Jan-2025",,3235,21611.76,222,"N",,,,"Sinotrans Ship Mgmt","Hong Kong","China Merchants","China P.R.",,,,,,,"Y","China P.R.","China P.R."
16228504,,"Bulkers",93680,77989,"Small (6-10) ",,"N",,,,,,"UK P&I Club",,"01-May-2018",,,"09-Apr-2023",34.7,,19712.76,225.5,"N",,,,"Qingdao Da Tong","China P.R.","Qingdao Da Tong","China P.R.",,,34.7,33,,,,"China P.R.","China P.R."
16228517,,"Bulkers",93680,77989,"Small (6-10) ",,"N",,,,,,"UK P&I Club",,"14-Mar-2018",,,"12-Mar-2023",34.7,,19712.76,225.5,"N",,,,"Qingdao Da Tong","China P.R.","Qingdao Da Tong","China P.R.",,,34.7,33,,,,"China P.R.","China P.R."
16182455,,"Bulkers",68162,93737,"Very Small (1-5) ",,,,,,27402,30641,"Steamship Mutual P&I",46.1,"10-Nov-2016",,,"05-Apr-2022",33.7,,16541.97,185,"Y","N",,"Supra8 Pool","Global Marine SM","Hong Kong","Navig8 Group","Singapore",12,11.5,33.7,33.5,25,25,"Y","China P.R.","Singapore"
16182468,,"Bulkers",68200,93737,"Medium (11-20)",,,,,,,,"Steamship Mutual P&I",46.1,"15-Feb-2017",,,"15-Apr-2022",,,16541.97,185,"Y","N",,"Supra8 Pool","Global Marine SM","Hong Kong","Navig8 Group","Singapore",,,,,,,"Y","China P.R.","Singapore"
16255876,,"Bulkers",,77429,"Medium (11-20)",,"N",,,,,,,,,,,,,,15744.68,192,"N","N",,,"Zhejiang Shpg Group","China P.R.","Zheshang Development","China P.R.",,,,,,,,"China P.R.","China P.R."
16207846,,"Bulkers",68200,77385,"Medium (11-20)",,"N",,,,,,"Skuld",46.1,"31-May-2017",,,"30-May-2022",34.2,,16541.97,185,"Y","N",,,"Zhehai Shipping","China P.R.","Zhongchang Marine","China P.R.",12,11,34.2,33.2,22,21.5,"Y","China P.R.","China P.R."
16209361,,"Bulkers",,77429,"Medium (11-20)",,"N",,,,,,,,,,,,,,15744.68,192,"N","N",,,"Zhejiang Shpg Group","China P.R.","Zheshang Development","China P.R.",,,,,,,,"China P.R.","China P.R."
16209374,,"Bulkers",,77429,"Medium (11-20)",,"N",,,,,,,,,,,,,,15744.68,192,"N","N",,,"Zhejiang Shpg Group","China P.R.","Zheshang Development","China P.R.",,,,,,,,"China P.R.","China P.R."
16188710,,"Bulkers",68200,73776,"Large (21-50)",,,,,,,,"The London P&I Club",,"21-Apr-2021",,,"15-May-2026",,,16536.46,185,"Y","N",,,"Guangdong Yudean","China P.R.","GEG","China P.R.",,,,,,,"Y","China P.R.","China P.R."
16109452,,"Bulkers",68200,73776,"Large (21-50)",,,,,,,,"The London P&I Club",,"10-Jan-2020",,,"08-Feb-2025",,,16518.71,185,"Y","N",,,"Guangdong Yudean","China P.R.","GEG","China P.R.",,,,,,,"Y","China P.R.","China P.R."
16109465,,"Bulkers",68200,73776,"Large (21-50)",,,,,,,,"The London P&I Club",,"18-Dec-2019",,,"17-Dec-2024",,,16518.71,185,"Y","N",,,"Guangdong Yudean","China P.R.","GEG","China P.R.",,,,,,,"Y","China P.R.","China P.R."
16109478,,"Bulkers",68200,73776,"Large (21-50)",,,,,,,,"The London P&I Club",,"22-Apr-2020",,,"25-Apr-2025",,,16518.71,185,"Y","N",,,"Guangdong Yudean","China P.R.","GEG","China P.R.",,,,,,,"Y","China P.R.","China P.R."
16109481,,"Bulkers",68200,73776,"Large (21-50)",,,,,,,,"The London P&I Club",,"08-Jun-2020",,,"21-Jun-2025",,,16518.71,185,"Y","N",,,"Guangdong Yudean","China P.R.","GEG","China P.R.",,,,,,,"Y","China P.R.","China P.R."
16109494,,"Bulkers",68200,73776,"Large (21-50)",,,,,,,,"UK P&I Club",,"04-Jul-2020",,,"17-Jul-2025",,,16510.44,185,"N","N",,,"Guangdong Yudean","China P.R.","GEG","China P.R.",,,,,,,"Y","China P.R.","China P.R."
16109502,,"Bulkers",68200,73776,"Large (21-50)",,,,,,,,"UK P&I Club",,"22-Sep-2020",,,"27-Sep-2025",,,16510.44,185,"N","N",,,"Guangdong Yudean","China P.R.","GEG","China P.R.",,,,,,,"Y","China P.R.","China P.R."
16109515,,"Bulkers",68200,73776,"Large (21-50)",,,,,,,,"The London P&I Club",,"13-Nov-2020",,,"01-Jan-2026",,,16536.46,185,"Y","N",,,"Guangdong Yudean","China P.R.","GEG","China P.R.",,,,,,,"Y","China P.R.","China P.R."
16109528,,"Bulkers",68200,73776,"Large (21-50)",,,,,,,,"The London P&I Club",,"16-Dec-2020",,,"25-Jan-2026",,,16536.46,185,"Y","N",,,"Guangdong Yudean","China P.R.","GEG","China P.R.",,,,,,,"Y","China P.R.","China P.R."
16179776,,"Bulkers",68200,78559,"Very Small (1-5) ",,,,,,,,"Steamship Mutual P&I",,"02-Dec-2021",,,"18-Jan-2027",,,16541.97,185,"Y","N",,,"Changzhou Changhai","China P.R.","Changzhou Changhai","China P.R.",,,23,,,,,"China P.R.","China P.R."
16179763,,"Bulkers",68200,78559,"Very Small (1-5) ",,,,,,,,"Steamship Mutual P&I",,"16-Dec-2021",,,"08-Sep-2026",,,16541.97,185,"Y","N",,,"Changzhou Dexin","China P.R.","Changzhou Dexin","China P.R.",,,,,,,,"China P.R.","China P.R."
16206449,,"Bulkers",68200,77343,"Very Small (1-5) ",,"N",,,,,,,,"04-Mar-2021",,,"04-Dec-2025",,,16558.78,185.01,"Y","N",,,"Changzhou Dexin","China P.R.","Changzhou Dexin","China P.R.",,,,,,,,"China P.R.","China P.R."
16130580,,"Bulkers",38849,72587,"Very Small (1-5) ",,"N",,,,,,"West of England P&I",,"11-Oct-2021",,,"15-May-2026",26.5,,12188.40,169.02,"Y","Y",,,"Harvey Shpmgmt","Hong Kong","Harvey Shpmgmt","Hong Kong",,,,,,,,"China P.R.","Hong Kong"
16130577,,"Bulkers",38849,72587,"Small (6-10) ",,"N",,,,,,"Skuld",,"07-Jan-2022",,,"24-Mar-2026",26.5,,12188.40,169.02,"Y","Y",,,"Thome Ship Mngt","Singapore","Pareto Business Mgmt","Norway",,,,,,,,"China P.R.","Norway"
16270987,,"Bulkers",,,"Small (6-10) ",,,,,,,,,,,,,,,,12969.77,176,"N","N",,,"Yangpuzhehai Shpg","China P.R.","Yangpuzhehai Shpg","China P.R.",,,,,,,,"China P.R.","China P.R."
16281712,,"Bulkers",,,"Small (6-10) ",,,,,,,,,,,,,,,,12985.85,176,"N","N",,,"Yangpuzhehai Shpg","China P.R.","Yangpuzhehai Shpg","China P.R.",,,,,,,,"China P.R.","China P.R."
16130593,,"Bulkers",38849,72587,"Medium (11-20)",,"N",,,,,,"Standard Club P&I",,"03-Sep-2016",,,"20-Feb-2022",26.5,,12188.40,169.02,"Y","Y",,"Norden Handysize","Vega Reederei","Germany","Norden A/S","Denmark",,,,,,,,"China P.R.","Denmark"
16060328,,"Bulkers",38849,72587,"Small (6-10) ",,"N",,,,,,"West of England P&I",,"22-Oct-2019",,,"17-Jan-2025",,,12188.03,168,"Y","Y",,,"COSCO Shpg Spec","China P.R.","China COSCO Shipping","China P.R.",,,,,,,,"China P.R.","China P.R."
16060344,,"Bulkers",24497,72587,"Small (6-10) ",,"N",,,,,,"West of England P&I",,"25-Jun-2020",,,"22-Jul-2025",,,12188.03,168,"Y","Y",,,"COSCO Far Reaching","China P.R.","China COSCO Shipping","China P.R.",,,,,,,,"China P.R.","China P.R."
