"Listing"

"WFR Listing"
"Created 16 February 2022 17:56"


"CVN","IMO Number","MMSI (Maritime Mobile Service Identity)","Type at Sale","Name at Sale","Dwt","Built","Builder","En. Bloc.","En. Bloc. No.","Sale Date","Currency","Price (Sale)","Buyers","Buyer Country/Region","Sellers","Seller Country/Region","Old Type","Demo Location","Year Rebuilt Convert","LDT","Demo $/LDT","Contract Date","Demo Date","Price (NB)","Currency (NB)","Gear (Ind)","Holds Total No","Hatches Total No","Strengthened for Ore","Grain Capacity (cu m)","Great Lakes Fitted","Great Lakes Only","Demo Buyer","Sale Teu Total Cap","Capacity (cu m)","Sale Dwt Tonnes","Sale Gt","Vessel Age At Sale"
16260238,9709221,538005690,"Bulk","Interlink Fidelity*",38792,2015,"Taizhou Kouan SB","#",6509.03,"26-Jan-2022",,,"Undisclosed interests","Unknown","Interlink Ltd","United States",,,,,,"08-Jul-2013",,,,"Y",5,5,,50500,,,,,,38792,25546,6
16260267,9709257,538005693,"Bulk","Interlink Tenacity*",38785,2016,"Taizhou Kouan SB","#",6509.04,"26-Jan-2022",,,"Undisclosed interests","Unknown","Interlink Ltd","United States",,,,,,"08-Jul-2013",,,,"Y",5,5,,50897,,,,,,38785,25546,5
16260296,9711743,538005696,"Bulk","Interlink Equality*",38781,2016,"Taizhou Kouan SB","#",6509.05,"26-Jan-2022",,,"Undisclosed interests","Unknown","Interlink Ltd","United States",,,,,,"08-Nov-2013",,,,"Y",5,5,,50897,,,,,,38781,25546,5
16260241,9709233,538005691,"Bulk","Interlink Mobility*",38767,2015,"Taizhou Kouan SB","#",6509.06,"26-Jan-2022",,,"Undisclosed interests","Unknown","Interlink Ltd","United States",,,,,,"08-Jul-2013",,,,"Y",5,5,,50500,,,,,,38767,25546,6
16260270,9709269,538005694,"Bulk","Interlink Veracity*",38763,2016,"Taizhou Kouan SB","#",6509.07,"26-Jan-2022",,,"Undisclosed interests","Unknown","Interlink Ltd","United States",,,,,,"08-Jul-2013",,,,"Y",5,5,,50897,,,,,,38763,25546,5
16260283,9711731,538005695,"Bulk","Interlink Capacity*",38835,2016,"Taizhou Kouan SB","#",6509.08,"26-Jan-2022",,,"Undisclosed interests","Unknown","Interlink Ltd","United States",,,,,,"08-Jul-2013",,,,"Y",5,5,,50897,,,,,,38835,25546,5
16278059,9714783,538005708,"Bulk","Interlink Quality*",38717,2016,"Huatai Hvy. Ind.","#",6509.09,"26-Jan-2022",,,"Undisclosed interests","Unknown","Interlink Ltd","United States",,,,,,"06-Jun-2013",,,,"Y",5,5,,50897,,,,,,38717,25546,5
16278062,9714795,538005709,"Bulk","Interlink Utility*",38706,2016,"Huatai Hvy. Ind.","#",6509.1,"26-Jan-2022",,,"Undisclosed interests","Unknown","Interlink Ltd","United States",,,,,,"01-Oct-2013",,,,"Y",5,5,,50897,,,,,,38706,25546,5
16278020,9714757,538005705,"Bulk","Interlink Ability*",38683,2015,"Huatai Hvy. Ind.","#",6509.11,"26-Jan-2022",,,"Undisclosed interests","Unknown","Interlink Ltd","United States",,,,,,"01-Oct-2013",,,,"Y",5,5,,50000,,,,,,38683,25546,6
16278046,9714771,538005707,"Bulk","Interlink Probity*",38635,2015,"Huatai Hvy. Ind.","#",6509.12,"26-Jan-2022",,,"Undisclosed interests","Unknown","Interlink Ltd","United States",,,,,,"06-Jun-2013",,,,"Y",5,5,,50897,,,,,,38635,25546,6
