"Listing"

"WFR Listing"
"Created 09 March 2022 19:53"


"CVN","Stock Exchange Ticker","Speed (knots)","Speed category","Great Lakes Fitted","Contract Date Ind","Builder Yard Location","Air Draft From Water Line (m)","Vessel Name Date","Ice Class (Ind)","Ice Notation","FEU Max In Holds","FEU Max On Deck","Deck Strength (sq m t)","Deck Cargo (Ind)","SOx Scrubber Indicator","BWMS Status","Pool Operator Country/Region","BWMS 1 Retrofit Date","BWMS Technology Type","Auxiliary Engine Detail","BWMS 2 Retrofit Date","Propulsor Detail","Maximum Speed (knots)","Total Cargo Decks No","Hatch Max Length (m)","Hatch Max Width (m)","Heavy Lift (Ind)","Hull Type","Reefer TEU Capacity","Decks No","Hatches Total No","SOx Scrubber Details","NOx Detail","Main Engine LNG Capable","Alternative Fuel Type Ready","Dwt per TEU","Aux Consumption at Ballast Speed (tpd)","Boiler Detail","Emergency Engine Detail"
12953585,"2603",18.7,"Service",,,"Nagasaki",,,"N",,,,,,,,,,,"1 x Aux. Diesel Gen. - Wartsila 4-stroke 6L20 - 4-stroke 6-cyl. 200mm x 280mm bore/stroke 1,110mkW total at 900rpm driving 1 x AC generator(s) at 60Hz",,"1 x CP Propeller (Aft Centre) (mechanical), 135rpm",,,,,,,400,,13,,,,,13.41,,"1 x Boiler, Oil/Gas fired - Osaka Boiler -  at 7.90 bar","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s) at 880ekW total, (1,100kVA total)"
12953619,"2603",18.7,"Service",,,"Nagasaki",,,"N",,,,,,,"Pending",,"17-Oct-2022","FILTRATION - ULTRAVIOLET","3 x Aux. Diesel Gen. - Wartsila 4-stroke 6L20 - 4-stroke 6-cyl. 200mm x 280mm bore/stroke 3,330mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x Propeller (Aft Centre) (mechanical), 135rpm",,,,,,,400,,13,,,,,13.41
12972449,,21,"Service",,,"Wismar",,"02-Jun-2021","Y","E",,,,,,,,,,"2 x Aux. Diesel Gen. - 4-stroke  driving 2 x AC generator(s) at 3,040ekW total, (3,800kVA total) 440V, 1 x Aux. Diesel Gen. - 4-stroke  driving 1 x AC generator(s) at 1,120ekW total, (1,400kVA total) 440V",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm",,,,,,,640,,,,,,,13.75,,"1 x Boiler, Composite - 530m2 at 9 bar","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s) at 176ekW total, (220kVA total) 440V"
12977365,,19.6,"Service",,,"Szczecin",,"01-Mar-2020","N",,,,,,,"Fitted",,"19-Aug-2021",,"3 x Aux. Diesel Gen. - Sulzer4-stroke 3,744mkW total at 900rpm driving 3 x AC generator(s)",,"1 x Propeller (Aft Centre) (mechanical), 135rpm",,,,,,,400,,9,,,,,13.36,,"1 x Boiler, Oil/Gas fired -  24 m2 at 9 bar, 1 x Boiler, Exhaust Heated - 335m2 at 9 bar","1 x Emergency Diesel Gen. - MAN Energy Solutions D2866E - 4-stroke 6-cyl. 128mm x 155mm bore/stroke 92mkW total at 1,500rpm driving 1 x AC generator(s) at 50Hz"
12977815,,14,"Service",,,"Szczecin",,"01-Jul-2021","N",,,,,,,"Pending",,"07-Jan-2023","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION","3 x Aux. Diesel Gen. - Sulzer 9S20 - 4-stroke 9-cyl. 200mm x 300mm bore/stroke 4,320mkW total at 1,000rpm driving 3 x ac generator(s)",,"1 x FP Propeller (Aft Centre) (mechanical), ABB, 113rpm",,,,,,,600,,9,,,,,13.31,,"1 x Boiler, Oil/Gas fired - Aalborg -  at 9 bar","1 x Emergency Diesel Gen. - MAN Energy Solutions D2866E - 4-stroke 6-cyl. 128mm x 155mm bore/stroke 92mkW total at 1,500rpm driving 1 x ac generator(s) at 50Hz"
12984413,,15.5,"Service",,,"Yangzhou",,"01-Oct-2012","Y","E",,,,,,,,,,,,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion",,,25.5,13.2,,,120,,3,,,,,10.98
12984547,"MATX",15.5,"Service",,,"Yangzhou",,"01-Sep-2017","Y","E",,,,"Y","Y","Fitted",,"19-Dec-2016","FILTRATION - ULTRAVIOLET","2 x Aux. Diesel Gen. - 4-stroke  driving 2 x AC generator(s) at 1,024ekW total, (1,280kVA total)",,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion, 169rpm",,1,25.5,13.2,"N",,120,1,3,"1 x Exhaust Scrubber - SOx",,,,11.04,,"1 x Boiler, Oil/Gas fired -  at 10 bar, 1 x Boiler, Exhaust Heated at 10 bar","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s) at 289ekW total, (362kVA total)"
12984671,,16,"Service",,,"Yangzhou",,"19-Oct-2012","Y","E",,,,,,,,,,,,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion",,,25.5,13.2,,,120,,3,,,,,11.08
13004749,,20,"Service",,,"Constanta",,"01-Oct-2021","Y","E",,,,,,"Pending",,"05-Oct-2022","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"1 x CP Propeller (Aft Centre) (mechanical)",,,,,,,400,,7,,,,,11.72
13006877,,19.6,"Service",,,"Szczecin",,"01-Feb-2020","N",,,,,,,"Fitted",,"22-Mar-2020",,"1 x Aux. Diesel Gen. - MAN Energy Solutions D2866E - 4-stroke 6-cyl. 128mm x 155mm bore/stroke 92mkW total at 1,500rpm driving 1 x AC generator(s) at 50Hz, 3 x Aux. Diesel Gen. - Sulzer4-stroke  driving 3 x AC generator(s)",,"1 x FP Propeller (Aft Centre) (mechanical), 113rpm",,,,,,,400,,9,,,,,13.25,,"1 x Boiler, Oil/Gas fired - Aalborg -  AQ-12, 1 x Boiler, Exhaust Heated - Aalborg AQ-7","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s)"
13006901,,19.6,"Service",,,"Szczecin",,"01-Apr-2016","N",,,,,,,,,,,,,"1 x FP Propeller (Aft Centre) (mechanical), 113rpm",,,,,,,400,,9,,,,,13.27
