"Listing"

"WFR Listing"
"Created 09 March 2022 20:02"


"CVN","Core Deployment Type (Last 12 Months)","Port Core Deployment (Last 12 Months)","Country Core Deployment (Last 12 Months)","Region Core Deployment (Last 12 Months)","Continent Core Deployment (Last 12 Months)","Atlantic/Pacific Deployment (Last 12 Months)","West Coast N America Deployment (Time in Last 12 Months, %)","West Coast S America Deployment (Time in Last 12 Months, %)","East Coast N America Deployment (Time in Last 12 Months, %)","East Coast S America Deployment (Time in Last 12 Months, %)","West Coast Africa Deployment (Time in Last 12 Months, %)","UK/Cont Deployment (Time in Last 12 Months, %)","East Coast Africa Deployment (Time in Last 12 Months, %)","Med/Black Sea Deployment (Time in Last 12 Months, %)","Australasia Deployment (Time in Last 12 Months, %)","Middle East Deployment (Time in Last 12 Months, %)","East Asia Deployment (Time in Last 12 Months, %)","Indian Subcont Deployment (Time in Last 12 Months, %)","SE Asia Deployment (Time in Last 12 Months, %)","North Asia Deployment (Time in Last 12 Months, %)","Southern Ocean Deployment (Time in Last 12 Months, %)","Arctic Deployment (Time in Last 12 Months, %)","Aux Consumption at Laden Speed (tpd)","Aux Consumption In Port - Idle (tpd)","Aux Consumption In Port - Working (tpd)","Aux Consumption In Port (tpd)","Aux Consumption at Service Speed (tpd)","Hatch Description","Depth Moulded (m)","Group","Beam Ext (m)","Bridge Position Ind","Max TEU Tiers on Deck","TEU Max Row Athwart","Reefer Plugs Total No","Twin Island (Ind)"
12953585,"International",,,,,"Atlantic/Pacific",,,,,,,0,61,,1,11,1,25,,,,,,,,,,13.3,"FCC",,,,,200,"N"
12953619,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,13.3,"FCC",,,,,200,"N"
12972449,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,15.7,"FCC",,,,,320,"N"
12977365,"International",,,,"Middle East/ISC","Pacific",,,,,,,,,,66,,34,,,,,,,,,,,13.5,"FCC",,,,,200,"N"
12977815,"International",,,,,"Pacific",,,,,,,55,,,42,,3,,,,,,,,,3.6,,13.5,"FCC",,,,,300,"N"
12984413,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,8.05,"FCC",,,,,60,"N"
12984547,"International",,,,,"Pacific",,5,,,,,,,13,,7,,76,,,,,,,,,,8.05,"FCC",,,,,60,"N"
12984671,"National",,"Philippines","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,8.05,"FCC",,,,,60,"N"
13004749,"International",,,,"Asia","Pacific",,,,,,,,,,,68,,32,,,,,,,,,,11.2,"FCC",,,,,200,"N"
13006877,"International",,,,,"Atlantic",,,,,55,16,,29,,2,,2,,,,,,,,,,,13.5,"FCC",,,,,200,"N"
13006901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,"FCC",,,,,200,"N"
13018425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,"FCC",,,,,200,"N"
13019477,"International",,,,,"Pacific",,,,,,,2,,,25,,58,14,,,,,,,,,,13.5,"FCC",,,7,,200,"N"
13025315,"International",,,,,"Pacific",,,,,,,,,,,,44,56,,,,,,,,,,14,"FCC",,,5,,100,"N"
13025449,"International",,,,,"Pacific",,,,,,,73,,,,4,2,21,,,,,,,,,,14,"FCC",,,,,100,"N"
13027577,"International",,,,"Asia","Pacific",,,,,,,,,,,94,,4,2,,,,,,,,,16.4,"FCC",,,8,,320,"N"
13027601,"International",,,,,"Pacific",,,,,,,59,1,,,,16,24,,,,,,,,,,16.4,"FCC",,,,,320,"N"
13028653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,"FCC",,,,,200,"N"
13029155,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,8.15,"FCC",,,,,20,"N"
13029289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15,"FCC",,,,,20,"N"
13030469,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,8.15,"FCC",,,,,20,"N"
13030885,"International",,,,"Asia","Pacific",,,,,,,,,,,95,,5,,,,,,,,,,14.2,"FCC",,,,,300,"N"
13030919,"International",,,,,"Pacific",,,,,,,,,,,40,23,37,,,,,,,,,,14.2,"FCC",,,,,300,"N"
13031095,"International",,,,,"Pacific",,,,,,,,,,6,3,7,84,,,,,,,,,,14.2,"FCC",,,,,300,"N"
13031129,"International",,,,"Asia","Pacific",,,,,,,,,,,59,3,41,,,,,,,,,,14.2,"FCC",,,,,296,"N"
13039125,"International",,,,,"Pacific",,,,,,,,2,,,15,76,6,,,,,,,,,,13.9,"FCC",,,,,206,"N"
13042691,"International",,,,,"Pacific",6,,,,,,4,,,,51,14,24,1,,,,,,,,,24.2,"FCC",,,,,562,"N"
13042725,"International",,,,,"Atlantic/Pacific",5,7,,18,9,,17,,,,20,,24,,,,,,,,,,24.2,"FCC",,"Three quarter aft",,,562,"N"
13042983,"International",,,,,"Pacific",,,,,,,,,29,3,46,2,20,,,,,,,,,,24.2,"FCC",,,,,562,"N"
13043069,"International",,,,,"Pacific",25,,,,,,,,5,3,51,3,7,6,,,,,,,,,24.2,"FCC",,,,,562,"N"
13043193,"International",,,,,"Pacific",20,14,,,,,5,,,6,33,6,14,3,,,,,,,,,24.2,"FCC",,,,,562,"N"
13043227,"International",,,,,"Pacific",,,,,,,,,,3,37,32,28,,,,,,,,,,24.2,"FCC",,,,,562,"N"
13043351,"International",,,,,"Pacific",,,,,,,,,,,31,31,37,,,,,,,,,,24.2,"FCC",,,,,562,"N"
13043801,"International",,,,"Asia","Pacific",,,,,,,,,,,97,,3,,,,,,,,,,11,"FCC",,,,,80,"N"
13043935,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,11,"FCC",,"Aft",,,80,"N"
13046431,"International",,,,,"Pacific",,,,,,,,,,16,1,14,70,,,,,,,,,,13.2,"FCC",,,,,196,"N"
13051619,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,11.2,"FCC",,,,,80,"N"
13055325,"International",,,,,"Atlantic",,,,,5,,,95,,,,,,,,,,,,,,,18.95,"FCC",,,,,302,"N"
13055459,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,18.95,"FCC",,,,,302,"N"
13057037,"International",,,,,"Pacific",,,,,,,,,,31,,16,54,,,,,,,2.5,,,11.3,"FCC",,,,,212,"N"
13059031,"International",,,,,"Pacific",,,,,,,4,,,54,,41,,,,,,,,,,,15.6,"FCC",,,,,422,"N"
13059165,"International",,,,,"Pacific",,,,,,,,,,47,2,38,13,,,,,,,,,,15.6,"FCC",,,,,422,"N"
13061713,"International",,,,"Asia","Pacific",,,,,,,,,,,66,,,34,,,,,,,,,16.8,"FCC",,,6,,350,"N"
13062923,"International",,,,"Asia","Pacific",,,,,,,,,,,74,,26,,,,,,,,,,16.4,"FCC",,,,,164,"N"
13063133,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,16.4,"FCC",,,,,164,"N"
13063267,"International",,,,"Asia","Pacific",,,,,,,,,,,77,,23,,,,,,,,,,14,"FCC",,,,,200,"N"
13063391,"International",,,,,"Pacific",,,,,,,,,,,6,20,74,,,,,,,,,,14,"FCC",,,,,200,"N"
13063425,"International",,,,"Asia","Pacific",,,,,,,,,,,84,,16,,,,,2.5,,,2.5,,16.4,"FCC",,,,,164,"N"
13064501,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,11.3,"FCC",,,,,232,"N"
13065003,"International",,,,,"Atlantic/Pacific",17,2,4,,7,1,5,6,,4,30,8,13,3,,,,,,,,,24.1,"FCC",,,,,817,"N"
13065137,"International",,,,,"Atlantic/Pacific",,,7,,2,25,1,14,9,17,7,12,6,,,,,,,,,,24.1,"FCC",,,,,703,"N"
13065261,"International",,,,,"Pacific",37,21,,,,,,,1,,31,,6,4,,,,,,,,,24.1,"FCC",,,,,703,"N"
13065687,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,11,"FCC",,,,,100,"N"
13068509,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,"Pontoon",11.5,"FCC",,"Aft",,,80,"N"
13068633,"International",,,,"Asia","Pacific",,,,,,,,,,,66,,34,,,,,,,,,"Pontoon",11.5,"FCC",,"Aft",,,80,"N"
13070281,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,18.95,"FCC",,,,,302,"N"
13077651,"International",,,,,"Pacific",,,,,,,,,,,0,50,50,,,,,,,,,,14,"FCC",,,,,100,"N"
13079497,"Port-based","Singapore","Singapore","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,14.9,"FCC",,,,,250,"N"
13079521,"International",,,,,"Atlantic/Pacific",,,,,66,1,,20,,13,,,,,,,,,,,,,14.9,"FCC",,,,,250,"N"
13079655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,"FCC",,,,,250,"N"
13083173,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,13.5,"FCC",,,,,100,"N"
13083881,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,14,"FCC",,,,,200,"N"
13092517,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,1,0,,99,,,,,,,,,,,,,,,13.9,"FCC",,,,,206,"N"
13092641,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,13.9,"FCC",,,,,206,"N"
13092775,"International",,,,"Asia","Pacific",,,,,,,,,,,41,,59,,,,,,,,,,13.9,"FCC",,,,,206,"N"
13092809,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,13.9,"FCC",,,,,206,"N"
13094779,"International",,,,"Europe","Atlantic",,,,,0,48,,51,,,,,,,,,,,,,,,21.4,"FCC",,,,,300,"N"
13094803,"International",,,,,"Atlantic/Pacific",,,15,18,10,,15,,11,4,12,6,9,,,,,,,,,,21.4,"FCC",,,,,300,"N"
13094937,"International",,,,"Europe","Atlantic",,,,,1,45,,55,,,,,,,,,,,,,,,21.4,"FCC",,,,,300,"N"
13096515,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,13.5,"FCC",,"Aft",5,,120,"N"
13096649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,"FCC",,,,,120,"N"
13101231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,"FCC",,,,,394,"N"
13101365,"International",,,,,"Pacific",,,,,,,0,,,68,11,9,12,,,,,,,,,,16.4,"FCC",,,,,394,"N"
13105497,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,11.7,"FCC",,,,,50,"N"
13106865,"International",,,,,"Atlantic/Pacific",,,6,,4,7,1,7,3,9,32,12,18,,,,,,,,,,24.2,"FCC",,"Three quarter aft",,,562,"N"
13112545,"International",,,,,"Pacific",,,,,,,54,,,13,,6,27,,,,,,,,,,14,"FCC",,,,,100,"N"
13112703,"Regional",,,"Middle East","Middle East/ISC","Pacific",,,,,,,,,,100,,,,,,,,,,,,,6.17,"FCC",,,,,60,"N"
