model,class_name,r2,mse,mae,mape,params
gb,GradientBoostingRegressor,0.9664025486075157,2.703092297518924e-05,0.0039012542127736475,0.043805069991951356,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
cb,CatBoostRegressor,0.9468659235275472,4.274916902792157e-05,0.005006251930569404,0.056354285200200555,{'verbose': 0}
rf,RandomForestRegressor,0.9411393830028645,4.735647313645952e-05,0.005287219220591036,0.05835107303853654,"{'max_depth': 10, 'n_estimators': 200}"
ridge,Ridge,0.7905812540318705,0.0001684884346046424,0.009463476429931745,0.10479970825860253,{'alpha': 0.01}
linear,LinearRegression,0.7905812499605407,0.00016848843788024213,0.009463566198932809,0.10480017083675428,{}
lasso,Lasso,0.6067640241128516,0.00031637909825674203,0.013281472988267314,0.15318490029125703,{'alpha': 0.01}
