model,class_name,r2,rmse,mae,mape,params
gb,GradientBoostingRegressor,0.9888144751318619,3.263501051371966e-05,0.004229780615553892,0.04537507988599506,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
linear,LinearRegression,0.3328876541347334,0.0019463743255500126,0.01295801284023697,0.12665901373580465,{}
ridge,Ridge,0.332826270393479,0.0019465534194293634,0.01295519376482691,0.12662403320465807,{'alpha': 0.01}
lasso,Lasso,0.2086939598808487,0.0023087232153422422,0.015119289191340148,0.150277088079694,{'alpha': 0.01}
