model,class_name,r2,rmse,mae,mape,params
gb,GradientBoostingRegressor,0.7229385210831853,0.000808357621478522,0.00800461247663641,0.07938631862651196,"{'learning_rate': 0.01, 'max_depth': 4}"
linear,LinearRegression,0.37199445904422923,0.0018322758809598283,0.013083831596540177,0.1294301797656154,{}
ridge,Ridge,0.30599541752122306,0.0020248354111910864,0.011699826730142558,0.11307513510788024,{'alpha': 1000}
lasso,Lasso,0.2604873131370352,0.002157610357610265,0.012797515681645895,0.12526091449124843,{'alpha': 0.005}
