model,class_name,r2,rmse,mae,mape,params
gb,GradientBoostingRegressor,0.596671125621318,0.0011767567647476898,0.008188484946975789,0.07865188501018129,"{'learning_rate': 0.005, 'max_depth': 6}"
linear,LinearRegression,0.3328876541347334,0.0019463743255500126,0.01295801284023697,0.12665901373580465,{}
ridge,Ridge,0.27808869124039415,0.0021062563830555876,0.011827193456539235,0.1141203262636338,{'alpha': 1000}
lasso,Lasso,0.25606867065076955,0.002170502237579743,0.012822993778548473,0.12476201157225277,{'alpha': 0.005}
