set,cubic_meter_count,cubic_meter_mean,cubic_meter_std,Dwt_count,Dwt_mean,Dwt_std,speed_mean_count,speed_mean_mean,speed_mean_std,HP.Total.Propulsion_count,HP.Total.Propulsion_mean,HP.Total.Propulsion_std,Depth.Moulded..m._count,Depth.Moulded..m._mean,Depth.Moulded..m._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,LDT_count,LDT_mean,LDT_std,t_over_t_ref_without_m_sum_count,t_over_t_ref_without_m_sum_mean,t_over_t_ref_without_m_sum_std,NT_count,NT_mean,NT_std,LOA..m._count,LOA..m._mean,LOA..m._std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,GT_count,GT_mean,GT_std
Test,996,121105.8097832279,55626.8628176634,996,65092.46787148595,44534.40953691856,996,6.644223363884625,1.700835408154465,996,12803.536144578313,4871.638634445489,996,17.58550200803213,3.4855597373173874,996,9418.711847389559,3588.6314800769364,996,31.84001004016064,5.873931978183032,217,10933.47004608295,5707.462469683757,996,2273.640507693633,1624.3905614950866,996,21566.947791164657,14489.827173950007,996,203.71171686746987,38.245831712502515,663,2407.0491402714933,1223.5520782647536,996,36535.06827309237,21937.46869337302
Training,1704,121730.36412108393,71910.1341945949,1704,62627.724178403754,41401.10765454366,1704,6.655870896071791,1.5666620351048357,1704,12556.045774647888,4596.855453092177,1704,17.431461267605634,3.369665625074012,1704,9233.899061032864,3383.7510709017624,1704,31.527394366197182,5.605272381248689,342,10832.459064327486,5240.37422689533,1704,2318.11264383822,1714.5100971979377,1701,20762.44032921811,13539.16246973492,1704,202.00036384976525,36.05517213823886,1161,2352.6406115417744,1135.7571189789817,1704,35330.22711267605,20324.149717254197
