"variable","name","type","group","in_calc","source","calc_type","definition","description","unit","unit.abbr"
"Stock.Exchange",,,"characteristic","no","WFR","raw",,,,
"Panama.NT",,,"characteristic","no","WFR","raw",,,,
"Suez.NT",,,"characteristic","no","WFR","raw",,,,
"P.and.I.Club.",,,"characteristic","no","WFR","raw",,,,
"Air.Draft.From.Keel",,,"characteristic","no","WFR","raw",,,,
"Last.Hull.Survey.Date",,,"characteristic","no","WFR","raw",,,,
"EST.Number..Energy.Saving.Technologies.",,,"characteristic","no","WFR","raw",,,,
"EST.Detail..Energy.Saving.Technologies.",,,"characteristic","no","WFR","raw",,,,
"Hull.Survey.Due.Date",,,"characteristic","no","WFR","raw",,,,
"Consumption..tpd.",,,"characteristic","no","WFR","raw",,,,
"Deballast.Cap..cu.m.h.",,,"characteristic","no","WFR","raw",,,,
"CGT",,,"characteristic","no","WFR","raw",,,,
"LBP..m.","Length between perpendiculars","numnonneg","characteristic","no","WFR","raw",,"Length between the forward and aft perpendiculars","meters","m"
"Gear..Ind.",,,"characteristic","no","WFR","raw",,,,
"Log.fitted..Ind.",,,"characteristic","no","WFR","raw",,,,
"ConBulk",,,"characteristic","no","WFR","raw",,,,
"Pool.Operator",,,"characteristic","no","WFR","raw",,,,
"Manager",,,"characteristic","no","WFR","raw",,,,
"Manager.Country.Region",,,"characteristic","no","WFR","raw",,,,
"Operator.Group",,,"characteristic","no","WFR","raw",,,,
"Operator.Nationality.Region",,,"characteristic","no","WFR","raw",,,,
"Eco.Speed...Ballast..knots.",,,"characteristic","indirectly","WFR","raw",,,,
"Eco.Speed...Laden..knots.",,,"characteristic","indirectly","WFR","raw",,,,
"Main.Consumption.at.Laden.Speed..tpd.",,,"characteristic","no","WFR","raw",,,,
"Main.Consumption.at.Ballast.Speed..tpd.",,,"characteristic","no","WFR","raw",,,,
"Main.Consumption.at.Eco.Speed.Ballast..tpd.",,,"characteristic","no","WFR","raw",,,,
"Main.Consumption.at.Eco.Speed.Laden..tpd.",,,"characteristic","no","WFR","raw",,,,
"Australia.Fitted.Ind",,,"characteristic","no","WFR","raw",,,,
"Builder.Country.Region",,,"characteristic","no","WFR","raw",,,,
"Operator.Country.Region",,,"characteristic","no","WFR","raw",,,,
