,_key_left,_key_right
0,0,4207
1,0,4163
2,0,4164
3,0,4206
4,0,4171
5,0,4191
6,0,4205
7,0,4199
8,0,4202
9,0,4201
10,0,4192
11,0,4195
12,0,4170
13,0,4182
14,0,4187
15,0,4178
16,0,4184
17,0,4188
18,0,4169
19,0,4177
20,0,4168
21,0,4172
22,0,4167
23,0,4176
24,0,4179
25,0,4180
26,0,4193
27,0,4203
28,0,4183
29,0,4186
30,0,4200
31,0,4166
32,0,4190
33,0,4198
34,0,4194
35,0,4196
36,0,4185
37,0,4204
38,0,4181
39,0,4174
40,0,4165
41,0,4175
42,0,4197
43,0,4173
44,0,5800
45,0,5801
46,0,5802
47,0,5803
48,0,5804
49,0,5805
50,0,5806
51,0,5807
52,0,5808
53,0,5809
54,0,5810
55,0,5811
56,0,6878
57,0,6855
58,0,6856
59,0,6854
60,0,6857
61,0,6863
62,0,6853
63,0,6864
64,0,6875
65,0,6868
66,0,6877
67,0,6874
68,0,6870
69,0,6858
70,0,6869
71,0,6847
72,0,6873
73,0,6848
74,0,6859
75,0,6862
76,0,6872
77,0,6851
78,0,6876
79,0,6865
80,0,6849
81,0,6852
82,0,6860
83,0,6850
84,0,6871
85,0,6861
86,0,6867
87,0,6866
88,0,6846
89,0,6838
90,0,6839
91,0,6840
92,0,6841
93,0,6837
94,0,6844
95,0,6842
96,0,6843
97,0,6845
98,0,8934
99,0,8335
100,0,8933
101,0,8932
102,0,8928
103,0,8925
104,0,8924
105,0,8923
106,0,8345
107,0,8346
108,0,8350
109,0,8351
110,0,8352
111,0,8921
112,0,8353
113,0,8920
114,0,8354
115,0,8919
116,0,8355
117,0,8918
118,0,8356
119,0,8917
120,0,8916
121,0,8357
122,0,8915
123,0,8358
124,0,8914
125,0,8359
126,0,8913
127,0,8360
128,0,8361
129,0,8912
130,0,8362
131,0,8911
132,0,8363
133,0,8910
134,0,6055
135,0,6132
136,0,6056
137,0,6057
138,0,6058
139,0,6131
140,0,6059
141,0,6060
142,0,6061
143,0,6062
144,0,6063
145,0,6064
146,0,6068
147,0,6067
148,0,6069
