model,class_name,r2,corr,mse,mae,mape,params
gb,GradientBoostingRegressor,0.9984709887833061,0.9992397860436071,0.0007703261489386646,0.02095802988854979,0.0030584947276004826,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
linear,LinearRegression,0.9685613597980053,0.9841551502674792,0.01583899867460463,0.09464033733114045,0.013974623416219318,{}
ridge,Ridge,0.9685612016378946,0.984155069969361,0.015839078356733604,0.0946312834414448,0.013973387816631168,{'alpha': 0.01}
lasso,Lasso,0.9661895034217952,0.983146235563382,0.017033955891512496,0.09916872083667153,0.01463503042680076,{'alpha': 0.01}
