model,class_name,r2,corr,mse,mae,mape,params
gb,GradientBoostingRegressor,0.991290418619317,0.9956641743376357,0.004387945759061375,0.048091406207560326,0.007131918650665303,"{'learning_rate': 0.01, 'max_depth': 6}"
linear,LinearRegression,0.9685613597980053,0.9841551502674792,0.01583899867460463,0.09464033733114045,0.013974623416219318,{}
ridge,Ridge,0.9683870083147575,0.9840666371725342,0.015926838126130903,0.09462998959131831,0.013974083097483074,{'alpha': 1}
lasso,Lasso,0.9674095482554366,0.9836223569813285,0.016419289087260022,0.09720588405569584,0.014351655808727238,{'alpha': 0.005}
