mmsi,year,distance
209384000,2021,70121.16184329987
209388000,2019,63830.77710184455
209388000,2020,67465.52454151958
209388000,2021,66984.69993105531
209390000,2019,75827.4835693594
209390000,2020,62413.1877027899
209390000,2021,58280.179795973
209393000,2019,48134.612204514444
209393000,2020,44390.790589258075
209393000,2021,39378.35803824663
209411000,2019,73381.07912686467
209411000,2020,68807.09876561165
209411000,2021,65432.80145200342
209429000,2019,66010.75065169856
209429000,2020,74893.60806489736
209429000,2021,74959.41854433529
209430000,2019,66795.95919620991
209430000,2020,58994.80128404498
209430000,2021,55033.15969219804
209438000,2019,46111.793501637876
209438000,2020,67536.91532040387
209438000,2021,66544.80941787362
209443000,2019,5334.155721694231
209443000,2020,1917.947268486023
209443000,2021,59023.41530919075
209447000,2019,60390.185312241316
209447000,2020,68874.55704155564
209447000,2021,68185.5534626022
209485000,2019,56079.24823093414
209485000,2020,52892.25738373399
209485000,2021,47992.573124818504
209514000,2019,67647.72200665623
209514000,2020,60065.976539067924
209514000,2021,74571.6015496552
209538000,2019,39073.62813213095
209538000,2020,70450.94656213373
209538000,2021,67779.21225423366
209596000,2019,75591.91359116137
209596000,2020,66996.47548909485
209596000,2021,69928.6198364459
209605000,2019,35031.818774193525
209605000,2020,59912.62833708525
209605000,2021,60231.07613056153
209607000,2019,29994.176315188408
209607000,2020,63979.586536347866
209607000,2021,69887.61527107656
209623000,2019,33962.732715792954
209623000,2020,63232.25411019847
209623000,2021,76296.87523176521
209669000,2019,26272.746099308133
209669000,2020,71269.99015448615
209669000,2021,69841.7090738304
209677000,2019,9675.962719783187
209677000,2020,69205.43144840002
209677000,2021,53937.18794428557
209682000,2019,6103.982151716948
209682000,2020,66164.04800316691
209682000,2021,75817.98309343308
209687000,2019,18606.603939205408
209687000,2020,55453.761625576764
209687000,2021,69819.49843134731
209690000,2019,595.780325114727
209690000,2020,68305.0968118012
209690000,2021,71590.97819734365
209691000,2020,45294.16734829545
209691000,2021,65808.7257488668
209694000,2019,20725.32615530491
209694000,2020,74559.332524091
209694000,2021,80697.99261969328
209721000,2019,63493.54155012965
209721000,2020,53857.3090467751
209721000,2021,66429.60106571764
209722000,2019,56844.12180158496
209722000,2020,57991.88879734278
209722000,2021,56881.07620677352
209723000,2019,51754.8661820218
209723000,2020,62934.34599452838
209723000,2021,47700.43348764442
209736000,2019,5667.181259512901
209736000,2020,54230.87359769642
209736000,2021,67742.41221889853
209738000,2019,67989.96445690095
209738000,2020,65020.92559521645
209738000,2021,63557.4740925245
209748000,2019,67417.80308043957
209748000,2020,25776.54348714277
209748000,2021,31270.655129611492
209753000,2019,3899.5646412968636
209753000,2020,59383.97859236598
209753000,2021,60757.27568140626
209755000,2019,73521.87279638648
209755000,2020,56433.03147262335
209755000,2021,53976.35478906892
209756000,2019,52913.3462953195
209756000,2020,68225.46156992018
209756000,2021,51258.77090001106
209765000,2019,48071.63880048692
209765000,2020,51231.49311506376
209765000,2021,62723.09461859614
209766000,2019,9751.82250019908
209766000,2020,56610.11174185574
209766000,2021,39994.688867747784
209782000,2019,66932.74375554174
209782000,2020,73257.50562682748
209782000,2021,50986.80308440328
209783000,2019,54885.303170859814
209783000,2020,58473.65952093899
209783000,2021,65544.20795997977
209785000,2019,66689.08534273133
209785000,2020,67654.89917849004
209785000,2021,67986.61126106977
209786000,2019,64671.24988621473
209786000,2020,43493.65060634911
209786000,2021,69869.09800739586
209799000,2019,78964.50598391518
209799000,2020,73523.37253297865
209799000,2021,73752.37402287126
209811000,2019,72750.4134426862
209811000,2020,54539.917342081666
209811000,2021,45765.44392953813
209854000,2019,67932.41255649552
209854000,2020,67023.89951427281
209854000,2021,55427.770106107
209859000,2019,258.2282472848892
209859000,2020,72736.59001903981
209859000,2021,77456.45894746482
209870000,2019,66458.96867167205
209870000,2020,71661.72640930861
209870000,2021,64740.36623561382
209877000,2020,43679.30927889049
209877000,2021,70597.50589519739
209889000,2019,62684.01606080681
209889000,2020,56784.57168211043
209889000,2021,71337.93549840152
209919000,2019,64891.63932207227
209919000,2020,66278.10229599476
209919000,2021,66701.83197565377
209927000,2019,61138.20897316933
209927000,2020,57992.00560543686
209927000,2021,48416.62221529335
209933000,2019,51594.089483793825
209933000,2020,44769.03788334131
209933000,2021,59560.519015073776
209941000,2019,56597.6615056172
209941000,2020,68529.80003321171
209941000,2021,55505.96057137847
209961000,2020,22066.8258741796
209961000,2021,71360.02612597495
209964000,2020,28687.412132693455
209964000,2021,51034.42528599501
209995000,2019,58697.53769427538
209995000,2020,33488.82471400499
209995000,2021,54699.07486513257
210005000,2021,72265.1122316271
210007000,2019,37736.37329638004
210007000,2020,53521.902983784676
210007000,2021,49365.21852920577
210014000,2019,41777.188192754984
210014000,2020,58052.14911720157
210014000,2021,52922.23913779855
210015000,2019,51250.275467932224
210015000,2020,64452.19274997711
210015000,2021,51315.712110206485
210019000,2021,58781.67505580187
210025000,2021,55868.34531891346
210029000,2019,51405.95527793467
210029000,2020,64274.23895689845
210029000,2021,51957.77075562626
210039000,2020,14062.489517331123
210039000,2021,62559.425777472556
210043000,2019,78807.46414308995
210043000,2020,76511.66841228306
210043000,2021,60101.256225161254
210054000,2019,61889.69825527072
210054000,2020,51224.27706284076
210054000,2021,41843.56708103418
210059000,2019,44869.92364709079
210059000,2020,31920.453744456172
210059000,2021,49498.15080548078
210066000,2019,69030.42069463618
210066000,2020,69613.50158509612
210066000,2021,70638.7257368099
210073000,2019,64705.26882288605
210073000,2020,61940.85703907162
210073000,2021,63294.31139238179
210083000,2019,66004.69886296988
210083000,2020,53004.327191993594
210083000,2021,74410.67606569827
210091000,2019,54888.16156873107
210091000,2020,69742.2749736458
210091000,2021,51845.2166627422
210093000,2019,62254.543885201216
210093000,2020,68743.59309178591
210093000,2021,67112.29210306704
210102000,2019,67999.25218930095
210102000,2020,69658.08625147492
210102000,2021,71639.2602581568
210115000,2019,36167.02628199756
210115000,2020,39627.020725131035
210115000,2021,50505.48435334861
210136000,2019,68092.70699957758
210136000,2020,71562.04168192297
210136000,2021,59460.70669616759
210185000,2019,48938.607642650604
210185000,2020,51500.16308871657
210185000,2021,39863.797916807234
210188000,2021,39836.19584789872
210212000,2019,57912.1535923481
210212000,2020,62494.05888439715
210212000,2021,61630.01201707125
210214000,2019,70369.38340156153
210214000,2020,62248.895446419716
210214000,2021,73138.40790860355
210226000,2019,66311.20953903161
210226000,2020,72493.00048865378
210226000,2021,74594.61338764057
210233000,2019,64184.10807709396
210233000,2020,68008.30969417095
210233000,2021,68694.86008183658
210234000,2019,28721.635224699974
210234000,2020,45300.72891870886
210234000,2021,38831.54508318007
210238000,2021,31124.956964693964
210239000,2019,56586.9364567101
210239000,2020,61161.66805650294
210239000,2021,53338.15527303517
210257000,2021,20870.285570710897
210261000,2019,64346.93709947169
210261000,2020,52665.358865477145
210261000,2021,59419.952094987035
210266000,2021,32871.290835767984
210274000,2019,61863.79297385365
210274000,2020,55366.38341897726
210274000,2021,51077.94629941881
210302000,2019,64614.0509686023
210302000,2020,76408.36482688785
210302000,2021,61801.847135812044
210322000,2021,13191.238935232162
210335000,2021,6843.53873501718
210347000,2019,33895.20893258229
210347000,2020,42097.668384730816
210347000,2021,36850.880648069084
210349000,2019,62507.740211132914
210349000,2020,63293.75984983891
210349000,2021,54529.345590263605
210354000,2021,2267.0227264761925
210355000,2021,4703.910561442375
210358000,2021,8780.28738617897
210363000,2019,72183.85677724332
210363000,2020,72290.47880334035
210363000,2021,69663.29092280567
210364000,2019,61474.14455105364
210364000,2020,70281.36244874075
210364000,2021,74403.66313063353
210376000,2019,32525.079871490598
210376000,2020,45538.422233223915
210376000,2021,63685.68728244305
210377000,2019,55640.378460250795
210377000,2020,57339.1756439507
210377000,2021,54645.41434007883
210464000,2019,56180.071979340166
210464000,2020,61722.26838347316
210464000,2021,32608.737837657332
210509000,2019,53417.1112460345
210509000,2020,52896.13882008195
210509000,2021,50776.68236976862
210528000,2019,56058.597122237086
210528000,2020,57390.131610140204
210528000,2021,59163.39398533106
210531000,2019,72485.81338632107
210531000,2020,62737.17070826888
210531000,2021,60453.409519821405
210558000,2019,47045.65434387326
210558000,2020,59813.290627762675
210558000,2021,40242.42165493965
210560000,2019,49338.8599931784
210560000,2020,62836.00605721027
210560000,2021,40436.05745205283
210581000,2019,64006.71758407354
210581000,2020,78623.50230555236
210581000,2021,66777.94950414076
210614000,2019,64446.41283111274
210614000,2020,75854.7320188731
210614000,2021,73092.16318645328
210615000,2019,54797.860097140074
210615000,2020,67158.92771884054
210615000,2021,64202.52951358259
210616000,2019,74542.7068710234
210616000,2020,67743.67388309538
210616000,2021,78944.9184822347
210622000,2019,57739.77305215597
210622000,2020,47214.65342140198
210622000,2021,51248.25587415323
210655000,2019,59597.42318096012
210655000,2020,61863.19544439763
210655000,2021,62494.94663594663
210684000,2019,45777.69352593273
210684000,2020,40358.76262940094
210684000,2021,47196.64334606379
210698000,2019,55412.57217781246
210698000,2020,47561.996445953846
210698000,2021,29203.764287754893
210702000,2019,72127.4512188062
210702000,2020,70450.83387130499
210702000,2021,62268.43632196635
210718000,2019,60509.30334816128
210718000,2020,66330.61783580482
210718000,2021,69040.87513113767
210725000,2019,66197.5979337506
210725000,2020,55235.67055102438
210725000,2021,65310.98678598553
210730000,2019,81180.08068745211
210730000,2020,81466.04891569912
210730000,2021,78054.12831312418
210737000,2019,72796.55312265456
210737000,2020,66715.4169050008
210737000,2021,54774.07832673937
210761000,2019,66295.21937825158
210761000,2020,66209.76943873987
210761000,2021,50213.55347087234
210763000,2019,50521.37694156915
210763000,2020,59069.936885759234
210763000,2021,72964.25548741221
210764000,2019,43831.567919552326
210764000,2020,56494.932770222425
210764000,2021,58170.67870110273
210767000,2019,71158.67271086574
210767000,2020,55074.106421135366
210767000,2021,50820.466680683196
210777000,2019,37136.63304610271
210777000,2020,33354.274893566966
210777000,2021,49894.6906709075
210786000,2019,22449.863822579384
210786000,2020,122.9989242553711
210786000,2021,142.73376488685608
210813000,2019,57253.92445901781
210813000,2020,53743.10913942754
210813000,2021,50260.209243923426
210842000,2019,75968.71408031881
210842000,2020,73191.21416543424
210842000,2021,71040.36720970832
210872000,2019,65480.265230510384
210872000,2020,61610.163822337985
210872000,2021,69119.19077113271
210875000,2019,57542.29355810583
210875000,2020,60043.44714716077
210875000,2021,58827.809884538874
210886000,2019,69465.96231048927
210886000,2020,65058.04481588304
210886000,2021,60855.09334282577
210895000,2019,51468.93196849525
210895000,2020,44959.97675328329
210895000,2021,47478.99808715284
210911000,2019,63452.5271547772
210911000,2020,74358.0286898911
210911000,2021,69563.25719088316
210930000,2019,50692.852944761515
210930000,2020,62342.92952145636
210930000,2021,51449.26313454658
210933000,2019,77769.25583919883
210933000,2020,66799.73200842738
210933000,2021,69741.79690179229
210934000,2019,79438.80837804452
210934000,2020,75843.85930240154
210934000,2021,71582.1324371174
210943000,2019,51360.75451640785
210943000,2020,43523.4739305675
210943000,2021,62644.92996805906
210944000,2019,64499.98717748374
210944000,2020,62811.519713148475
210944000,2021,70116.98356312513
210953000,2019,44697.31953767687
210953000,2020,56498.732818722725
210953000,2021,58312.93993823975
210960000,2019,66247.76077077538
210960000,2020,76255.2045148164
210960000,2021,66213.35764285922
210970000,2019,58820.9487597011
210970000,2020,65841.58829192817
210970000,2021,54763.65575256944
210982000,2019,68790.19764705002
210982000,2020,66995.09542928264
210982000,2021,47123.928307358176
211834380,2021,12630.363602757454
212026000,2019,44541.19639188051
212026000,2020,54875.86320157349
212026000,2021,44056.3106738925
212040000,2019,29742.848932921886
212040000,2020,37890.61768890917
212040000,2021,38314.51031033695
212049000,2019,38916.725709516555
212049000,2020,51464.894143529236
212049000,2021,53456.630257710814
212054000,2019,42474.00724424608
212054000,2020,67581.45172858238
212054000,2021,75360.95277122222
212058000,2019,58402.063951805234
212058000,2020,59353.60772314668
212058000,2021,49161.96846195683
212060000,2019,65254.1727296412
212060000,2020,55529.05990459025
212060000,2021,54152.93833386898
212089000,2019,52097.37724947184
212089000,2020,52421.170803025365
212089000,2021,41533.26834359765
212091000,2019,64345.68956169486
212091000,2020,48064.576632935554
212091000,2021,68744.37991771102
212093000,2019,53552.13507544994
212093000,2020,60808.23337864876
212093000,2021,59594.560759201646
212122000,2019,63169.54590489715
212122000,2020,55466.517118148506
212122000,2021,47868.79986998439
212125000,2019,34172.786316774786
212125000,2020,36568.00169815868
212125000,2021,36977.33467942476
212131000,2019,75776.92419958115
212131000,2020,67007.13546347618
212131000,2021,71596.7058217153
212139000,2019,50122.64437918365
212139000,2020,79556.13182347268
212139000,2021,50795.08337673545
212167000,2019,50277.863543069456
212167000,2020,50547.03536139242
212167000,2021,53009.26282015443
212180000,2019,64357.24635080993
212180000,2020,75001.01648223773
212180000,2021,83128.25423116982
212210000,2019,49140.81965097785
212210000,2020,53187.76817607507
212210000,2021,54557.21876227856
212215000,2019,52274.91253095865
212215000,2020,43785.37630684674
212215000,2021,64527.791396960616
212250000,2019,65947.62861846015
212250000,2020,70276.31709054112
212250000,2021,58380.75195966661
212273000,2019,53611.81572072208
212273000,2020,65130.11321861297
212273000,2021,60636.353521078825
212275000,2019,37955.95438759029
212275000,2020,41104.15571714938
212275000,2021,34324.35489949584
212282000,2019,63564.19503349811
212282000,2020,77736.28413141146
212282000,2021,49177.54093784094
212300000,2019,54838.18718293309
212300000,2020,50386.1772852093
212300000,2021,61389.5188533701
212301000,2019,59558.07988937199
212301000,2020,54401.999248579144
212301000,2021,55308.091977626085
212337000,2019,45989.04037207365
212337000,2020,60309.63618785143
212337000,2021,54000.90566385351
212340000,2019,43479.22126850486
212340000,2020,53638.214311067015
212340000,2021,54554.85604545474
212344000,2019,61539.57962877303
212344000,2020,53398.4346495159
212344000,2021,72354.73221260309
212366000,2019,57845.78547990322
212366000,2020,48883.21515454352
212366000,2021,54509.23415410519
212372000,2019,50899.70541086793
212372000,2020,52056.70126212388
212372000,2021,70719.18652129173
212384000,2019,60661.75981832668
212384000,2020,67010.3165800646
212384000,2021,81254.13360120356
212398000,2019,59324.069067727774
212398000,2020,57896.10398590937
212398000,2021,54596.81048499048
212403000,2019,69353.01615352929
212403000,2020,80803.86493920162
212403000,2021,75882.47251538932
212438000,2019,40409.88301642984
212438000,2020,68103.20615402982
212438000,2021,49845.401053234935
212439000,2019,35720.92004831135
212439000,2020,38360.72266098112
212439000,2021,37922.131020471454
212450000,2019,54296.89461051673
212450000,2020,47760.23724851012
212450000,2021,53132.19844315946
212452000,2019,57750.05772323534
212452000,2020,64920.79537405074
212452000,2021,68597.18949058652
212460000,2019,73443.99664499424
212460000,2020,60645.90322102606
212460000,2021,64147.22252161801
212482000,2019,53703.50028013438
212482000,2020,62683.43940742314
212482000,2021,44469.46118376404
212498000,2019,52807.92879962921
212498000,2020,60602.8894251585
212498000,2021,47765.59965881705
212510000,2019,49825.73322438449
212510000,2020,60677.94066147506
212510000,2021,51630.771182343364
212533000,2019,50055.45239803195
212533000,2020,55913.7499679327
212533000,2021,47197.094511032104
212539000,2019,57635.45668435842
212539000,2020,52376.41332754493
212539000,2021,65209.68515047431
212546000,2019,72659.32836744934
212546000,2020,53510.00078302622
212546000,2021,63496.59174375981
212555000,2019,45760.210911765695
212555000,2020,76344.86233795434
212555000,2021,56465.72505450249
212566000,2019,68660.33035124838
212566000,2020,62759.462551526725
212566000,2021,55028.34936796129
212582000,2019,60446.055118232965
212582000,2020,54407.55934932083
212582000,2021,45947.38325188309
212583000,2019,55892.35551765561
212583000,2020,44424.03506156802
212583000,2021,49815.68555262685
212586000,2019,66237.5374160856
212586000,2020,70594.84710114449
212586000,2021,58761.2730217427
212589000,2019,64248.90141569078
212589000,2020,74499.34361056238
212589000,2021,48634.06009015441
212619000,2019,61915.964842781425
212619000,2020,69461.79185724258
212619000,2021,53218.5488550812
212684000,2019,66709.99814064056
212684000,2020,50803.74820973724
212684000,2021,54694.75909328461
212712000,2019,55697.924580171704
212712000,2020,53776.10949061811
212712000,2021,51707.24055414647
212719000,2019,59625.186445608735
212719000,2020,62893.72460820526
212719000,2021,59046.18087679148
212735000,2019,50557.78125471622
212735000,2020,44852.70432302356
212735000,2021,52796.68587551266
212745000,2019,56587.858874581754
212745000,2020,65384.22430682182
212745000,2021,71454.74373223633
212773000,2019,38913.89786961861
212773000,2020,45566.5965397954
212773000,2021,49511.76822730899
212775000,2019,48089.20842501521
212775000,2020,58007.64025865495
212775000,2021,44717.0284306407
212797000,2019,46634.21481537819
212797000,2020,48919.836108244956
212797000,2021,53895.36143928766
212836000,2019,42299.80401018262
212836000,2020,56091.71282577515
212836000,2021,46516.9463134408
212841000,2019,60220.53188484907
212841000,2020,71414.94184170663
212841000,2021,57919.01065006852
212848000,2019,37737.72999921441
212848000,2020,38667.58729095757
212848000,2021,41099.616260141134
212891000,2019,42514.51926061511
212891000,2020,43979.10429290682
212891000,2021,48090.761315606534
212909000,2019,43261.51498906687
212909000,2020,48020.85151882842
212909000,2021,45109.534719094634
212910000,2019,14803.698389947414
212910000,2020,57859.73421515152
212910000,2021,52777.488186098635
212914000,2019,66775.25893423706
212914000,2020,65377.8832372725
212914000,2021,65060.14246223867
212921000,2019,61210.73321291059
212921000,2020,56859.44209764898
212921000,2021,59371.061164185405
212930000,2019,62166.33356051147
212930000,2020,57063.32455085218
212930000,2021,63634.863796405494
212934000,2019,51203.57722904533
212934000,2020,50288.71321955323
212934000,2021,55224.13279339671
212951000,2019,52569.08298289031
212951000,2020,59906.89595860243
212951000,2021,54961.14237182774
212954000,2019,54655.45815034211
212954000,2020,37939.35201510787
212954000,2021,45805.39374829829
212955000,2019,58231.42326659709
212955000,2020,57196.58969408274
212955000,2021,45475.59433442354
212970000,2019,70830.58795772493
212970000,2020,56928.56208925694
212970000,2021,61422.081605728716
212972000,2019,71692.57063835114
212972000,2020,61116.21754813194
212972000,2021,63607.246776372194
213300000,2019,15.290656208992004
213300000,2020,48.03112870454788
213300000,2021,5406.734354019165
214181297,2019,33359.17416776717
214181297,2020,22928.06229017675
214181297,2021,44918.79088050127
214182620,2019,1308.0331129133701
214182620,2020,730.160484701395
214182620,2021,15937.301439911127
214182735,2019,44785.55123304948
214182735,2020,52876.70005476475
214182735,2021,35734.901362121105
215015000,2019,51091.98040662706
215015000,2020,62086.69289071858
215015000,2021,34868.08849814534
215017000,2019,47739.61422622204
215017000,2020,52558.07663293183
215017000,2021,56311.91029506177
215025000,2019,48131.76371381804
215025000,2020,49235.03814929724
215025000,2021,43969.32060945034
215027000,2019,54386.39517478645
215027000,2020,61943.91755908728
215027000,2021,59704.441807851195
215031000,2019,57013.05521246046
215031000,2020,59376.85156314075
215031000,2021,54210.24040608108
215038000,2019,66157.28864391893
215038000,2020,48136.43858796358
215038000,2021,67343.59134082496
215041000,2019,63205.38853723183
215041000,2020,56510.53119700402
215041000,2021,58492.46197324991
215044000,2019,56484.34291946143
215044000,2020,41918.84871336818
215044000,2021,49946.4369757697
215046000,2019,50478.295536756516
215046000,2020,53236.23270782083
215046000,2021,50389.2008857429
215047000,2019,57229.800574317575
215047000,2020,44124.726692177355
215047000,2021,55675.11371243
215060000,2019,47303.70697362721
215060000,2020,42031.377496548
215060000,2021,50845.8129093349
215066000,2019,33131.258065998554
215066000,2020,36643.07440704107
215066000,2021,23735.455444440246
215069000,2019,50981.96659786999
215069000,2020,66521.73571310192
215069000,2021,65458.21317978203
215074000,2019,51111.58642576635
215074000,2020,51004.22763186693
215074000,2021,49028.887002170086
215080000,2019,37903.900059103966
215080000,2020,36493.232095360756
215080000,2021,36341.05435752869
215116000,2019,37570.37050713226
215116000,2020,26167.335700541735
215116000,2021,30774.19445577264
215136000,2019,55374.54923808575
215136000,2020,49141.83536294103
215136000,2021,56440.53686660156
215138000,2019,50410.06841289997
215138000,2020,48476.74513588846
215138000,2021,50455.76025374234
215139000,2019,42849.031607449055
215139000,2020,61588.486908107996
215139000,2021,47372.27993533015
215143000,2019,50334.010921902955
215143000,2020,48311.124753922224
215143000,2021,23825.58740054071
215150000,2019,63586.3248703517
215150000,2020,61613.093971803784
215150000,2021,57969.97654115409
215169000,2019,42972.665198385715
215169000,2020,49521.35271218419
215169000,2021,65740.11019010842
215190000,2019,53949.191741622984
215190000,2020,59950.00859341025
215190000,2021,54968.33959016204
215208000,2019,19881.597421109676
215208000,2020,56336.48526263237
215208000,2021,59165.1199304834
215209000,2019,51462.82571840286
215209000,2020,58501.98751761019
215209000,2021,49800.97117137909
215218000,2019,59345.19465750642
215218000,2020,47354.2567583248
215218000,2021,42776.558789014816
215222000,2019,67006.67387334257
215222000,2020,60120.55049615353
215222000,2021,55365.69978227839
215223000,2019,53472.83892678097
215223000,2020,49520.540902756155
215223000,2021,55814.110024638474
215226000,2019,53254.60230824351
215226000,2020,47089.99623790383
215226000,2021,35198.10328288376
215228000,2019,49486.84162674099
215228000,2020,46141.22391654551
215228000,2021,46444.41529696435
215245000,2019,50836.62989588082
215245000,2020,37793.90913468599
215245000,2021,51891.523141518235
215247000,2019,54378.14619798586
215247000,2020,30544.5971249938
215247000,2021,49513.18193213642
215250000,2019,58049.40777674317
215250000,2020,63465.95218304545
215250000,2021,43925.37321740389
215268000,2019,52671.03521501832
215268000,2020,56236.50399120152
215268000,2021,45768.32298797369
215277000,2019,74988.99287683517
215277000,2020,65669.83332964033
215277000,2021,62292.843927793205
215280000,2019,63926.96411926299
215280000,2020,65311.957072392106
215280000,2021,65465.78114126623
215284000,2019,65874.69429297745
215284000,2020,67267.30935242772
215284000,2021,50106.13348866999
215295000,2019,47725.97591520846
215295000,2020,27286.742338001728
215295000,2021,50888.55228447914
215312000,2019,29970.37661729753
215312000,2020,54260.690737098455
215312000,2021,47185.07420285046
215317000,2019,38169.23483617604
215317000,2020,43469.3777076751
215317000,2021,56128.42837552726
215349000,2019,57754.63120178878
215349000,2020,50864.86184865236
215349000,2021,55639.36083328724
215350000,2019,68510.23984500021
215350000,2020,65180.39105217159
215350000,2021,57803.15529949963
215362000,2019,27727.181283280253
215362000,2020,46288.15511508286
215362000,2021,45177.9271623902
215378000,2019,15487.14702335
215378000,2020,54152.17743797973
215378000,2021,52727.16619754583
215383000,2019,25655.29339388013
215383000,2020,61993.696795295924
215383000,2021,57202.79074423015
215384000,2019,23029.457559496164
215384000,2020,59412.21734432876
215384000,2021,52238.73768347502
215390000,2019,47557.93858257681
215390000,2020,60500.73504780233
